zone,plots_all,res,com,gov,ind,pop[GAP-5 OR=6],Qdom_m3d,Qnd+gov_m3d,Qinfil_m3d,Qadf_m3d,PF_peltier,Qpeak_m3d,sewer_km,outlet_z,netdist_stp_m
1,4294,3891,202,201,0,23346,3828.7,1378.3,133.4,4132.1,1.64,6795.7,185.25,388.6,13419
2,3900,3232,385,172,111,19392,3180.3,1144.9,115.6,3437.1,1.66,5700.6,160.6,332.6,767
3,1573,1370,90,113,0,8220,1348.1,485.3,20.2,1428.2,1.75,2493.6,28.12,360.9,10749
4,1880,1668,113,99,0,10008,1641.3,590.9,41.8,1756.0,1.72,3023.4,58.02,373.8,8938
5,3973,3556,231,184,2,21336,3499.1,1259.7,141.9,3796.4,1.65,6267.3,197.12,345.7,4168
6,2562,1872,217,190,283,11232,1842.0,663.1,53.7,1977.5,1.71,3379.6,74.56,373.2,10470
7,1864,1604,189,71,0,9624,1578.3,568.2,70.1,1718.5,1.72,2963.1,97.34,364.3,8724
8,2530,2351,74,105,0,14106,2313.4,832.8,37.4,2453.5,1.69,4140.7,51.96,397.4,15536
9,1851,1588,93,170,0,9528,1562.6,562.5,35.2,1667.2,1.73,2880.3,48.88,368.2,9936
10,1391,1290,17,84,0,7740,1269.4,457.0,24.8,1350.5,1.75,2367.3,34.42,381.0,14220
11,2777,2472,143,162,0,14832,2432.4,875.7,76.5,2616.9,1.68,4400.8,106.18,334.2,2643
12,2929,2486,286,121,36,14916,2446.2,880.6,140.0,2694.8,1.68,4524.8,194.42,363.9,7657
13,3538,3136,153,249,0,18816,3085.8,1110.9,177.8,3400.7,1.66,5643.0,246.98,421.8,14731
14,1302,1110,61,131,0,6660,1092.2,393.2,38.4,1179.1,1.77,2087.9,53.33,349.7,9022
15,1878,1645,131,102,0,9870,1618.7,582.7,41.9,1732.5,1.72,2985.6,58.25,377.0,10019
16,4634,4127,176,304,27,24762,4061.0,1461.9,176.9,4418.2,1.64,7245.1,245.73,442.2,16982
17,2863,2488,183,189,3,14928,2448.2,881.3,124.4,2681.3,1.68,4503.2,172.73,383.3,10221
18,1669,1496,34,139,0,8976,1472.1,529.9,141.6,1679.1,1.73,2899.5,196.72,397.0,19970
19,3205,2906,115,177,7,17436,2859.5,1029.4,82.4,3068.9,1.67,5118.3,114.5,380.4,12832
20,2890,2338,314,238,0,14028,2300.6,828.2,128.9,2531.7,1.68,4265.2,179.09,338.0,6858
