BID,NODE,CAUSE,CAUSE_PHY,CHAINED,DEPTH_M,MARGIN_M,LIFT_M,GROUND,RUN_M,RUN_N,GFALL_M,PFALL_M,GGRAD_PCT,PGRAD_PCT,RIDGE_M,RIDGE_D,DSFALL_M,DSDIST_M,MAXREACH,QADF_M3D,QPK_LS,PLOTS_UP,SUBNET,SREQ_PCT,SREQM_PCT,DN_REQ,DN_NOW,STRACT_PCT,REDUCIBLE,SLACK_M,SLACKMID_M,RED_FULL,SLACKFUL_M,FULL_M,FULL_N,RED_T11,SLACK_T11,UPSIZE_KM,DN_UP,LINK_PCT,AUTO_PCT,WADI_PCT,HAZ_COV,E_REASON,ARTFALL_M,EMPTY_KM,ALT_N,ALT_DZ_M,LOWFLOW,HEAD,CHAIN_RT,CHAIN_POS,RED_SEQ,SLACKSEQ,RED_SEQT11,BLOCKER,FIX
1,37,B,B,0,16.79,4.79,15.19,324.42,1437.8,3,-8.0,7.19,-0.5567,0.5,8.62,549.8,0.0,0.0,988.9,16.3,0.67,22,5,0.1666,0.1666,500,200,0.4669,0,-4.27,-4.27,0,-4.27,1437.8,3,1,0.72,1.438,250,0.0,0.0,0.0,15.9,-,0.0,1.438,0,0.0,1,19,37,0,0,-4.27,1,TRACTIVE,NO SEWER / RETHINK
2,44,C,C,0,13.26,1.26,11.66,327.04,545.7,2,-8.94,2.73,-1.6373,0.5,8.94,545.7,8.19,459.4,545.7,11.9,0.49,16,5,0.2684,0.2684,400,200,0.4669,0,-1.03,-1.03,0,-1.03,545.7,2,1,0.46,0.546,250,0.0,0.0,0.0,0.0,-,0.0,0.546,0,0.0,1,45,44,0,0,-1.03,1,TRACTIVE,NO SEWER / RETHINK
3,76,C,C,0,13.11,1.11,11.51,333.19,745.8,4,-7.78,3.73,-1.0427,0.5,7.78,745.8,4.0,1675.2,450.3,17.7,0.67,17,5,0.3517,0.3517,315,200,0.4669,0,-0.81,-0.81,0,-0.81,745.8,4,1,1.46,0.746,250,0.0,0.0,0.0,21.2,-,0.0,0.746,0,0.0,1,13370,76,0,0,-0.81,1,TRACTIVE,NO SEWER / RETHINK
4,107,C,C,0,12.5,0.5,10.9,334.73,607.6,6,-7.86,3.04,-1.2941,0.5,7.86,607.6,7.05,1531.6,166.2,71.1,2.3,38,5,0.4175,0.4175,250,200,0.4669,0,-0.19,-0.19,0,-0.19,607.6,6,1,1.48,0.608,250,0.0,0.0,0.0,0.0,-,0.0,0.384,0,0.0,1,13384,107,0,0,-0.19,1,TRACTIVE,NO SEWER / RETHINK
5,116,C,C,0,12.81,0.81,11.21,335.38,883.6,9,-6.79,4.42,-0.7689,0.5,6.8,861.5,8.15,1421.3,154.5,322.5,5.55,158,5,0.4081,0.4081,250,200,0.4669,1,0.07,0.07,1,0.07,883.6,9,1,2.34,0.884,250,0.0,0.0,0.0,38.7,-,0.0,0.361,1,1.13,0,13383,116,0,1,0.07,1,-,UPSIZE
6,119,C,C,0,12.67,0.67,11.07,335.74,1043.1,6,-5.86,5.22,-0.5614,0.5,5.86,1043.1,8.5,1373.4,422.9,433.3,5.03,289,5,0.4356,0.4356,250,200,0.4669,1,0.16,0.16,1,0.16,1043.1,6,1,3.16,1.043,250,0.0,0.0,0.0,15.6,-,0.0,0.826,0,0.0,0,13467,119,0,1,0.16,1,-,UPSIZE
7,140,B,B,0,14.73,2.73,13.13,337.57,1994.8,2,-3.15,9.97,-0.1581,0.5,5.61,947.0,1.56,677.3,1994.8,83.1,0.0,102,1,0.3633,0.3529,315,200,0.4669,0,-2.02,-2.15,0,-2.02,1994.8,2,1,5.15,1.995,250,0.0,0.0,6.7,61.2,-,0.0,1.995,0,0.0,1,145,140,0,0,-2.02,1,TRACTIVE,NO SEWER / RETHINK
8,276,D,B,1,13.13,1.13,11.53,340.62,1696.3,3,-3.04,8.48,-0.1795,0.5,4.61,1019.0,0.0,0.0,1039.3,132.3,4.29,149,1,0.4336,0.4336,250,200,0.2892,1,2.45,2.45,0,-9.95,3691.1,4,1,0.83,1.696,250,0.0,0.0,0.0,27.2,-,0.0,0.0,0,0.0,1,140,140,1,1,2.45,1,-,UPSIZE
9,439,D,B,1,12.64,0.64,11.04,345.8,1173.1,8,-5.18,5.87,-0.4414,0.5,5.18,1173.1,1.0,180.9,558.3,764.5,8.87,781,1,0.4452,0.4452,250,200,0.2459,1,2.56,2.56,0,-17.69,4864.2,11,0,-5.22,1.173,250,0.0,0.0,0.0,12.5,-,0.0,0.0,1,1.57,0,276,140,2,0,-5.29,0,GROUND,STATION
10,150,C,C,0,13.51,1.51,11.91,334.38,1043.2,7,-6.7,5.22,-0.6419,0.5,7.11,936.1,6.7,1615.9,331.0,64.8,1.44,33,5,0.3549,0.3549,315,200,0.4669,0,-1.12,-1.12,0,-1.12,1043.2,7,1,2.32,1.043,250,0.0,58.4,0.0,31.8,-,0.0,0.926,2,2.71,1,19959,150,0,0,-1.12,1,TRACTIVE,NO SEWER / RETHINK
