check,item,value
properties,total premises at saturation,98646.0
properties,domestic properties (dwellings),81945.0
properties,non-domestic premises,15078.0
properties,government premises,1623.0
population,at OR 5.32,435945.0
population,vs R0/NCSI 2055 (settlements),1.83
population,vs R0/NCSI 2100 (settlements),0.63
zero load,records with zero load,7639.0
zero load,class A,4242.0
zero load,class B,1054.0
zero load,class P,2343.0
zero load reason,"AGRI_NO_HSE = agricultural plot, no household meter (I-5)",4235.0
zero load reason,"INDUSTRIAL = industrial - outside the ratios (G1-p59), quantities not supplied",55.0
zero load reason,SERVICE_PCL = parcel under MIN_PREMISES_AREA_M2 carrying no meter - service parcel,3349.0
sanity,loaded records,56388.0
sanity,load > 25 L/m2/d (high),554.0
sanity,load > 100 L/m2/d (very high),12.0
sanity,load < 0.05 L/m2/d (mega parcel),543.0
sanity,micro parcels (<100 m2) still loaded,187.0
sanity,median L/m2/d,1.67
sanity,95th percentile L/m2/d,8.83
sanity,share of flow on records flagged high/very_high %,2.48
share of flow,domestic %,81.38
share of flow,non-domestic %,11.38
share of flow,governmental %,7.24
outside boundary,records dropped from totals,44.0
