field,built_pct,proposed_pct
ENABLED,100.0,0.0
FEATUREID,100.0,100.0
MAXIMO_NO,0.0,0.0
OWNER,100.0,100.0
SOURCE,100.0,100.0
PROJECTCOD,100.0,100.0
REMARKS,100.0,100.0
HYPERLINK,100.0,100.0
INSTALLDAT,100.0,0.0
OP_STATUE,100.0,0.0
N_DIAMETER,0.0,100.0
OUT_DIAMET,65.6,100.0
IN_DIAMETE,61.1,100.0
MCLASS,0.0,0.0
BED_MATERI,0.0,0.0
MEASUREDLE,100.0,100.0
CRITICALIT,100.0,0.0
CRIT_DESCR,100.0,0.0
CONST_METH,0.0,0.0
GROUND_TYP,0.0,0.0
LINING_TYP,0.0,0.0
NAMEA,100.0,100.0
CATCHMENTA,100.0,0.0
SUBTYPE,100.0,100.0
US_MHID,100.0,0.0
DS_MHID,100.0,0.0
US_INVERT_,65.6,0.0
DS_INVERT_,65.6,0.0
US_GROUND_,65.6,0.0
DS_GROUND_,65.6,0.0
UP_PIP_DEP,0.0,0.0
DS_PIP_DEP,0.0,0.0
MATERIAL,65.6,0.0
FLOOD_PROT,0.0,0.0
P_CONDITIO,0.0,0.0
WATER_TABL,0.0,0.0
SLOPE,0.0,0.0
COMMENT_,100.0,0.0
STATUS,100.0,100.0
MANUFACTUR,100.0,0.0
SUPPLIER_N,100.0,0.0
GISOBJID,100.0,100.0
ORGID,100.0,100.0
CREATED_US,0.0,0.0
CREATED_DA,0.0,0.0
LAST_EDITE,0.0,0.0
LAST_EDI_1,0.0,0.0
Shape_Leng,100.0,100.0
