CH_M,GROUND_M
0.0,351.09
10.0,351.11
20.0,351.01
30.0,350.53
40.0,350.73
50.0,350.72
60.0,350.74
70.0,350.62
80.0,350.65
90.0,350.63
100.0,350.55
110.0,350.42
120.0,350.43
130.0,350.36
140.0,350.21
150.0,350.17
160.0,350.17
170.0,350.13
180.0,350.17
190.0,350.21
200.0,350.18
210.0,350.29
220.0,350.37
230.0,350.41
240.0,350.46
250.0,350.53
260.0,350.54
270.0,350.75
280.0,351.04
290.0,351.24
300.0,351.37
310.0,351.55
320.0,351.76
330.0,351.84
340.0,351.98
350.0,352.1
360.0,352.2
370.0,352.19
380.0,352.25
390.0,352.25
400.0,352.19
410.0,352.05
420.0,351.97
430.0,351.78
440.0,351.52
450.0,351.34
460.0,351.19
470.0,351.12
480.0,350.99
490.0,350.94
500.0,350.85
510.0,350.78
520.0,350.72
530.0,350.64
540.0,350.58
550.0,350.55
560.0,350.59
570.0,350.6
580.0,350.58
590.0,350.56
600.0,350.55
610.0,350.54
620.0,350.54
630.0,350.53
640.0,350.5
650.0,350.48
660.0,350.47
670.0,350.48
680.0,350.51
690.0,350.53
700.0,350.57
710.0,350.62
720.0,350.68
730.0,350.75
740.0,350.84
750.0,350.94
760.0,351.02
770.0,351.07
780.0,351.26
790.0,351.45
800.0,351.54
810.0,351.64
820.0,351.66
830.0,351.7
840.0,351.81
850.0,351.82
860.0,351.82
870.0,351.84
880.0,351.87
890.0,351.93
900.0,351.96
910.0,351.95
920.0,351.92
930.0,351.87
940.0,351.83
950.0,351.81
960.0,351.81
970.0,351.79
980.0,351.81
990.0,351.83
1000.0,351.86
1010.0,351.84
1020.0,351.81
1030.0,351.8
1040.0,351.75
1050.0,351.69
1060.0,351.67
1070.0,351.68
1080.0,351.7
1090.0,351.71
1100.0,351.71
1110.0,351.69
1120.0,351.67
1130.0,351.66
1140.0,351.66
1150.0,351.64
1160.0,351.6
1170.0,351.56
1180.0,351.52
1190.0,351.49
1200.0,351.49
1210.0,351.49
1220.0,351.47
1230.0,351.45
1240.0,351.44
1250.0,351.42
1260.0,351.41
1270.0,351.4
1280.0,351.39
1290.0,351.39
1300.0,351.39
1310.0,351.37
1320.0,351.38
1330.0,351.35
1340.0,351.35
1350.0,351.29
1360.0,351.25
1370.0,351.24
1380.0,351.2
1390.0,351.16
1400.0,351.1
1410.0,351.06
1420.0,351.04
1430.0,351.05
1440.0,351.02
1450.0,350.96
1460.0,350.91
1470.0,350.84
1480.0,350.77
1490.0,350.72
1500.0,350.69
1510.0,350.64
1520.0,350.57
1530.0,350.51
1540.0,350.45
1550.0,350.38
1560.0,350.32
1570.0,350.25
1580.0,350.18
1590.0,350.11
1600.0,350.05
1610.0,350.0
1620.0,349.97
1630.0,349.94
1640.0,349.91
1650.0,349.88
1660.0,349.85
1670.0,349.83
1680.0,349.8
1690.0,349.77
1700.0,349.74
1710.0,349.72
1720.0,349.71
1730.0,349.73
1740.0,349.71
1750.0,349.67
1760.0,349.63
1770.0,349.6
1780.0,349.58
1790.0,349.56
1800.0,349.54
1810.0,349.47
1820.0,349.39
1830.0,349.34
1840.0,349.41
1850.0,349.48
1860.0,349.45
1870.0,349.46
1880.0,349.29
1890.0,349.23
1900.0,349.26
1910.0,349.25
1920.0,349.31
1930.0,349.36
1940.0,349.36
1950.0,349.34
1960.0,349.31
1970.0,349.29
1980.0,349.27
1990.0,349.28
2000.0,349.27
2010.0,349.24
2020.0,349.24
2030.0,349.22
2040.0,349.18
2050.0,349.14
2060.0,349.07
2070.0,348.95
2080.0,348.81
2090.0,348.71
2100.0,348.65
2110.0,348.65
2120.0,348.61
2130.0,348.56
2140.0,348.51
2150.0,348.42
2160.0,348.38
2170.0,348.31
2180.0,348.19
2190.0,348.17
2200.0,348.17
2210.0,348.23
2220.0,348.25
2230.0,348.25
2240.0,348.22
2250.0,348.17
2260.0,348.1
2270.0,348.04
2280.0,348.01
2290.0,348.03
2300.0,348.13
2310.0,348.26
2320.0,348.4
2330.0,348.54
2340.0,348.73
2350.0,348.96
2360.0,349.15
2370.0,349.3
2380.0,349.42
2390.0,349.58
2400.0,349.71
2410.0,349.76
2420.0,349.74
2430.0,349.64
2440.0,349.54
2450.0,349.47
2460.0,348.92
2470.0,348.89
2480.0,348.81
2490.0,348.68
2500.0,348.56
2510.0,348.32
2520.0,348.32
2530.0,348.22
2540.0,348.13
2550.0,348.12
2560.0,348.08
2570.0,347.99
2580.0,347.8
2590.0,347.68
2600.0,347.57
2610.0,347.47
2620.0,347.44
2630.0,347.36
2640.0,347.26
2650.0,347.13
2660.0,346.98
2670.0,346.91
2680.0,346.87
2690.0,346.88
2700.0,347.01
2710.0,347.04
2720.0,346.95
2730.0,346.91
2740.0,346.83
2750.0,346.68
2760.0,346.6
2770.0,346.58
2780.0,346.57
2790.0,346.57
2800.0,346.6
2810.0,346.56
2820.0,346.64
