component,DN_mm,slope_pct,km,deepest_m,median_m,nodes_over_12m,pct_over_12m,length_over_12m_km
0,600,0.05,73.19,6.92,2.07,0,0.0,0.0
0,600,0.1,73.19,7.32,2.13,0,0.0,0.0
0,600,0.15,73.19,8.34,2.21,0,0.0,0.0
0,1000,0.05,73.19,7.32,2.47,0,0.0,0.0
0,1000,0.1,73.19,7.72,2.53,0,0.0,0.0
0,1000,0.15,73.19,8.74,2.61,0,0.0,0.0
0,1400,0.05,73.19,7.72,2.87,0,0.0,0.0
0,1400,0.1,73.19,8.12,2.93,0,0.0,0.0
0,1400,0.15,73.19,9.14,3.01,0,0.0,0.0
1,600,0.05,7.86,4.93,2.07,0,0.0,0.0
1,600,0.1,7.86,5.47,2.1,0,0.0,0.0
1,600,0.15,7.86,6.3,2.13,0,0.0,0.0
1,1000,0.05,7.86,5.33,2.47,0,0.0,0.0
1,1000,0.1,7.86,5.87,2.5,0,0.0,0.0
1,1000,0.15,7.86,6.7,2.53,0,0.0,0.0
1,1400,0.05,7.86,5.73,2.87,0,0.0,0.0
1,1400,0.1,7.86,6.27,2.9,0,0.0,0.0
1,1400,0.15,7.86,7.1,2.93,0,0.0,0.0
2,600,0.05,4.39,10.2,2.02,0,0.0,0.0
2,600,0.1,4.39,10.4,2.04,0,0.0,0.0
2,600,0.15,4.39,10.59,2.07,0,0.0,0.0
2,1000,0.05,4.39,10.6,2.42,0,0.0,0.0
2,1000,0.1,4.39,10.8,2.44,0,0.0,0.0
2,1000,0.15,4.39,10.99,2.47,0,0.0,0.0
2,1400,0.05,4.39,11.0,2.82,0,0.0,0.0
2,1400,0.1,4.39,11.2,2.84,0,0.0,0.0
2,1400,0.15,4.39,11.39,2.87,0,0.0,0.0
