SUBNET,KM,PLOTS,JOIN_X,JOIN_Y,JOIN_Z
1,265.78,6327,446098.8,2563913.7,331.19
5,192.84,4379,445708.0,2563163.7,327.98
0,164.99,4929,449756.5,2568617.7,355.2
4,151.98,4556,449123.5,2567763.1,352.33
3,121.32,3262,451730.8,2572623.8,378.82
6,115.75,5663,458966.9,2568115.0,382.69
2,92.64,1566,458180.1,2577855.7,419.84
9,87.33,3110,452212.0,2572909.7,380.21
10,81.97,3506,452568.9,2566720.9,356.72
7,81.16,1180,460130.6,2567637.3,382.13
22,68.09,117,441541.9,2569445.4,337.2
8,33.76,1280,460641.0,2578392.4,425.29
11,33.63,1069,449912.5,2567638.8,352.14
15,33.1,1211,447268.1,2566106.1,342.37
17,33.04,1063,455180.7,2576133.9,402.58
12,32.68,640,462619.8,2578822.2,428.23
23,31.4,776,453641.1,2574110.8,388.48
16,27.62,650,456942.2,2568634.7,375.22
19,23.62,324,472199.8,2573720.3,478.42
18,22.87,691,450450.8,2567575.3,354.9
21,21.97,642,447353.5,2566249.6,343.6
20,21.89,1009,449233.6,2568043.3,352.82
13,21.4,718,463714.8,2578078.2,433.96
14,18.76,482,470712.1,2574596.9,467.92
43,15.42,63,470124.0,2564103.9,420.93
31,13.67,342,456165.3,2576687.8,407.37
45,13.4,65,442064.7,2569072.4,334.17
33,13.38,602,455223.3,2567702.9,365.94
38,12.97,483,453782.7,2574287.3,389.68
29,12.58,352,450004.2,2570283.9,363.76
44,9.6,311,442984.6,2568523.8,334.7
36,8.99,376,446695.9,2565030.0,341.68
24,8.97,115,469018.8,2575316.8,457.25
50,8.67,242,453001.5,2573432.7,382.82
25,8.26,35,474003.2,2561615.4,438.75
64,7.98,165,451584.5,2572520.4,378.37
35,7.94,450,457323.4,2577364.3,412.96
30,7.65,215,464335.4,2577834.3,436.68
46,7.55,334,447026.0,2565695.2,342.27
47,7.53,231,452775.8,2573243.1,381.56
62,7.1,111,468045.3,2575728.3,453.42
57,6.67,147,467528.3,2576050.7,451.22
55,6.59,13,467201.6,2565096.9,408.02
27,6.55,166,449912.1,2568732.7,356.27
26,6.33,194,460013.3,2578190.0,425.18
32,6.06,54,469669.9,2564265.6,418.4
66,4.85,158,455116.6,2567618.1,365.08
63,4.67,40,466009.1,2565800.4,402.68
39,4.44,49,474651.3,2574793.6,497.09
53,4.35,153,443832.7,2567993.3,334.86
41,4.02,177,460846.7,2578418.3,425.65
86,3.96,117,469810.2,2574862.1,463.35
56,3.94,182,459262.6,2578258.6,423.63
68,3.93,107,446780.4,2565204.7,341.28
28,3.92,157,472845.8,2573735.1,484.63
42,3.9,196,463414.8,2578298.8,432.76
70,3.89,160,447093.4,2565812.6,342.01
80,3.82,132,455638.6,2568014.8,367.43
91,3.67,8,465499.7,2566109.8,400.42
60,3.62,73,450966.5,2567231.5,353.12
54,3.49,173,475647.2,2575181.0,506.78
82,3.44,99,442578.8,2568782.4,333.73
52,3.37,85,450560.0,2567461.0,351.64
93,3.23,24,463159.0,2567241.4,392.39
88,3.07,104,449482.8,2568505.0,354.71
89,2.9,100,446857.3,2565366.6,342.72
72,2.9,70,447982.0,2567331.2,349.6
69,2.84,135,453991.2,2574793.2,393.21
37,2.74,13,464134.0,2566922.0,398.39
58,2.66,58,476876.6,2575623.6,518.88
40,2.64,64,473646.8,2572118.9,493.6
116,2.59,16,462531.9,2567268.1,389.78
109,2.56,77,459106.2,2568057.3,381.81
71,2.49,59,449153.5,2567811.5,352.32
123,2.48,19,446187.8,2567607.6,339.9
95,2.36,103,453442.7,2566674.1,358.16
67,2.22,62,474392.6,2571767.4,494.98
100,2.21,28,472395.4,2562715.5,428.75
51,2.2,63,460158.0,2578174.6,425.35
83,2.19,68,465857.4,2577068.6,444.24
85,2.14,70,447505.1,2566505.5,345.04
34,2.06,57,464858.3,2577652.6,439.03
87,2.01,63,449929.8,2567636.0,352.3
61,1.81,26,450107.2,2569979.8,360.54
48,1.76,52,466167.8,2576873.4,445.03
49,1.7,34,474796.4,2574848.2,497.99
74,1.68,62,450078.6,2569547.6,358.0
204,1.67,23,466698.4,2576551.0,448.36
127,1.65,12,473821.6,2561716.9,437.68
114,1.63,75,453065.6,2566674.5,357.16
105,1.62,70,454142.2,2566872.4,362.62
84,1.57,103,472022.1,2573905.3,477.39
98,1.57,8,449912.5,2568736.8,356.3
75,1.56,66,449921.4,2570572.3,364.55
106,1.53,93,454600.8,2567220.3,366.2
125,1.53,35,454903.0,2575974.5,399.53
97,1.53,34,445736.7,2563232.2,327.99
77,1.45,107,462964.2,2578588.4,429.66
65,1.44,87,469459.7,2575008.0,461.98
110,1.41,56,469461.8,2575010.3,461.99
73,1.39,36,450066.1,2569314.2,357.6
92,1.32,36,470086.9,2574791.5,466.86
81,1.31,12,462158.3,2578965.6,427.16
154,1.31,3,460435.8,2567521.6,383.01
90,1.29,109,456470.3,2576870.5,408.5
129,1.28,22,449243.2,2567743.8,352.16
59,1.18,5,461544.1,2578832.3,425.95
103,1.14,61,458990.5,2578289.0,423.36
142,1.14,12,467881.4,2575826.3,453.34
167,1.14,24,454972.2,2567504.0,365.78
124,1.12,7,445502.7,2567654.2,338.34
76,1.11,6,466842.7,2565285.0,406.19
183,1.06,4,450992.5,2571902.7,373.06
112,1.03,51,451732.5,2572620.9,378.57
78,1.01,23,450021.7,2569138.6,357.47
108,0.98,16,454469.1,2575590.2,396.96
180,0.95,11,450251.4,2571286.2,368.71
162,0.91,2,450761.8,2571620.3,371.17
107,0.89,49,452020.6,2572795.4,379.65
94,0.83,14,461037.5,2578675.3,425.83
79,0.8,26,460331.5,2578160.8,424.41
206,0.8,19,467393.0,2576138.6,450.72
137,0.8,27,454296.3,2566987.9,364.11
136,0.78,18,451191.6,2567023.1,354.53
96,0.78,0,447021.2,2567528.2,343.81
134,0.72,16,445483.3,2563195.9,328.18
102,0.72,35,451109.5,2567110.1,353.64
128,0.7,16,447964.6,2567282.2,348.86
163,0.64,8,452600.8,2566693.8,356.23
101,0.63,18,450036.4,2569171.3,357.63
121,0.62,44,446431.5,2564503.8,335.24
113,0.61,18,445440.8,2563210.7,328.26
158,0.61,3,445991.2,2563728.0,330.79
156,0.59,62,473954.2,2571864.5,496.21
111,0.58,16,450080.0,2569694.0,358.76
197,0.57,39,455254.2,2576174.4,403.61
141,0.57,0,461548.3,2578837.4,425.95
146,0.56,7,446929.9,2567534.7,343.53
99,0.56,11,466427.1,2565537.6,404.34
115,0.54,28,459382.1,2578313.4,423.64
133,0.54,1,473823.0,2561719.6,437.67
122,0.52,24,446582.1,2564793.7,338.73
198,0.46,3,461171.1,2567323.9,385.54
104,0.46,9,466731.4,2565352.7,405.75
118,0.46,9,462425.9,2578895.5,427.47
131,0.45,15,451017.7,2567197.9,352.98
170,0.42,31,459234.0,2578244.4,422.99
120,0.39,22,475212.0,2574986.6,501.48
166,0.38,20,453776.9,2574278.6,389.7
145,0.37,12,445579.5,2563182.1,327.85
152,0.36,25,454765.2,2567345.9,367.13
