strategy,breaches,clusters,stations,lift_m,pipe_km,km_over_DN200,deepest
base,219,33,21,2815,1883.6,194.2,11.99
flatten,184,38,25,2327,1883.6,484.8,11.98
climb-100,218,36,23,2815,1880.2,191.4,11.99
climb-400,219,33,21,2815,1883.6,194.2,11.99
climb-1000,207,33,21,2683,1887.5,196.5,11.99
climb-2500,206,40,28,2665,1891.2,192.6,11.99
climb-6000,210,39,27,2717,1894.7,202.3,11.99
avoid (1 round),223,32,23,2920,1883.9,186.7,12.0
climb-400 + avoid,223,32,23,2920,1883.9,186.7,12.0
climb-400 + avoid + flatten,201,33,22,2544,1883.9,496.7,11.98
