SITE,NAME,X,Y,Z_VRT_M,Z_50M_M,SCORE,ALLOWED,C2_GRAVITY,C1_DWELL,C4_LAND,C5_PIPE,C7_TSE,C6_ROAD,C3_FLOOD,D_DWELL_M,CLR_500,D_WADI_M,IN_WADI,ON_PLOT,FREE600_HA,COMP_HA,INSCR_M,D_TRUNK_M,D_CORR_M,D_ROAD_M,D_MAJOR_M,D_AGRI_M,AGRI5K_HA,CONVEY_KM,GRAV_PCT,D_EXIST_KM
S1,Candidate S1,443075.0,2566675.0,327.31,327.27,0.9149,1,0.9909,1.0,1.0,0.6607,0.7293,0.9391,1.0,1036.0,1,1341.0,0,0,40.1,829.1,279.0,1504.0,164.0,139.0,1514.0,502.0,867.0,12.52,99.1,3.6
S2,Candidate S2,443025.0,2564075.0,326.82,326.78,0.881,1,0.9947,1.0,1.0,0.6123,0.7052,0.6245,1.0,1040.0,1,547.0,0,0,40.7,1003.8,522.0,1578.0,274.0,261.0,3940.0,446.0,776.0,13.56,99.5,1.58
S3,Candidate S3,440525.0,2566925.0,318.52,318.58,0.8594,1,0.9971,0.9986,1.0,0.462,0.5865,0.7801,1.0,1027.0,1,1016.0,0,0,41.2,829.1,584.0,2643.0,300.0,292.0,2645.0,704.0,403.0,14.69,99.7,5.3
S4,Candidate S4,444275.0,2561075.0,319.52,319.11,0.8589,1,0.9975,1.0,1.0,0.5804,0.626,0.4978,1.0,1024.0,1,700.0,0,0,40.8,1003.8,472.0,1498.0,245.0,236.0,6671.0,724.0,559.0,14.55,99.8,2.27
S5,Candidate S5,438025.0,2571825.0,324.66,324.65,0.8477,1,0.9512,1.0,1.0,0.3895,0.5162,0.9985,1.0,1039.0,1,1996.0,0,0,39.9,4510.3,368.0,2511.0,199.0,184.0,1040.0,1122.0,310.0,16.87,95.1,10.63
S6,Candidate S6,454875.0,2565025.0,362.5,363.04,0.846,1,0.6545,1.0,0.992,0.7346,0.8271,0.8834,1.0,1055.0,1,743.0,0,0,29.9,163.7,260.0,1967.0,255.0,242.0,1919.0,130.0,1237.0,9.45,65.4,10.59
S7,Candidate S7,449825.0,2562275.0,334.26,334.52,0.8301,1,0.8818,1.0,1.0,0.4504,0.8067,0.5175,1.0,1051.0,1,693.0,0,0,41.8,493.2,646.0,4051.0,345.0,323.0,4668.0,506.0,1160.0,11.39,88.2,5.51
S8,Candidate S8,441425.0,2561075.0,318.21,318.2,0.7921,1,0.9973,1.0,1.0,0.3289,0.3364,0.4976,1.0,3036.0,1,3131.0,0,0,31.2,665.7,367.0,3276.0,248.0,233.0,7300.0,2621.0,261.0,16.47,99.7,3.76
S9,Candidate S9,435475.0,2574325.0,320.58,320.79,0.7911,1,0.944,1.0,1.0,0.0245,0.5596,0.9434,1.0,1175.0,1,2140.0,0,0,32.3,4510.3,189.0,6008.0,321.0,310.0,1281.0,94.0,225.0,19.72,94.4,14.17
S10,Candidate S10,433325.0,2577675.0,312.95,312.86,0.7872,1,0.9731,1.0,1.0,0.0,0.4415,0.997,1.0,4528.0,1,1580.0,0,0,40.3,4510.3,477.0,9838.0,797.0,239.0,239.0,1506.0,190.0,22.69,97.3,18.13
EXISTING,Existing Ibri works,444422.8,2563337.9,328.68,328.27,0.0,0,0.9861,0.0,0.061,0.7895,0.7296,0.5749,1.0,0.0,0,1491.0,0,1,20.6,0.0,0.0,5.0,37.0,10.0,4414.0,653.0,927.0,12.97,98.6,0.0
SOUTH,User proposed southern site,442451.3,2558941.8,311.88,312.67,0.791,1,0.9981,1.0,1.0,0.218,0.5016,0.4822,1.0,2616.0,1,765.0,0,0,41.1,665.7,635.0,4091.0,343.0,318.0,9052.0,1050.0,220.0,17.2,99.8,4.82
