ST,PLOTS,QADF_M3D,PF,Q_DUTY_LS,RM_KM,STATIC_M,RM_DN,RM_V,GROUND,REAL
9,1217,1475.8,2.53,43.2,3.465,6.6,150,2.44,376.77,1
19,511,1032.9,2.64,31.6,5.258,-5.45,150,1.79,395.23,1
11,540,380.9,2.98,13.1,12.016,-0.13,100,1.67,402.71,1
18,271,250.0,3.13,9.1,13.801,-6.37,100,1.15,408.08,1
2,279,216.3,3.19,8.0,17.47,-12.77,100,1.02,350.17,1
16,152,216.1,3.19,8.0,0.0,0.0,100,1.02,418.4,1
3,542,199.2,3.22,7.4,1.205,5.89,100,0.95,339.85,1
23,236,168.1,3.29,6.4,2.234,5.77,100,0.81,513.11,1
6,645,129.7,3.39,5.1,0.0,0.0,100,0.65,366.2,1
1,1149,123.4,3.41,4.9,0.989,1.73,100,0.62,332.0,1
8,2679,121.8,3.42,4.8,0.846,-3.46,100,0.61,385.02,1
7,255,46.2,3.57,1.9,2.235,5.57,100,0.24,368.61,0
21,215,37.6,3.57,1.6,0.419,3.37,100,0.2,491.85,0
12,5042,30.3,3.57,1.3,2.128,5.17,100,0.16,377.14,0
20,495,21.4,3.57,0.9,0.005,0.08,100,0.13,493.52,0
0,16012,12.0,3.57,0.5,0.54,-1.99,100,0.13,343.67,0
13,65,11.3,3.57,0.5,1.297,-0.37,100,0.13,387.7,0
17,126,6.3,3.57,0.3,0.141,0.6,100,0.13,397.79,0
10,322,5.4,3.57,0.2,2.218,-15.56,100,0.13,408.34,0
22,461,4.0,3.57,0.2,0.077,-0.71,100,0.13,460.26,0
24,72,3.1,3.57,0.1,3.267,-9.99,100,0.13,458.34,0
5,936,2.2,3.57,0.1,14.524,-10.86,100,0.13,383.91,0
4,95,0.4,3.57,0.0,7.305,25.11,100,0.13,320.63,0
15,70,0.0,3.57,0.0,0.143,-1.35,100,0.13,440.11,0
14,7156,0.0,3.57,0.0,6.556,2.96,100,0.13,423.32,0
