POCKET,lines,km,cx,cy
33,657,22.343,449531.995,2573772.262
20,787,21.55,447464.254,2571252.494
67,556,17.511,454255.894,2577854.212
155,530,15.544,464929.568,2578025.319
21,500,14.661,446491.141,2572726.011
75,500,13.776,456910.868,2568177.744
87,311,12.393,458849.556,2576740.923
118,381,10.266,461321.077,2580392.056
198,302,7.966,473149.705,2573932.473
123,172,6.584,462002.064,2578521.271
106,257,5.508,459855.665,2576838.817
157,168,4.856,465398.231,2566984.65
227,112,4.645,476243.934,2575272.128
43,112,4.451,451079.013,2574450.265
7,146,4.078,442747.878,2569858.762
224,152,3.394,474746.073,2574628.493
196,82,3.358,471027.166,2564733.282
225,153,3.334,474751.011,2575569.905
23,117,3.088,447361.405,2568950.251
54,86,3.004,453604.763,2565149.023
129,121,2.773,462095.397,2575926.281
127,80,2.599,462350.883,2568526.161
1,81,2.545,444231.535,2567454.58
71,86,2.538,455359.651,2569558.231
99,113,2.509,459396.275,2567345.823
133,104,2.486,462301.302,2579711.769
39,102,2.472,449505.447,2572154.912
145,98,2.424,463115.044,2577645.168
168,76,2.422,466924.993,2564942.217
204,59,2.418,474237.96,2560993.651
93,80,2.257,458552.962,2578866.664
84,69,2.206,458516.866,2568635.155
73,112,2.135,456314.346,2567157.447
136,91,2.087,462759.996,2567542.651
63,88,2.052,452030.925,2576682.68
48,57,1.948,451927.007,2563829.802
97,60,1.926,459031.962,2578644.466
160,93,1.886,464811.868,2577456.503
125,95,1.809,461577.741,2577188.517
158,66,1.779,464561.525,2576050.574
142,57,1.636,463451.974,2576158.769
116,73,1.62,460552.709,2578047.263
213,94,1.569,474061.712,2572668.782
114,76,1.546,460564.939,2576200.556
137,50,1.532,462643.944,2575423.732
126,62,1.505,462074.521,2568129.919
49,96,1.487,451010.982,2565930.27
111,59,1.478,460706.929,2569767.697
174,68,1.432,466212.653,2576649.412
110,33,1.421,460118.039,2579426.714
130,53,1.408,462244.307,2577341.251
89,30,1.392,458124.579,2577297.556
177,77,1.385,466843.971,2577260.464
188,45,1.383,469718.494,2575594.381
186,41,1.365,470435.91,2575324.728
121,73,1.314,460932.12,2577363.733
35,26,1.268,449389.655,2565965.353
81,33,1.257,457057.166,2576958.493
159,48,1.221,464435.277,2576660.586
154,59,1.161,463936.713,2577622.146
34,60,1.151,449034.17,2572382.3
6,54,1.119,444328.952,2569308.587
104,43,1.109,459060.307,2579614.774
211,80,1.087,474155.62,2572057.132
167,35,1.069,465699.956,2578401.22
120,57,1.029,461367.499,2576172.834
146,33,1.023,462899.848,2578497.395
70,44,1.012,454565.105,2566536.017
76,27,1.007,456089.096,2569915.996
108,52,0.945,460024.617,2578508.948
187,38,0.928,468399.75,2575243.915
83,16,0.913,458107.151,2566977.039
148,32,0.913,464075.178,2566530.895
91,28,0.886,457786.515,2578161.114
115,48,0.885,460442.353,2576786.462
179,37,0.869,469964.509,2564796.602
85,49,0.864,458156.837,2571387.164
30,56,0.862,449002.834,2570118.965
151,50,0.849,464043.321,2575780.728
18,57,0.848,445892.427,2568312.969
24,44,0.832,448296.344,2571966.146
166,30,0.818,465635.75,2576314.843
86,40,0.809,457998.639,2576007.987
150,35,0.802,463925.196,2566934.165
74,14,0.797,455851.501,2567698.509
80,24,0.793,456868.192,2576588.366
163,39,0.779,464945.716,2576601.771
22,32,0.762,446794.688,2567290.931
172,44,0.757,466314.983,2566217.009
66,27,0.746,452937.753,2577436.57
165,38,0.745,465528.747,2566305.626
94,32,0.741,458930.641,2567597.599
105,21,0.733,459999.134,2569101.618
139,8,0.712,463252.251,2575437.939
176,24,0.689,466438.747,2576879.123
31,36,0.681,448685.942,2572102.881
95,25,0.638,458528.64,2569682.498
5,36,0.626,444496.654,2568968.103
164,29,0.622,464972.382,2578757.725
162,33,0.592,465034.325,2576084.661
182,35,0.565,468174.794,2565560.226
19,28,0.563,445208.42,2569157.833
141,22,0.559,462877.348,2576121.893
197,29,0.559,472843.471,2572434.716
220,24,0.558,474637.576,2561466.207
190,21,0.545,467906.257,2576742.046
132,20,0.534,462215.861,2579164.693
62,34,0.521,453250.17,2576193.151
185,12,0.511,470259.61,2574929.176
184,29,0.51,469396.728,2574703.312
195,25,0.51,470946.999,2564319.006
40,35,0.487,450582.075,2565484.959
140,5,0.466,463372.307,2575728.445
29,35,0.462,448832.263,2569052.407
2,25,0.46,443760.236,2567597.328
59,11,0.459,451849.01,2574514.268
143,24,0.457,462933.205,2576414.583
152,7,0.448,463726.68,2575843.591
32,26,0.446,448730.067,2572494.753
69,14,0.428,454099.77,2576605.434
170,10,0.422,466324.947,2565310.136
88,22,0.414,458195.15,2576387.433
41,24,0.414,450412.852,2566135.052
222,21,0.413,474538.894,2561924.716
208,12,0.378,473510.914,2562026.941
68,15,0.378,453833.757,2575769.03
149,17,0.368,463689.915,2566544.722
144,20,0.368,463028.128,2576783.666
119,13,0.366,460940.537,2575837.728
192,14,0.362,472243.542,2561848.544
161,17,0.343,465403.03,2575776.031
131,19,0.342,461887.441,2578112.487
124,13,0.332,461127.964,2579360.003
16,2,0.328,434677.797,2576474.965
26,20,0.327,448239.829,2573221.414
3,12,0.323,442450.555,2568278.077
25,17,0.323,447485.517,2572303.187
101,18,0.319,459302.37,2576068.674
153,14,0.316,463855.531,2576915.595
193,8,0.316,472126.49,2562160.386
199,12,0.306,472039.159,2573520.234
4,5,0.306,443113.742,2568251.672
27,14,0.305,448668.836,2562784.659
205,15,0.302,473472.847,2561079.163
46,14,0.296,451096.126,2563414.469
171,10,0.285,465932.426,2565587.671
53,15,0.283,451500.241,2575879.359
58,19,0.282,452919.975,2574393.209
122,16,0.282,461278.964,2577606.021
201,16,0.28,471666.126,2574566.027
51,15,0.279,451317.911,2568075.095
178,18,0.269,470315.414,2564429.033
47,14,0.255,451347.022,2563513.949
45,10,0.254,450818.885,2563065.573
112,14,0.251,460430.368,2571298.661
183,18,0.25,467198.851,2565590.575
90,3,0.247,457546.219,2577389.066
212,10,0.245,473461.165,2572480.286
203,9,0.242,473946.904,2560619.573
210,10,0.24,473220.761,2572138.769
64,14,0.24,453179.442,2577266.37
223,16,0.235,474098.421,2571564.52
72,5,0.222,454158.938,2573376.21
169,14,0.22,466468.58,2564937.304
15,1,0.207,433776.373,2575772.22
175,9,0.207,467068.228,2576772.09
134,7,0.204,462114.007,2580329.802
9,1,0.199,434731.899,2574826.072
209,12,0.194,473860.542,2572083.498
215,7,0.193,473108.763,2574338.168
61,1,0.181,451698.264,2575153.467
128,11,0.179,462204.409,2575447.377
77,6,0.174,456164.23,2576266.093
0,13,0.165,437233.623,2564616.467
13,1,0.165,434243.399,2575166.072
11,1,0.165,434455.399,2574963.072
12,1,0.163,434356.899,2575057.572
180,8,0.163,468017.256,2564981.022
55,11,0.163,452515.536,2574159.463
14,1,0.162,434130.399,2575274.072
60,11,0.158,452702.436,2574456.693
107,7,0.158,459794.133,2578017.613
173,4,0.151,465979.313,2576050.257
100,7,0.146,459015.578,2575724.887
194,1,0.146,471860.474,2562457.466
10,2,0.145,434901.837,2574979.18
65,6,0.144,453388.191,2577310.146
109,4,0.141,459632.769,2578990.849
207,1,0.137,473176.048,2561337.311
50,12,0.128,450757.347,2566514.84
216,8,0.122,473300.881,2574395.897
206,1,0.113,473337.331,2561218.649
44,12,0.106,451280.992,2562834.506
113,6,0.104,460574.993,2575659.996
37,11,0.098,449543.307,2570501.754
96,5,0.097,458514.733,2571425.609
98,3,0.092,458764.525,2579363.886
78,1,0.09,455345.962,2576649.295
42,2,0.081,450419.18,2567108.963
92,6,0.08,458122.3,2578081.073
226,1,0.078,475312.673,2574718.683
189,1,0.074,467505.396,2575603.552
28,5,0.07,448377.794,2562760.683
218,5,0.069,473265.41,2574582.365
102,3,0.066,459005.792,2577468.566
217,1,0.06,473941.357,2574543.706
36,2,0.056,449285.382,2568827.27
103,3,0.053,459206.745,2578081.123
17,1,0.035,445757.347,2566390.765
117,1,0.034,460117.784,2577774.026
181,3,0.031,467201.584,2565291.774
135,2,0.03,461744.905,2581273.266
56,2,0.029,452201.664,2574132.974
147,1,0.029,463241.175,2578568.096
200,1,0.029,472524.536,2573650.78
219,4,0.028,474208.587,2560420.032
8,1,0.026,439500.808,2571519.397
214,1,0.026,473633.133,2572667.67
57,1,0.026,452768.554,2574111.381
191,1,0.025,467358.997,2576981.257
38,1,0.024,449409.867,2571135.386
138,2,0.024,462484.084,2576798.858
202,1,0.023,471966.199,2574572.783
52,2,0.003,451285.75,2575717.305
221,2,0.003,474408.933,2561672.969
82,2,0.003,456950.528,2577342.983
79,1,0.001,455315.356,2577332.426
156,1,0.001,463685.232,2578337.797
