pocket,km,lines,plots60m,x,y,frame_m,png
172,0.757,44,24,466315,2566217,503,R3_pocket_0172.png
151,0.849,50,52,464043,2575781,498,R3_pocket_0151.png
2,0.46,25,20,443760,2567597,295,R3_pocket_0002.png
196,3.358,82,117,471027,2564733,1313,R3_pocket_0196.png
125,1.809,95,42,461578,2577189,772,R3_pocket_0125.png
97,1.926,60,220,459032,2578644,1110,R3_pocket_0097.png
123,6.584,172,165,462002,2578521,2069,R3_pocket_0123.png
43,4.451,112,165,451079,2574450,1520,R3_pocket_0043.png
157,4.856,168,142,465398,2566985,1753,R3_pocket_0157.png
155,15.544,530,781,464930,2578025,3483,R3_pocket_0155.png
67,17.511,556,708,454256,2577854,3437,R3_pocket_0067.png
21,14.661,500,647,446491,2572726,3410,R3_pocket_0021.png
