BR_ID,KM,PLOTS,PROPS,POP,Q_M3D,M_PER_PRP,M_PER_M3D,N_LIFT,LIFT_M,OUT_X,OUT_Y,OUT_Z,ROUTE_KM,VILLAGE
613,11.352,0,0.0,0,0.0,11351965174947.7,11351965174947.7,1,29.5,435829.7,2575738.3,323.8,36.94,-
1765,8.068,14,14.0,74,10.383,576.3,777.1,1,14.3,447166.1,2557854.4,316.7,104.14,-
1719,7.595,12,13.3,71,9.849,571.9,771.1,0,0.0,474888.5,2572233.5,493.1,91.56,BAT
1386,5.428,2,0.0,0,0.0,5428405547394.9,5428405547394.9,1,23.2,459587.2,2576016.1,415.8,76.78,AL DIREZ
400,5.392,1,1.5,8,1.08,3703.5,4993.9,2,33.5,441610.0,2571366.7,365.3,28.21,-
370,5.146,1,0.0,0,0.0,5145950047251.2,5145950047251.2,2,58.4,438690.9,2572586.6,331.6,29.23,-
1792,4.444,2,2.0,11,1.483,2221.9,2996.1,1,11.1,446697.9,2558425.8,318.0,118.72,-
1023,4.414,5,5.4,15,7.819,811.1,564.5,1,18.8,466228.7,2566888.8,408.1,57.32,-
1775,4.11,0,0.0,0,0.0,4109868937632.1,4109868937632.1,0,0.0,467147.0,2564578.2,407.4,111.82,-
1552,3.699,18,4.0,21,2.966,924.8,1247.1,0,0.0,469691.7,2575156.2,463.1,84.29,AL WAHRAH
499,3.644,0,0.0,0,0.0,3643750398301.6,3643750398301.6,2,30.6,438693.0,2569329.1,324.0,31.84,-
932,3.339,0,0.0,0,0.0,3339242437540.4,3339242437540.4,0,0.0,463160.5,2570504.9,401.4,58.07,-
531,2.919,0,0.0,0,0.0,2918679841091.5,2918679841091.5,1,13.1,438718.6,2568787.3,322.2,33.12,-
1046,2.83,0,0.0,0,0.0,2829790118495.5,2829790118495.5,1,15.3,463652.3,2565925.0,393.2,62.31,-
1808,2.729,0,0.0,0,0.0,2729433147400.3,2729433147400.3,0,0.0,446426.5,2558946.2,319.9,135.28,-
1126,2.717,0,0.0,0,0.0,2717499187993.3,2717499187993.3,1,12.4,457753.7,2575098.5,412.3,70.18,-
215,2.698,2,2.0,11,1.483,1349.2,1819.4,1,10.6,443083.4,2558763.0,311.6,19.5,-
942,2.502,1,0.0,0,0.0,2502265313528.6,2502265313528.6,1,17.0,467257.3,2567413.5,413.7,57.09,-
1148,2.353,10,1.5,8,1.08,1616.1,2179.2,0,0.0,464457.5,2576412.5,437.6,72.94,AL DIREZ
1816,2.348,6,1.0,5,0.742,2348.4,3166.6,0,0.0,474522.9,2561122.6,439.6,144.93,-
547,2.315,0,0.0,0,0.0,2314840265016.6,2314840265016.6,0,0.0,439044.9,2568779.5,323.9,33.45,-
1128,2.158,0,0.0,0,0.0,2157765116603.3,2157765116603.3,0,0.0,454844.8,2565920.1,360.4,70.75,-
168,2.107,1,0.0,0,0.0,2107041235960.6,2107041235960.6,1,13.8,440598.8,2565467.4,318.6,17.24,-
580,2.082,0,0.0,0,0.0,2082037646206.2,2082037646206.2,1,35.8,449618.2,2574275.3,384.5,35.74,-
551,2.04,0,0.0,0,0.0,2039658734007.0,2039658734007.0,0,0.0,436909.4,2574498.3,328.5,33.56,-
1432,2.039,8,0.0,0,0.0,2038632468741.7,2038632468741.7,0,0.0,458520.1,2576338.0,414.0,78.48,AL DIREZ
1640,1.995,0,0.0,0,0.0,1994796603835.5,1994796603835.5,1,13.1,450178.1,2561725.7,337.6,87.95,-
187,1.974,0,0.0,0,0.0,1974127081944.7,1974127081944.7,0,0.0,441541.9,2569445.4,337.2,19.5,-
