SID,plots,props,people,q,x,y,village,km_to_built_net,pipe_km_inside,m_per_property,remote_G201
10,61421,95569.168,421925.923,72190.123,453874.462,2570654.119,AL TAYYEB (P.A.),2.37,1575.86,16.5,False
61,1761,2251.012,10033.86,1771.951,474131.987,2573352.846,BAT (P.A.),22.61,63.55,28.2,False
6,256,256.0,1361.92,189.852,442042.348,2565305.429,-,1.32,1.3,5.1,False
20,128,128.0,680.96,94.926,443754.329,2559810.119,-,2.83,2.62,20.5,False
29,100,100.0,532.0,74.161,446943.913,2558317.106,-,4.87,5.99,59.9,False
13,103,81.178,154.918,148.318,434578.217,2575103.969,HAI AL SAADAH -S2,13.08,13.44,165.6,True
67,37,39.4,204.288,29.041,473434.087,2561906.91,SWAIDA ALMA (P.A.),22.65,3.2,81.2,True
32,30,37.856,201.394,28.074,448881.11,2562414.026,AL SULAIF,3.15,2.5,66.0,True
65,21,26.414,85.205,21.971,473310.048,2561233.214,-,22.74,1.24,46.9,True
50,27,26.0,138.32,19.282,463004.496,2566175.519,-,11.45,0.78,30.0,True
64,19,13.912,74.012,10.317,474287.063,2561102.959,-,23.71,5.4,388.2,True
22,10,10.0,53.2,7.416,443544.721,2560686.349,-,2.06,0.41,41.0,True
34,12,9.81,44.05,11.237,449482.998,2561288.234,-,4.21,1.85,188.6,True
7,9,9.0,47.88,6.674,441185.722,2564884.882,-,2.17,0.0,0.0,True
60,6,7.824,41.624,5.802,467674.873,2577376.723,AL WAHRAH,17.72,0.0,0.0,True
5,10,7.28,38.73,5.399,437288.843,2564593.923,ALSHARYAH,6.08,0.43,59.1,True
0,7,7.0,37.24,5.191,441608.762,2560416.356,-,3.5,0.0,0.0,True
8,8,6.434,10.64,3.982,440047.067,2565546.54,-,3.32,2.37,368.4,True
51,6,5.824,30.984,4.319,463755.271,2579392.617,AL DIREZ,15.4,0.0,0.0,True
52,4,5.824,30.984,4.319,464458.311,2579428.911,AL DIREZ,16.0,0.0,0.0,True
66,9,5.824,30.984,4.319,472770.916,2561793.875,-,22.05,0.0,0.0,True
62,5,5.824,30.984,4.319,471032.551,2575415.885,AL WAHRAH,20.11,0.0,0.0,True
39,2,4.434,0.0,2.499,450942.855,2572958.059,-,2.35,0.0,0.0,True
41,4,4.368,23.238,3.239,452026.56,2570497.978,-,0.76,0.34,77.8,True
57,5,3.456,18.386,2.563,467482.224,2566444.707,-,15.8,0.0,0.0,True
2,3,3.0,15.96,2.225,440160.941,2562940.733,-,3.78,0.0,0.0,True
19,3,3.0,15.96,2.225,443014.719,2558708.357,-,4.1,0.5,166.7,True
28,3,3.0,15.96,2.225,445825.38,2558385.883,-,4.4,0.0,0.0,True
15,3,3.0,15.96,2.225,441882.247,2558839.976,-,4.49,0.0,0.0,True
55,3,3.0,15.96,2.225,469495.245,2565220.187,-,18.0,0.59,196.7,True
3,4,2.912,15.492,2.16,439731.659,2563555.425,-,3.91,0.0,0.0,True
54,2,2.912,15.492,2.16,467178.279,2577861.81,AL WAHRAH,17.5,0.0,0.0,True
25,2,2.0,10.64,1.483,444338.188,2558497.821,-,4.08,0.0,0.0,True
21,3,2.0,10.64,1.483,443597.011,2558902.802,-,3.75,0.14,70.0,True
26,2,2.0,10.64,1.483,444141.186,2561227.824,-,1.37,0.0,0.0,True
14,1,1.53,0.0,5.096,436659.069,2574558.475,HAI AL SAADAH -S2,11.09,0.65,424.8,True
49,1,1.53,0.0,5.096,459610.336,2573343.55,-,8.7,0.0,0.0,True
1,1,1.456,7.746,1.08,439215.452,2562508.283,-,4.76,0.0,0.0,True
4,1,1.456,7.746,1.08,438016.49,2563597.084,-,5.52,0.0,0.0,True
45,1,1.456,7.746,1.08,457152.136,2578822.076,AL DIREZ,10.25,0.0,0.0,True
59,4,1.456,7.746,1.08,468099.079,2566698.015,-,16.37,2.5,1717.0,True
44,1,1.456,7.746,1.08,456031.813,2579017.463,AL DIREZ,9.8,0.0,0.0,True
68,1,1.456,7.746,1.08,472820.88,2574957.122,-,21.7,0.0,0.0,True
69,1,1.456,7.746,1.08,476243.211,2571484.186,-,24.44,0.0,0.0,True
48,1,1.456,7.746,1.08,457314.814,2579151.38,-,10.62,0.0,0.0,True
