SID,village,plots,props,people,q,pipe_km_exclusive,m_per_property,m_per_m3d,km_to_core,km_to_built_net,G201_remote,pkg_eligible,TRANCHE,SOLUTION
10,-,9,9.0,47.88,6.67,0.0,0.0,0.0,2.01,2.17,True,False,1 - sewer,connect to the network
90,-,10,10.0,53.2,7.42,0.0,0.0,0.0,3.0,5.3,True,True,1 - sewer,connect to the network
160,AL WAHRAH,6,7.82,41.62,5.8,0.0,0.0,0.0,7.69,17.72,True,False,1 - sewer,connect to the network
73,-,8,8.0,42.56,5.93,0.0,0.0,0.0,0.66,2.71,True,False,1 - sewer,connect to the network
59,-,11,11.0,58.52,8.16,0.0,0.0,0.0,0.55,3.21,True,True,1 - sewer,connect to the network
137,-,26,26.0,138.32,19.28,0.0,0.0,0.0,0.3,11.78,True,True,1 - sewer,connect to the network
132,-,2,2.91,15.49,2.16,0.0,0.0,0.0,4.28,13.16,True,False,1 - sewer,connect to the network
152,-,3,3.0,15.96,2.22,0.0,0.0,0.0,0.13,18.0,True,False,1 - sewer,connect to the network
115,-,3,4.37,23.24,3.24,0.0,0.0,0.0,0.3,6.76,True,False,1 - sewer,connect to the network
171,AL WAHRAH,4,4.37,23.24,3.24,0.0,0.0,0.0,8.79,20.09,True,False,1 - sewer,connect to the network
143,AL DIREZ,3,4.37,23.24,3.24,0.0,0.0,0.0,7.78,15.99,True,False,1 - sewer,connect to the network
31,-,3,4.37,23.24,3.24,0.0,0.0,0.0,0.07,3.43,True,False,1 - sewer,connect to the network
1,-,4,4.0,21.28,2.97,0.0,0.0,0.0,2.84,3.4,True,False,1 - sewer,connect to the network
166,-,2,3.0,15.96,2.22,0.0,0.0,0.0,8.78,21.0,True,False,1 - sewer,connect to the network
135,-,3,3.0,15.96,2.22,0.0,0.0,0.0,0.07,9.96,True,False,1 - sewer,connect to the network
17,-,2,2.91,15.49,2.16,0.0,0.0,0.0,0.04,3.79,True,False,1 - sewer,connect to the network
154,-,5,3.46,18.39,2.56,0.0,0.0,0.0,0.29,15.8,True,False,1 - sewer,connect to the network
182,BAT,2,3.06,0.0,10.19,0.0,0.0,0.0,8.43,23.06,True,False,1 - sewer,connect to the network
3,-,3,3.0,15.96,2.22,0.0,0.0,0.0,3.69,3.78,True,False,1 - sewer,connect to the network
28,-,3,3.0,15.96,2.22,0.0,0.0,0.0,2.98,4.49,True,False,1 - sewer,connect to the network
0,-,3,3.0,15.96,2.22,0.0,0.0,0.0,3.08,3.67,True,False,1 - sewer,connect to the network
60,-,3,3.0,15.96,2.22,0.0,0.0,0.0,0.05,0.88,True,False,1 - sewer,connect to the network
105,-,2,4.43,0.0,2.5,0.0,0.0,0.0,0.32,2.35,True,False,1 - sewer,connect to the network
23,HAI AL SAADAH -S2,7,7.28,38.73,5.4,0.0,0.0,0.0,4.97,12.92,True,False,1 - sewer,connect to the network
58,-,4,4.0,21.28,2.97,0.0,0.0,0.0,0.83,3.49,True,False,1 - sewer,connect to the network
61,-,1,1.46,7.75,1.08,0.0,0.0,0.0,0.0,0.04,True,False,1 - sewer,connect to the network
102,AL SULAIF,1,1.46,7.75,1.08,0.0,0.0,0.0,0.18,2.94,True,False,1 - sewer,connect to the network
119,-,1,1.46,7.75,1.08,0.0,0.0,0.0,0.49,7.16,True,False,1 - sewer,connect to the network
121,AL DIREZ,1,1.46,7.75,1.08,0.0,0.0,0.0,0.99,9.8,True,False,1 - sewer,connect to the network
4,-,2,1.46,7.75,1.08,0.0,0.0,0.0,3.2,4.26,True,False,1 - sewer,connect to the network
84,-,1,1.46,7.75,1.08,0.0,0.0,0.0,0.31,1.69,True,False,1 - sewer,connect to the network
62,-,1,1.46,7.75,1.08,0.0,0.0,0.0,0.04,0.41,True,False,1 - sewer,connect to the network
168,-,1,1.46,7.75,1.08,0.0,0.0,0.0,8.72,20.13,True,False,1 - sewer,connect to the network
