NODE,X,Y,GROUND,DEPTH_M,LIFT_M,PLOTS_UP,QADF_M3D,QPK_LS,P_KW,EXC_M,EXC_REACHES,STATUS,MAXDEPTH_NOPS,GROUND_RECOV_M,GROUND_FULL_M,DM_M2,DIG_B1,DIG_B15,DIG_B2,PS_CAPEX,PS_OPEX_YR,PS_KWH_YR,PS_LCC,PS_LCC_NOSTAFF,ELIMINABLE,WIN_STAFFED_B1.0,WIN_STAFFED_B1.5,WIN_STAFFED_B2.0,WIN_UNSTAFFED_B1.0,WIN_UNSTAFFED_B1.5,WIN_UNSTAFFED_B2.0
7246,451830.5308954345,2571337.66700366,377.88,12.212,10.612,87,95.02,3.875,0.403,2824.2,1,REBREACH,25.39,2824.2,,48574.6,1748684.0,2643164.0,4466877.0,19434.0,12206.0,1543.0,191462.0,22335.0,0,1,1,1,1,1,1
790,442937.013631437,2565100.267103237,325.8,12.369,10.769,79,97.38,3.959,0.418,2212.4,1,REBREACH,24.98,,,37777.1,1359975.0,2044318.0,3428934.0,19814.0,12210.0,1605.0,191907.0,22779.0,0,1,1,1,1,1,1
18832,464658.2484151162,2567389.3430741597,398.21,12.021,10.421,241,222.58,8.188,0.837,1635.9,1,REBREACH,30.6,,,32242.8,1160740.0,1885692.0,3492811.0,28677.0,12329.0,3549.0,202443.0,33315.0,0,1,1,1,1,1,1
18921,463185.21915057936,2575213.253332722,430.01,13.127,11.527,5959,6136.43,151.116,17.088,5539.0,3,CONVERGED,13.13,684.2,5539.0,29946.2,1078062.0,1288038.0,1624353.0,143089.0,15453.0,108236.0,360877.0,191749.0,1,1,1,1,1,1,1
13043,439589.1133127933,2571605.8193981433,339.85,16.561,14.961,76,199.18,7.426,1.09,1146.0,1,REBREACH,27.45,,,23386.8,841924.0,1327543.0,2338166.0,33010.0,12388.0,4560.0,207610.0,38482.0,0,1,1,1,1,1,1
18889,460399.07062737946,2575423.8430835996,416.81,24.764,23.164,1,3.18,0.131,0.05,1006.1,1,REBREACH,28.82,,,23305.8,839008.0,1460210.0,2798278.0,6388.0,12060.0,113.0,176358.0,7230.0,0,1,1,1,1,1,1
19569,457753.68571202643,2575098.5008010734,412.32,13.993,12.393,5,5.75,0.237,0.05,1609.9,1,REBREACH,14.5,1609.9,,19951.4,718249.0,944584.0,1324278.0,6388.0,12060.0,109.0,176357.0,7229.0,0,1,1,1,1,1,1
7128,440259.5934981061,2570676.500779096,345.01,32.949,31.349,78,212.37,7.857,2.416,605.6,1,REBREACH,35.18,,,18985.8,683488.0,1289578.0,2732240.0,50452.0,12658.0,10187.0,228850.0,59723.0,0,1,1,1,1,1,1
18195,456150.1329617736,2574434.439094586,411.6,22.701,21.101,28,29.99,1.238,0.256,1150.8,1,REBREACH,22.7,1150.8,,18296.2,658662.0,956942.0,1536931.0,15264.0,12157.0,968.0,186601.0,17474.0,0,1,1,1,1,1,1
21197,441838.0840083901,2574070.2752695866,399.49,18.911,17.311,0,0.72,0.03,0.05,683.5,1,REBREACH,35.1,,,17363.9,625102.0,1081985.0,2134554.0,6388.0,12058.0,19.0,176331.0,7204.0,0,1,1,1,1,1,1
