CLUSTER,N_BREACH,ALL_ELIMINABLE,PLOTS_UP,QADF_M3D,LIFT_M,DIG_B15,PS_LCC,PS_LCC_NOSTAFF,KEEP_STAFFED,KEEP_NOSTAFF
0,11,0,3201,3777.1,13.44,2976278.0,308846.0,139718.0,1,1
1,94,0,36974,42753.9,28.64,13580917.0,764082.0,594954.0,1,1
2,5,0,241,222.6,15.27,2597877.0,202443.0,33315.0,1,1
3,45,0,5959,6136.4,23.16,7362936.0,370864.0,201737.0,1,1
4,6,0,428,471.1,39.64,2915799.0,228850.0,59723.0,1,1
5,1,0,5,5.8,12.39,944584.0,176357.0,7229.0,1,1
6,2,0,28,30.0,24.26,1186762.0,186601.0,17474.0,1,1
7,2,0,0,1.6,17.31,1679160.0,176337.0,7210.0,1,1
8,5,0,337,314.6,18.77,1660859.0,217837.0,48710.0,1,1
9,5,0,254,221.2,12.9,1325117.0,203326.0,34199.0,1,1
10,2,0,16368,18115.4,11.44,891246.0,525220.0,356093.0,1,1
11,7,0,55,158.4,29.46,1294550.0,202753.0,33626.0,1,1
12,17,0,1567,1883.6,18.92,2386252.0,266817.0,97689.0,1,1
13,1,0,24,16.6,11.58,361866.0,178337.0,9210.0,1,1
14,4,0,199,144.4,17.93,494679.0,197144.0,28017.0,1,1
15,6,0,276,685.3,55.49,950817.0,231660.0,62533.0,1,1
16,3,0,1,9.8,17.54,495641.0,176523.0,7395.0,1,1
17,5,0,1068,1319.2,35.78,467066.0,276664.0,107537.0,1,1
18,3,0,928,1325.3,13.18,299309.0,255486.0,86358.0,1,1
19,1,0,26,10.8,20.48,228331.0,179041.0,9914.0,1,1
20,2,0,1007,1032.4,17.19,64967.0,251030.0,81903.0,1,1
21,1,0,292,380.9,10.76,52740.0,213168.0,44041.0,1,1
22,1,0,8,3.1,14.23,59714.0,176345.0,7218.0,1,1
23,3,0,38,36.7,14.09,80544.0,182758.0,13631.0,1,1
24,1,0,147,168.1,10.76,39492.0,198735.0,29608.0,1,1
25,1,0,41,37.6,11.19,37929.0,183137.0,14010.0,1,1
26,1,0,172,216.3,11.04,22113.0,203034.0,33907.0,1,1
27,1,0,8,11.3,11.89,23312.0,176710.0,7583.0,1,1
28,1,0,41,46.2,10.48,15472.0,184259.0,15131.0,1,1
29,2,0,2191,2166.2,11.42,7828.0,278308.0,109180.0,1,1
