PS_LCC_OMR,B,BREACH_DEPTH_M,MARG_OMR_M2,BREAKEVEN_DM_M2,BREAKEVEN_LEN_M
25000.0,1.0,13.0,36.0,694.0,122.0
25000.0,1.0,15.0,36.0,694.0,104.0
25000.0,1.0,18.0,36.0,694.0,85.0
25000.0,1.5,13.0,46.5,537.0,94.0
25000.0,1.5,15.0,49.2,508.0,76.0
25000.0,1.5,18.0,53.0,472.0,58.0
25000.0,2.0,13.0,60.8,412.0,72.0
25000.0,2.0,15.0,68.2,366.0,55.0
25000.0,2.0,18.0,79.5,314.0,38.0
50000.0,1.0,13.0,36.0,1389.0,244.0
50000.0,1.0,15.0,36.0,1389.0,207.0
50000.0,1.0,18.0,36.0,1389.0,169.0
50000.0,1.5,13.0,46.5,1075.0,189.0
50000.0,1.5,15.0,49.2,1016.0,152.0
50000.0,1.5,18.0,53.0,944.0,115.0
50000.0,2.0,13.0,60.8,823.0,144.0
50000.0,2.0,15.0,68.2,733.0,109.0
50000.0,2.0,18.0,79.5,629.0,77.0
100000.0,1.0,13.0,36.0,2778.0,487.0
100000.0,1.0,15.0,36.0,2778.0,415.0
100000.0,1.0,18.0,36.0,2778.0,339.0
100000.0,1.5,13.0,46.5,2149.0,377.0
100000.0,1.5,15.0,49.2,2032.0,303.0
100000.0,1.5,18.0,53.0,1888.0,230.0
100000.0,2.0,13.0,60.8,1646.0,289.0
100000.0,2.0,15.0,68.2,1465.0,219.0
100000.0,2.0,18.0,79.5,1258.0,153.0
150000.0,1.0,13.0,36.0,4167.0,731.0
150000.0,1.0,15.0,36.0,4167.0,622.0
150000.0,1.0,18.0,36.0,4167.0,508.0
150000.0,1.5,13.0,46.5,3224.0,566.0
150000.0,1.5,15.0,49.2,3048.0,455.0
150000.0,1.5,18.0,53.0,2832.0,345.0
150000.0,2.0,13.0,60.8,2469.0,433.0
150000.0,2.0,15.0,68.2,2198.0,328.0
150000.0,2.0,18.0,79.5,1887.0,230.0
200000.0,1.0,13.0,36.0,5556.0,975.0
200000.0,1.0,15.0,36.0,5556.0,829.0
200000.0,1.0,18.0,36.0,5556.0,678.0
200000.0,1.5,13.0,46.5,4299.0,754.0
200000.0,1.5,15.0,49.2,4064.0,607.0
200000.0,1.5,18.0,53.0,3777.0,461.0
200000.0,2.0,13.0,60.8,3292.0,578.0
200000.0,2.0,15.0,68.2,2930.0,437.0
200000.0,2.0,18.0,79.5,2516.0,307.0
300000.0,1.0,13.0,36.0,8333.0,1462.0
300000.0,1.0,15.0,36.0,8333.0,1244.0
300000.0,1.0,18.0,36.0,8333.0,1016.0
300000.0,1.5,13.0,46.5,6448.0,1131.0
300000.0,1.5,15.0,49.2,6096.0,910.0
300000.0,1.5,18.0,53.0,5665.0,691.0
300000.0,2.0,13.0,60.8,4938.0,866.0
300000.0,2.0,15.0,68.2,4396.0,656.0
300000.0,2.0,18.0,79.5,3774.0,460.0
500000.0,1.0,13.0,36.0,13889.0,2437.0
500000.0,1.0,15.0,36.0,13889.0,2073.0
500000.0,1.0,18.0,36.0,13889.0,1694.0
500000.0,1.5,13.0,46.5,10746.0,1885.0
500000.0,1.5,15.0,49.2,10160.0,1516.0
500000.0,1.5,18.0,53.0,9442.0,1151.0
500000.0,2.0,13.0,60.8,8230.0,1444.0
500000.0,2.0,15.0,68.2,7326.0,1093.0
500000.0,2.0,18.0,79.5,6289.0,767.0
