DEPTH_M,EXC_M,STATUS,MAXDEPTH_NOPS,recover_m,best_depth,q,diff
12.003,1208.2,CONVERGED,12.0,168.39867731142522,1.3188461500986364,41977.49037099101,1039.8
12.011,24.5,REBREACH,12.09,24.48105121417288,1.6,275.7460503981696,0.0
12.021,1635.9,REBREACH,30.6,1635.8782666444467,1.6,214.5517168899785,0.0
12.036,115.6,REBREACH,12.93,115.60604565792434,1.6,286.2431823002088,0.0
12.04,184.5,REBREACH,12.42,184.4907694694925,1.6,125.80604452489482,0.0
12.043,4.0,REBREACH,12.05,3.995617899361241,1.6,75.21299797560968,0.0
12.044,64.8,REBREACH,12.12,64.8459713474939,1.6,266.10442085489524,0.0
12.048,69.3,REBREACH,12.69,69.30065142505357,1.6,44.24541655538996,0.0
12.059,102.5,REBREACH,13.07,102.48629882118308,1.6,118.55477153062424,0.0
12.066,86.1,REBREACH,12.39,86.09623626112251,1.6,69.00025646968021,0.0
12.079,35.7,REBREACH,12.16,35.70290103786936,1.6,32.92739519999999,0.0
12.08,64.6,REBREACH,12.77,64.64790306735185,1.6,40.71223118541352,0.0
12.081,231.8,REBREACH,13.09,231.79136348431976,-10.550038210425384,5411.688605089069,0.0
12.082,21.0,REBREACH,12.53,37.46810144377749,1.6,44.27503324494632,16.5
12.082,37.5,REBREACH,12.38,21.02379604162864,1.6,284.9921508841238,16.5
12.083,114.1,REBREACH,12.4,38.87420136226409,2.0,2674.0652683152057,75.19999999999999
12.088,38.9,REBREACH,12.35,404.5281205292414,1.6,35.294607936,365.6
12.103,404.5,REBREACH,15.01,75.22747579707585,1.6,347.5391589395173,329.3
12.124,485.2,REBREACH,12.19,59.85868979086626,0.7643103903350834,368.2079731032155,425.3
12.126,59.9,REBREACH,12.77,31.680947246850717,1.6,62.728218702443634,28.2
12.127,31.7,REBREACH,12.16,19.931738550516634,1.6,43.968502734443646,11.8
12.139,54.1,REBREACH,12.22,46.83257921501068,1.6,68.166222095978,7.300000000000004
12.139,46.8,REBREACH,12.83,206.36386426526172,1.6,46.436198120707786,159.60000000000002
12.14,206.4,REBREACH,14.44,84.37551451410819,1.6,19.436062464,122.0
12.141,84.4,REBREACH,12.64,61.78552153069735,2.0,3709.3683109880217,22.60000000000001
12.15,345.1,REBREACH,12.15,22.02087036407298,1.6,2.159562496,323.1
12.156,22.0,REBREACH,12.43,548.9671105560592,-0.1799778228142372,19914.788795823308,527.0
12.161,743.0,REBREACH,12.16,156.2012925252268,1.6,6.176159054443639,586.8
12.166,156.2,REBREACH,12.55,441.29392094945024,1.715,843.3293628983206,285.1
12.174,441.3,REBREACH,15.34,178.02686843895594,1.6,0.0,263.3
12.175,178.0,REBREACH,14.67,103.84574154712688,1.6,8.638249984,74.2
12.179,515.5,REBREACH,12.85,79.26582415217699,1.6,200.0112714078056,436.2
12.182,79.3,REBREACH,12.36,3.126748146760133,1.6,45.54635062253084,76.2
12.198,3.1,REBREACH,12.21,188.45240190464304,1.6,218.45498586323657,185.4
12.208,188.5,REBREACH,13.91,2824.2133594677625,1.6,93.56127843906422,2635.7
12.212,2824.2,REBREACH,25.39,149.9384583571103,1.6,161.89476322888095,2674.2999999999997
12.239,464.1,REBREACH,12.37,214.620380557547,1.8,1458.267876315997,249.50000000000003
12.241,214.6,REBREACH,14.44,33.369807984686666,1.1735269443442462,1424.4206204985717,181.2
12.25,33.4,REBREACH,13.18,35.74965092780053,1.6,123.44926883725309,2.3000000000000043
