K_DEPTH,B,STAFFED,STATIONS,PCT,EXTRA_DIG_MOMR,SAVED_MOMR
10,1.0,1,187,78.2,6.066,13.095
10,1.0,0,230,96.2,0.544,2.202
10,1.5,1,200,83.7,4.283,10.141
10,1.5,0,231,96.7,0.532,2.062
10,2.0,1,208,87.0,3.343,8.193
10,2.0,0,232,97.1,0.664,2.047
15,1.0,1,204,85.4,3.954,9.079
15,1.0,0,231,96.7,0.65,2.062
15,1.5,1,212,88.7,2.781,7.183
15,1.5,0,233,97.5,0.622,1.902
15,2.0,1,217,90.8,2.333,6.117
15,2.0,0,234,97.9,0.799,1.895
20,1.0,1,213,89.1,2.724,6.955
20,1.0,0,233,97.5,0.67,1.902
20,1.5,1,218,91.2,2.21,5.917
20,1.5,0,234,97.9,0.821,1.895
20,2.0,1,220,92.1,2.22,5.396
20,2.0,0,235,98.3,1.052,1.883
30,1.0,1,219,91.6,2.377,5.608
30,1.0,0,234,97.9,0.994,1.895
30,1.5,1,220,92.1,2.612,5.396
30,1.5,0,235,98.3,1.217,1.883
30,2.0,1,223,93.3,2.511,4.721
30,2.0,0,236,98.7,1.134,1.527
45,1.0,1,223,93.3,2.391,4.707
45,1.0,0,236,98.7,1.08,1.527
45,1.5,1,225,94.1,2.52,4.34
45,1.5,0,236,98.7,1.329,1.527
45,2.0,1,227,95.0,2.414,3.638
45,2.0,0,238,99.6,0.52,0.571
60,1.0,1,226,94.6,2.203,3.815
60,1.0,0,237,99.2,0.806,0.932
60,1.5,1,228,95.4,1.726,2.874
60,1.5,0,238,99.6,0.559,0.571
60,2.0,1,229,95.8,1.643,2.343
60,2.0,0,239,100.0,0.0,0.0
90,1.0,1,229,95.8,1.935,2.694
90,1.0,0,239,100.0,0.0,0.0
90,1.5,1,232,97.1,0.704,1.247
90,1.5,0,239,100.0,0.0,0.0
90,2.0,1,235,98.3,0.297,0.71
90,2.0,0,239,100.0,0.0,0.0
