n,min,mean,max,p1,p5,p25,p50,p75,p95,p99,scope,tier,metric
2798,0.0,75.95,2704.0,0.0,0.0,3.0,9.0,30.0,416.45,1127.0,all packages,lateral,UP_PROPS
2798,11.63,1007.66,32245.46,17.49,23.0,62.32,157.52,471.95,6611.19,11949.33,all packages,lateral,UP_LEN
2798,1.0,35.22,1123.0,1.0,1.0,2.0,6.0,16.0,224.15,427.03,all packages,lateral,UP_PIPES
322,0.0,164.23,686.0,0.0,0.0,35.0,99.0,252.75,471.7,686.0,all packages,sub_main,UP_PROPS
322,19.1,4024.93,15994.41,44.05,208.91,1320.34,3256.06,5110.15,12603.8,15903.54,all packages,sub_main,UP_LEN
322,1.0,135.11,527.0,1.21,6.05,46.0,109.5,163.0,428.4,523.79,all packages,sub_main,UP_PIPES
146,35.0,466.18,1292.0,37.45,63.25,238.0,421.0,773.0,781.0,795.55,all packages,trunk_main,UP_PROPS
146,231.89,13202.65,40345.5,275.43,697.88,3434.64,11923.14,22965.02,23931.41,24130.28,all packages,trunk_main,UP_LEN
146,8.0,453.95,1155.0,9.45,26.25,125.25,422.5,789.75,818.75,824.55,all packages,trunk_main,UP_PIPES
1675,0.0,13.0,136.0,0.0,0.0,2.0,6.0,17.0,53.0,81.0,5A-2..5A-5,lateral,UP_PROPS
1675,12.08,293.16,2466.64,17.75,24.67,68.86,157.51,346.17,1073.88,1895.63,5A-2..5A-5,lateral,UP_LEN
1675,1.0,10.19,82.0,1.0,1.0,2.0,6.0,12.0,39.0,63.26,5A-2..5A-5,lateral,UP_PIPES
322,0.0,164.23,686.0,0.0,0.0,35.0,99.0,252.75,471.7,686.0,5A-2..5A-5,sub_main,UP_PROPS
322,19.1,4024.93,15994.41,44.05,208.91,1320.34,3256.06,5110.15,12603.8,15903.54,5A-2..5A-5,sub_main,UP_LEN
322,1.0,135.11,527.0,1.21,6.05,46.0,109.5,163.0,428.4,523.79,5A-2..5A-5,sub_main,UP_PIPES
146,35.0,466.18,1292.0,37.45,63.25,238.0,421.0,773.0,781.0,795.55,5A-2..5A-5,trunk_main,UP_PROPS
146,231.89,13202.65,40345.5,275.43,697.88,3434.64,11923.14,22965.02,23931.41,24130.28,5A-2..5A-5,trunk_main,UP_LEN
146,8.0,453.95,1155.0,9.45,26.25,125.25,422.5,789.75,818.75,824.55,5A-2..5A-5,trunk_main,UP_PIPES
