FEATUREID,PKG,TIER,props_up,len_up_m,qadf_m3d,pf,qpk_ls,od_built_mm,dn_our_rules,slope_built_pct,slope_req_pct,slope_ratio,dod_built,v_built_ms,surcharged,dod_limit,over_dod,under_self_cleansing,over_vmax,depth_ds_m
L011982,5A-5,trunk_main,566.0,18702.8,498.25,2.88,16.63,200,250,0.208,0.375,0.55,,,1,0.65,0,0,0,2.860000000000014
L011983,5A-5,trunk_main,543.0,18124.9,478.13,2.9,16.03,200,250,0.209,0.375,0.56,,,1,0.65,0,0,0,2.689999999999998
L011984,5A-5,trunk_main,543.0,18103.4,478.11,2.9,16.03,200,250,0.209,0.375,0.56,,,1,0.65,0,0,0,2.444999999999993
L011985,5A-5,trunk_main,543.0,18079.4,478.1,2.9,16.03,200,250,0.209,0.375,0.56,,,1,0.65,0,0,0,2.365000000000009
L011986,5A-5,trunk_main,543.0,18045.4,478.07,2.9,16.03,200,250,0.21,0.375,0.56,,,1,0.65,0,0,0,4.533999999999992
L012322,5A-5,lateral,7.0,129.6,6.09,3.57,0.25,160,200,2.615,0.5,5.23,0.072,0.436,0,0.65,0,1,0,1.0
L011987,5A-5,trunk_main,543.0,18012.5,478.05,2.9,16.03,200,250,0.208,0.375,0.55,,,1,0.65,0,0,0,6.125
L012323,5A-5,lateral,5.0,101.7,4.36,3.57,0.18,160,200,1.098,0.5,2.2,0.076,0.291,0,0.65,0,1,0,1.0
L012324,5A-5,lateral,5.0,69.9,4.33,3.57,0.18,160,200,1.096,0.5,2.19,0.076,0.29,0,0.65,0,1,0,1.849999999999966
L012093,5A-5,sub_main,182.0,4171.0,158.89,3.31,6.09,160,200,0.385,0.5,0.77,0.576,0.573,0,0.65,0,1,0,4.839999999999975
L012092,5A-5,sub_main,186.0,4206.1,162.34,3.3,6.2,160,200,0.399,0.5,0.8,0.576,0.584,0,0.65,0,1,0,4.879999999999995
L012094,5A-5,sub_main,179.0,4132.0,156.29,3.32,6.0,160,200,0.415,0.5,0.83,0.557,0.589,0,0.65,0,1,0,4.660000000000025
L012091,5A-5,sub_main,188.0,4235.7,164.07,3.3,6.26,160,200,0.405,0.5,0.81,0.577,0.589,0,0.65,0,1,0,4.610000000000014
L012095,5A-5,sub_main,179.0,4093.5,156.26,3.32,6.0,160,200,0.382,0.5,0.76,0.572,0.57,0,0.65,0,1,0,4.809999999999945
L012090,5A-5,sub_main,189.0,4270.5,164.95,3.3,6.29,160,200,0.402,0.5,0.8,0.58,0.588,0,0.65,0,1,0,5.0
L012089,5A-5,sub_main,189.0,4294.5,164.97,3.3,6.29,160,200,0.417,0.5,0.83,0.573,0.596,0,0.65,0,1,0,4.889999999999986
L012088,5A-5,sub_main,190.0,4327.0,165.85,3.29,6.32,160,200,0.401,0.5,0.8,0.582,0.588,0,0.65,0,1,0,5.200000000000045
