FEATUREID,PKG,TIER,props_up,len_up_m,qadf_m3d,pf,qpk_ls,od_built_mm,dn_our_rules,slope_built_pct,slope_req_pct,slope_ratio,dod_built,v_built_ms,surcharged,dod_limit,over_dod,under_self_cleansing,over_vmax,depth_ds_m
L011421,5A-4,trunk_main,796.0,24146.2,699.16,2.77,22.39,200,250,1.84,0.375,4.91,0.548,1.436,0,0.65,0,0,0,3.46999999999997
L011420,5A-4,trunk_main,795.0,24110.8,698.28,2.77,22.37,200,250,1.841,0.375,4.91,0.547,1.436,0,0.65,0,0,0,2.548999999999978
L011417,5A-4,trunk_main,781.0,23995.5,686.2,2.77,22.03,200,250,0.344,0.375,0.92,,,1,0.65,0,0,0,0.968000000000018
L011418,5A-4,trunk_main,781.0,24029.1,686.23,2.77,22.03,200,250,0.348,0.375,0.93,,,1,0.65,0,0,0,2.40500000000003
L011463,5A-4,trunk_main,781.0,23965.3,686.18,2.77,22.03,200,250,0.348,0.375,0.93,,,1,0.65,0,0,0,2.194000000000017
L011462,5A-4,trunk_main,781.0,23939.7,686.16,2.77,22.03,200,250,0.346,0.375,0.92,,,1,0.65,0,0,0,1.865000000000009
L011461,5A-4,trunk_main,781.0,23906.5,686.14,2.77,22.03,200,250,0.346,0.375,0.92,,,1,0.65,0,0,0,2.150000000000034
L011460,5A-4,trunk_main,781.0,23858.9,686.1,2.77,22.03,200,250,0.348,0.375,0.93,,,1,0.65,0,0,0,1.774999999999977
L011419,5A-4,trunk_main,781.0,24071.7,686.26,2.77,22.03,200,250,1.842,0.375,4.91,0.542,1.431,0,0.65,0,0,0,1.879000000000019
L011459,5A-4,trunk_main,781.0,23810.0,686.07,2.77,22.02,200,250,0.348,0.375,0.93,,,1,0.65,0,0,0,2.83499999999998
L011453,5A-4,trunk_main,780.0,23594.7,685.06,2.77,22.0,200,250,0.347,0.375,0.93,,,1,0.65,0,0,0,2.228000000000009
L011452,5A-4,trunk_main,780.0,23566.1,685.04,2.77,22.0,200,250,0.35,0.375,0.93,,,1,0.65,0,0,0,2.38900000000001
L011455,5A-4,trunk_main,780.0,23657.1,685.1,2.77,22.0,200,250,0.347,0.375,0.93,,,1,0.65,0,0,0,2.244000000000028
L011457,5A-4,trunk_main,780.0,23725.8,685.15,2.77,22.0,200,250,0.347,0.375,0.92,,,1,0.65,0,0,0,2.572999999999979
L011458,5A-4,trunk_main,780.0,23763.7,685.18,2.77,22.0,200,250,0.345,0.375,0.92,,,1,0.65,0,0,0,2.913999999999987
L011454,5A-4,trunk_main,780.0,23625.1,685.08,2.77,22.0,200,250,0.345,0.375,0.92,,,1,0.65,0,0,0,2.293000000000006
L011456,5A-4,trunk_main,780.0,23691.2,685.13,2.77,22.0,200,250,0.349,0.375,0.93,,,1,0.65,0,0,0,2.353000000000009
L011193,5A-2,trunk_main,780.0,23447.8,684.95,2.77,21.99,200,250,0.51,0.375,1.36,,,1,0.65,0,0,0,2.913999999999987
L011451,5A-4,trunk_main,780.0,23538.7,685.02,2.77,21.99,200,250,0.344,0.375,0.92,,,1,0.65,0,0,0,3.033000000000015
L011484,5A-4,trunk_main,780.0,23512.6,685.0,2.77,21.99,200,250,0.347,0.375,0.93,,,1,0.65,0,0,0,3.062999999999988
L010741,5A-2,trunk_main,780.0,23468.6,684.97,2.77,21.99,200,250,0.51,0.375,1.36,,,1,0.65,0,0,0,2.979999999999961
L010742,5A-2,trunk_main,780.0,23408.7,684.92,2.77,21.99,200,250,0.512,0.375,1.37,,,1,0.65,0,0,0,2.855000000000018
L011416,5A-4,trunk_main,780.0,23489.9,684.98,2.77,21.99,200,250,0.348,0.375,0.93,,,1,0.65,0,0,0,3.093999999999994
L010744,5A-2,trunk_main,777.0,23296.6,682.27,2.78,21.92,200,250,0.511,0.375,1.36,,,1,0.65,0,0,0,3.72199999999998
L010722,5A-2,trunk_main,777.0,23333.5,682.3,2.78,21.92,200,250,0.512,0.375,1.37,,,1,0.65,0,0,0,3.680999999999983
L010743,5A-2,trunk_main,777.0,23366.4,682.32,2.78,21.92,200,250,0.508,0.375,1.35,,,1,0.65,0,0,0,2.728000000000009
L010745,5A-2,trunk_main,776.0,23261.0,681.39,2.78,21.89,200,250,0.508,0.375,1.35,,,1,0.65,0,0,0,2.57000000000005
L010746,5A-2,trunk_main,776.0,23228.5,681.37,2.78,21.89,200,250,0.511,0.375,1.36,,,1,0.65,0,0,0,2.925000000000011
L010747,5A-2,trunk_main,776.0,23191.1,681.34,2.78,21.89,200,250,0.511,0.375,1.36,,,1,0.65,0,0,0,3.313999999999965
L010748,5A-2,trunk_main,776.0,23155.5,681.32,2.78,21.89,200,250,0.51,0.375,1.36,,,1,0.65,0,0,0,3.262
