n,min,mean,max,p5,p25,p50,p75,p95,group,metric
73,0.0,28.59,136.0,0.6,10.0,20.0,36.0,86.2,SM_or_TM,props_at_outlet
73,49.7,667.83,2466.6,117.74,243.8,544.3,879.0,1976.12,SM_or_TM,len_at_outlet_m
73,2.0,22.95,82.0,4.0,8.0,18.0,30.0,69.4,SM_or_TM,pipes_at_outlet
73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SM_or_TM,chain_to_main
73,49.7,326.25,916.4,103.26,197.7,283.1,410.6,646.92,SM_or_TM,len_m
73,0.0,13.86,97.0,0.0,6.0,10.0,17.0,34.0,SM_or_TM,props_direct
509,0.0,86.01,2704.0,0.0,3.0,9.0,35.0,625.2,another_lateral,props_at_outlet
509,12.1,1072.03,32245.5,21.8,58.7,139.5,399.7,7865.14,another_lateral,len_at_outlet_m
509,1.0,37.53,1123.0,1.0,2.0,5.0,14.0,267.8,another_lateral,pipes_at_outlet
509,1.0,10.81,31.0,2.0,2.0,8.0,19.0,24.6,another_lateral,chain_to_main
509,7.1,112.34,1018.0,20.14,39.5,80.1,142.3,318.8,another_lateral,len_m
509,0.0,7.42,99.0,0.0,1.0,4.0,9.0,31.6,another_lateral,props_direct
