from_mm,to_mm,props_at_step,len_at_step_m,tier_from,tier_to,pipe
160.0,200.0,566,18702.8,lateral,trunk_main,L011982
160.0,200.0,534,17827.6,lateral,trunk_main,L011992
160.0,200.0,516,17464.3,lateral,trunk_main,L011993
160.0,200.0,490,16856.6,sub_main,trunk_main,L011996
160.0,200.0,490,16856.6,sub_main,trunk_main,L011996
160.0,200.0,771,22812.0,sub_main,trunk_main,L010720
160.0,200.0,697,19912.6,sub_main,trunk_main,L010761
160.0,200.0,655,18405.2,sub_main,trunk_main,L010768
160.0,200.0,421,11700.5,sub_main,trunk_main,L010774
160.0,200.0,35,231.9,lateral,trunk_main,L011321
160.0,200.0,35,231.9,lateral,trunk_main,L011321
160.0,200.0,86,1261.8,lateral,trunk_main,L011411
160.0,200.0,86,1261.8,lateral,trunk_main,L011411
160.0,200.0,61,666.8,lateral,trunk_main,L011327
160.0,200.0,49,507.1,lateral,trunk_main,L011326
160.0,200.0,366,9629.3,lateral,trunk_main,L010785
160.0,200.0,343,8807.3,sub_main,trunk_main,L010790
160.0,200.0,212,3096.2,lateral,trunk_main,L011315
160.0,200.0,262,5396.6,lateral,trunk_main,L010799
160.0,200.0,118,1678.1,lateral,trunk_main,L011352
