n,min,mean,max,p5,p25,p50,p75,p95,tier,metric
1675,0.0,9.466,160.946,3.158,5.49,6.032,9.402,25.71,lateral,laid_gradient_mm_per_m
1675,-100.68,4.327,183.312,-25.358,-3.06,3.047,10.771,37.423,lateral,ground_fall_mm_per_m
1675,0.471,1.926,7.105,0.935,1.135,1.555,2.472,3.978,lateral,depth_to_invert_m
1675,0.403,2.002,7.29,0.89,1.17,1.655,2.59,4.098,lateral,depth_downstream_m
1675,4.424,29.105,71.381,17.784,24.399,29.612,33.835,39.569,lateral,pipe_run_m
322,0.726,7.371,60.72,2.172,3.641,4.036,5.098,26.577,sub_main,laid_gradient_mm_per_m
322,-94.139,6.738,98.162,-15.754,0.334,5.459,12.891,38.485,sub_main,ground_fall_mm_per_m
322,0.959,4.01,8.353,1.137,3.275,4.17,4.868,6.2,sub_main,depth_to_invert_m
322,0.591,4.026,8.853,1.066,3.23,4.225,4.88,6.25,sub_main,depth_downstream_m
322,10.074,30.817,65.302,19.873,25.456,30.016,35.924,40.165,sub_main,pipe_run_m
145,2.068,5.594,18.415,2.09,4.8,5.187,6.051,8.267,trunk_main,laid_gradient_mm_per_m
145,-61.928,3.37,82.19,-27.577,-3.538,2.87,8.932,30.178,trunk_main,ground_fall_mm_per_m
145,1.289,3.411,5.91,1.901,2.382,3.204,4.517,5.076,trunk_main,depth_to_invert_m
145,0.968,3.446,6.125,1.862,2.4,3.275,4.48,5.172,trunk_main,depth_downstream_m
145,13.014,31.238,60.989,21.334,28.279,30.005,34.098,42.783,trunk_main,pipe_run_m
