threshold_m,predicted_main_pipes,actual_main_pipes,recall,precision,balanced_acc,predicted_main_km,actual_main_km
300,928,468,0.947,0.477,0.829,33.69,20.1
500,727,468,0.929,0.598,0.878,27.8,20.1
600,658,468,0.919,0.653,0.891,25.82,20.1
700,610,468,0.904,0.693,0.896,24.3,20.1
800,559,468,0.885,0.741,0.899,22.78,20.1
821,549,468,0.88,0.75,0.899,22.51,20.1
900,520,468,0.865,0.779,0.898,21.66,20.1
1000,493,468,0.846,0.803,0.894,20.91,20.1
1200,446,468,0.818,0.859,0.89,19.64,20.1
1500,394,468,0.769,0.914,0.874,18.04,20.1
2000,358,468,0.741,0.969,0.867,16.89,20.1
3000,289,468,0.618,1.0,0.809,14.72,20.1
