sm_threshold_m,tm_threshold_m,exact_tier_agreement_pct,pred_trunk_km,pred_sub_km,actual_trunk_km,actual_sub_km
1500,16000,90.8,7.94,10.11,10.18,9.92
1500,8000,90.1,10.24,7.81,10.18,9.92
1500,12000,90.0,8.56,9.48,10.18,9.92
1000,16000,89.3,7.94,12.97,10.18,9.92
1500,5000,88.7,11.74,6.3,10.18,9.92
1000,8000,88.5,10.24,10.67,10.18,9.92
1000,12000,88.5,8.56,12.35,10.18,9.92
800,16000,87.7,7.94,14.85,10.18,9.92
1000,5000,87.1,11.74,9.17,10.18,9.92
800,8000,87.0,10.24,12.55,10.18,9.92
800,12000,86.9,8.56,14.23,10.18,9.92
800,5000,85.6,11.74,11.04,10.18,9.92
1500,3000,85.3,14.72,3.32,10.18,9.92
600,16000,84.3,7.94,17.88,10.18,9.92
1000,3000,83.8,14.72,6.19,10.18,9.92
600,8000,83.6,10.24,15.58,10.18,9.92
600,12000,83.5,8.56,17.26,10.18,9.92
800,3000,82.3,14.72,8.06,10.18,9.92
600,5000,82.2,11.74,14.08,10.18,9.92
600,3000,78.9,14.72,11.1,10.18,9.92
