zone,pkg,own_len_m,contributing_len_m,contributing_pipes,contributing_props,own_share_of_catchment_pct
5A-2-SM.1,5A-2,929.0,3115.0,101,78,29.8
5A-2-SM.2,5A-2,231.0,1671.0,66,53,13.8
5A-2-SM.3,5A-2,939.0,6374.0,208,234,14.7
5A-2-SM.4,5A-2,436.0,1237.0,43,41,35.2
5A-2-SM.5,5A-2,891.0,2749.0,95,73,32.4
5A-4-SM.6,5A-4,547.0,4361.0,163,345,12.5
5A-5-SM.1,5A-5,1769.0,12865.0,436,472,13.8
5A-5-SM.2,5A-5,1805.0,15994.0,527,686,11.3
5A-5-SM.3,5A-5,1545.0,5201.0,165,225,29.7
5A-5-SM.4,5A-5,832.0,3957.0,128,18,21.0
