FEATUREID,PKG,ZONE2,TIER2,DS_MHID,UP_PROPS,UP_LEN,UP_PIPES
L011421,5A-4,5A-4-TM,trunk_main,5A-4-SM-MH917,796.0,24146.21,825.0
L010758,5A-2,5A-2-TM,trunk_main,5A-2-TM-MH6012,698.0,20029.56,689.0
L010724,5A-2,5A-2-TM,trunk_main,5A-2-TM-MH6008,656.0,18632.83,642.0
L011982,5A-5,5A-5-TM,trunk_main,5A-5-TM-MH1759,566.0,18702.81,627.0
L010769,5A-2,5A-2-TM,trunk_main,5A-2-TM-MH189,421.0,12009.76,425.0
L010775,5A-2,5A-2-TM,trunk_main,5A-2-TM-MH179,368.0,9999.53,349.0
L010697,5A-2,5A-2-TM,trunk_main,5A-2-TM-MH161,265.0,5669.3,206.0
L011550,5A-4,5A-4-92,lateral,5A-4-SM.6-MH933,136.0,1320.54,43.0
L010621,5A-2,5A-2-70,lateral,5A-2-SM.3-MH441,120.0,2351.16,73.0
L009490,5A-5,5A-5-22,lateral,5A-5-SM.1-MH1320,105.0,2318.32,81.0
L011499,5A-4,5A-4-103,lateral,5A-4-SM.6-MH945,81.0,1151.1,47.0
L011909,5A-5,5A-5-99,lateral,5A-5-SM.2-MH1960,73.0,1449.17,46.0
L012027,5A-5,5A-5-7,lateral,5A-5-SM.1-MH1461,68.0,654.13,23.0
L010928,5A-2,5A-2-63,lateral,5A-2-SM.3-MH450,58.0,2049.16,69.0
L012420,5A-5,5A-5-46,lateral,5A-5-SM.2-MH2067,58.0,1208.62,41.0
L012520,5A-5,5A-5-60,lateral,5A-5-SM.1-MH1736,57.0,879.04,27.0
L012041,5A-5,5A-5-112,lateral,5A-5-SM.2-MH1911,53.0,838.75,29.0
L011688,5A-5,5A-5-154,lateral,5A-5-SM.3-MH2331,48.0,1398.31,46.0
L012304,5A-5,5A-5-132,lateral,5A-5-SM.2-MH1936,47.0,890.0,30.0
L011706,5A-5,5A-5-138,lateral,5A-5-SM.2-MH1894,47.0,1414.18,49.0
L009489,5A-5,5A-5-13,lateral,5A-5-SM.1-MH1452,44.0,884.79,30.0
L011817,5A-5,5A-5-79,lateral,5A-5-SM.1-MH1263,40.0,1081.43,36.0
L011953,5A-5,5A-5-65,lateral,5A-5-SM.1-MH1279,39.0,864.82,32.0
L011071,5A-2,5A-2-50,lateral,5A-2-SM.2-MH391,39.0,1234.24,50.0
L012432,5A-5,5A-5-47,lateral,5A-5-SM.2-MH2076,36.0,788.69,28.0
L011429,5A-4,5A-4-99,lateral,5A-4-SM.6-MH945,35.0,627.74,24.0
L012225,5A-5,5A-5-168,lateral,5A-5-SM.3-MH1839,34.0,377.15,11.0
L012330,5A-5,5A-5-114,lateral,5A-5-SM.2-MH1786,32.0,374.58,10.0
L011940,5A-5,5A-5-103,lateral,5A-5-SM.2-MH1937,31.0,687.27,24.0
L012025,5A-5,5A-5-10,lateral,5A-5-SM.1-MH1459,31.0,196.19,6.0
L012177,5A-5,5A-5-125,lateral,5A-5-SM.2-MH2072,31.0,683.21,24.0
L011039,5A-2,5A-2-54,lateral,5A-2-SM.3-MH419,30.0,777.27,27.0
L012228,5A-5,5A-5-161,lateral,5A-5-SM.3-MH2322,28.0,806.67,26.0
