zone,tier,pkg,pipe,props_at_head,len_at_head_m,pipes_at_head,dia_out_mm,slope_pct,depth_us_m,zone_len_m,zone_props_at_outlet
5A-2-SM.1,sub_main,5A-2,L011148,1,41.9,1,160.0,1.193,1.0,929.4,78
5A-2-SM.2,sub_main,5A-2,L011065,4,35.3,1,160.0,2.722,1.0,231.0,53
5A-2-SM.3,sub_main,5A-2,L010927,0,19.1,1,160.0,2.461,1.0,938.5,234
5A-2-SM.4,sub_main,5A-2,L010737,23,571.4,19,160.0,0.674,1.29000000000002,435.8,41
5A-2-SM.5,sub_main,5A-2,L010827,0,21.0,1,160.0,3.5,3.800000000000011,890.6,73
5A-4-SM.6,sub_main,5A-4,L011422,117,1804.0,72,160.0,2.658,2.010000000000048,546.6,345
5A-5-SM.1,sub_main,5A-5,L011879,0,237.2,9,160.0,3.314,2.519999999999982,1769.2,472
5A-5-SM.2,sub_main,5A-5,L011648,20,427.6,15,160.0,0.513,3.039999999999964,1804.9,686
5A-5-SM.3,sub_main,5A-5,L011649,21,574.4,19,160.0,0.505,3.569999999999993,1545.2,225
5A-5-SM.4,sub_main,5A-5,L011632,0,2507.1,83,160.0,0.297,3.25,832.0,18
5A-2-TM,trunk_main,5A-2,L010799,262,5396.6,197,200.0,0.605,3.85899999999998,2264.4,780
5A-3-TM,trunk_main,5A-3,L011321,35,231.9,8,200.0,0.299,2.029999999999973,1075.4,238
5A-4-TM,trunk_main,5A-4,L011416,780,23489.9,806,200.0,0.348,2.979999999999961,677.6,796
5A-5-TM,trunk_main,5A-5,L011996,490,16856.6,565,200.0,0.209,2.369999999999948,6160.4,1292
