FEATUREID,PKG,ZONE2,TIER2,DS_MHID,UP_PROPS,UP_LEN,UP_PIPES,DIA_OUT,SLOPE_PCT,DEP_DS
L012069,5A-5,5A-5-SM.2,sub_main,5A-5-TM-MH1759,686.0,15994.41,527.0,160.0,0.36,3.93
L011997,5A-5,5A-5-SM.1,sub_main,5A-5-TM-MH1200,472.0,12865.39,436.0,160.0,0.07,5.77
L011464,5A-4,5A-4-SM.6,sub_main,5A-4-SM-MH917,345.0,4360.88,163.0,160.0,0.4,3.37
L010658,5A-2,5A-2-SM.3,sub_main,5A-2-TM-MH189,234.0,6373.66,208.0,160.0,0.46,4.72
L011365,5A-3,5A-3-17,lateral,5A-3-TM-MH17,94.0,1282.48,47.0,160.0,0.45,1.93
L011127,5A-2,5A-2-SM.1,sub_main,5A-2-TM-MH161,78.0,3114.89,101.0,160.0,0.51,2.75
L010800,5A-2,5A-2-SM.5,sub_main,5A-2-TM-MH6012,73.0,2749.31,95.0,160.0,1.45,1.14
L011070,5A-2,5A-2-SM.2,sub_main,5A-2-TM-MH179,53.0,1671.01,66.0,160.0,0.58,1.42
L010732,5A-2,5A-2-SM.4,sub_main,5A-2-TM-MH6008,41.0,1236.95,43.0,160.0,0.5,1.6
L011320,5A-3,5A-3-1,lateral,5A-3-TM-MH5006,34.0,154.44,5.0,160.0,0.62,2.03
L011220,5A-3,5A-3-9,lateral,5A-3-TM-MH13,30.0,240.65,9.0,160.0,0.49,0.92
L012157,5A-5,5A-5-118,lateral,5A-5-TM-MH1758,23.0,544.29,18.0,160.0,1.1,1.77
L012459,5A-5,5A-5-96,lateral,5A-5-TM-MH1162,22.0,500.05,18.0,160.0,0.61,2.23
L011227,5A-2,5A-2-24,lateral,5A-2-TM-MH79,22.0,1927.4,70.0,160.0,0.5,1.32
L011122,5A-2,5A-2-44,lateral,5A-2-TM-MH166,20.0,676.16,24.0,160.0,0.84,2.52
L012098,5A-5,5A-5-SM.4,sub_main,5A-5-TM-MH1200,18.0,3957.21,128.0,160.0,0.32,5.77
L012457,5A-5,5A-5-98,lateral,5A-5-TM-MH1563,16.0,323.76,12.0,160.0,0.62,2.75
L011415,5A-3,5A-3-6,lateral,5A-3-TM-MH5035,11.0,310.94,12.0,160.0,0.53,2.2
L011264,5A-3,5A-3-5,lateral,5A-3-TM-MH5020,11.0,135.17,6.0,160.0,0.6,2.1
L011348,5A-3,5A-3-3,lateral,5A-3-TM-MH5013,6.0,142.8,5.0,160.0,1.51,2.21
L011268,5A-3,5A-3-10,lateral,5A-3-TM-MH5035,2.0,63.24,2.0,160.0,0.6,0.75
L011350,5A-3,5A-3-2,lateral,5A-3-TM-MH5006,1.0,49.7,2.0,160.0,0.59,1.85
