ZONE2,plots,landuses,pkg,len_m,chambers,props_direct
5A-1-A,18,2,5A-1,468.5,14,20
5A-1-A1,16,1,5A-1,351.3,11,23
5A-1-A10,6,0,5A-1,29.8,2,33
5A-1-A12,8,1,5A-1,79.8,2,27
5A-1-A14,2,0,5A-1,22.0,1,0
5A-1-A15,4,1,5A-1,29.9,1,16
5A-1-A16,4,0,5A-1,93.9,3,0
5A-1-A17,4,0,5A-1,70.0,3,2
5A-1-A18,2,0,5A-1,24.7,1,1
5A-1-A19,4,1,5A-1,30.0,1,4
5A-1-A2,4,1,5A-1,90.6,4,45
5A-1-A20,25,3,5A-1,303.3,11,58
5A-1-A21,1,0,5A-1,60.0,2,0
5A-1-A22,2,1,5A-1,48.4,3,1
5A-1-A23,4,1,5A-1,164.3,5,1
5A-1-A24,3,1,5A-1,43.3,2,2
5A-1-A26,2,1,5A-1,80.1,3,2
5A-1-A27,1,0,5A-1,160.0,5,0
5A-1-A29,1,0,5A-1,47.5,1,0
5A-1-A3,2,0,5A-1,123.8,4,0
5A-1-A30,1,0,5A-1,77.1,2,3
5A-1-A31,6,1,5A-1,64.8,2,4
5A-1-A32,3,0,5A-1,93.5,4,9
5A-1-A33,6,1,5A-1,147.6,6,4
5A-1-A34,5,1,5A-1,45.2,2,6
5A-1-A35,1,0,5A-1,170.3,5,2
5A-1-A37,1,0,5A-1,104.6,3,1
5A-1-A38,4,0,5A-1,65.0,2,5
5A-1-A39,1,1,5A-1,79.6,2,1
5A-1-A4,5,0,5A-1,74.6,3,9
5A-1-A41,6,0,5A-1,66.6,3,3
5A-1-A42,11,1,5A-1,86.4,3,6
5A-1-A43,4,0,5A-1,50.8,2,2
5A-1-A44,5,0,5A-1,55.7,2,5
5A-1-A45,6,0,5A-1,74.1,3,4
5A-1-A46,2,0,5A-1,26.4,1,2
5A-1-A48,3,0,5A-1,78.0,3,3
5A-1-A49,4,0,5A-1,127.3,4,0
5A-1-A50,1,0,5A-1,37.9,1,1
5A-1-A51,3,0,5A-1,42.3,1,3
5A-1-A52,6,1,5A-1,101.4,4,4
5A-1-A53,1,0,5A-1,22.9,1,0
5A-1-A54,1,0,5A-1,8.1,1,0
5A-1-A55,1,0,5A-1,47.0,2,4
5A-1-A56,5,0,5A-1,48.0,2,4
5A-1-A58,2,0,5A-1,24.3,1,1
5A-1-A59,3,1,5A-1,33.6,1,2
5A-1-A6,1,1,5A-1,33.5,2,35
5A-1-A61,5,0,5A-1,20.7,1,4
5A-1-A62,2,0,5A-1,106.6,3,5
5A-1-A63,5,1,5A-1,59.9,3,2
5A-1-A64,4,1,5A-1,69.0,2,3
5A-1-A65,4,1,5A-1,23.0,1,2
5A-1-A66,44,2,5A-1,350.9,13,23
5A-1-A67,2,1,5A-1,101.5,3,0
5A-1-A68,5,0,5A-1,74.0,2,3
5A-1-A69,2,1,5A-1,96.9,3,0
5A-1-A70,6,0,5A-1,64.9,2,9
5A-1-A71,1,1,5A-1,78.2,3,0
5A-1-A72,5,0,5A-1,63.8,3,5
5A-1-A73,10,1,5A-1,80.0,2,5
5A-1-A74,9,1,5A-1,97.5,4,8
5A-1-A76,12,1,5A-1,189.5,6,12
5A-1-A77,9,1,5A-1,309.8,10,5
5A-1-A78,7,1,5A-1,137.3,4,2
5A-1-A79,11,1,5A-1,255.9,8,13
5A-1-A79.1,6,0,5A-1,100.0,3,7
5A-1-A79.B,6,0,5A-1,94.8,3,2
5A-1-A8,3,1,5A-1,15.5,1,10
5A-1-A80,4,0,5A-1,104.0,4,0
5A-1-A81,12,1,5A-1,212.6,6,8
5A-1-A89,10,0,5A-1,444.8,14,4
5A-1-A9,2,0,5A-1,58.9,2,0
5A-1-A90,80,3,5A-1,1018.0,33,25
5A-1-B100,4,1,5A-1,24.3,1,22
5A-1-B101,9,0,5A-1,144.6,6,40
5A-1-B103,6,1,5A-1,78.9,3,6
5A-1-B104,2,0,5A-1,32.0,1,0
5A-1-B105,1,0,5A-1,107.6,3,0
5A-1-B106,9,0,5A-1,124.4,4,9
5A-1-B106.A,10,0,5A-1,88.5,3,8
5A-1-B106A,1,0,5A-1,19.9,1,0
5A-1-B107,1,0,5A-1,93.7,3,0
5A-1-B108,9,2,5A-1,123.7,3,38
5A-1-B111,4,1,5A-1,105.0,3,12
5A-1-B112,1,0,5A-1,35.2,1,2
