tier,metric,n,min,p5,p25,p50,p75,p90,p95,max,mean
lateral,pipes,582,1.0,1.0,2.0,3.0,6.0,11.0,14.0,33.0,4.808
lateral,chambers,582,1.0,1.0,2.0,3.0,6.0,11.0,14.0,33.0,4.806
lateral,len_m,582,7.1,20.915,45.55,92.3,182.2,318.8,410.59,1018.0,139.172
lateral,median_pipe_m,582,7.1,19.705,24.4,29.0,32.4,35.7,37.695,47.5,28.528
lateral,props_direct,582,0.0,0.0,1.0,4.0,10.0,22.0,32.0,99.0,8.232
lateral,hull_ha,582,0.0,0.0,0.0,0.017,0.241,0.83,1.538,9.419,0.296
lateral,long_side_m,451,21.6,43.25,69.6,104.0,174.35,260.9,339.2,814.9,138.209
lateral,elongation,322,1.04,1.54,2.502,3.575,6.875,22.672,45.128,191.03,10.997
lateral,props_at_outlet,582,0.0,0.0,4.0,11.0,35.0,130.8,553.45,2704.0,78.804
lateral,len_at_outlet_m,582,12.1,22.5,66.4,165.25,543.35,2189.77,7534.15,32245.5,1021.335
sub_main,pipes,10,8.0,12.05,22.25,28.5,41.25,59.0,59.0,59.0,32.2
sub_main,chambers,10,8.0,12.05,22.25,28.5,41.25,59.0,59.0,59.0,32.2
sub_main,len_m,10,231.0,323.16,617.95,910.0,1393.525,1772.77,1788.835,1804.9,992.32
sub_main,median_pipe_m,10,24.5,24.86,27.3,29.9,31.85,33.29,34.145,35.0,29.73
sub_main,props_direct,10,5.0,5.45,7.25,14.5,17.75,42.5,58.25,74.0,20.5
sub_main,hull_ha,10,0.005,0.05,0.846,4.65,7.314,16.107,21.252,26.396,6.796
sub_main,long_side_m,10,231.0,286.395,459.8,824.2,1109.2,1737.86,1738.58,1739.3,889.99
sub_main,elongation,9,2.24,2.384,3.3,5.17,21.5,224.122,387.286,550.45,82.486
sub_main,props_at_outlet,10,18.0,28.35,58.0,151.5,317.25,493.4,589.7,686.0,222.5
sub_main,len_at_outlet_m,10,1237.0,1432.3,2840.7,4159.05,6080.65,13178.3,14586.35,15994.4,5752.53
trunk_main,pipes,4,16.0,16.6,19.0,29.0,46.5,61.8,66.9,72.0,36.5
trunk_main,chambers,4,16.0,16.6,19.0,29.0,46.5,61.8,66.9,72.0,36.5
trunk_main,len_m,4,677.6,737.27,975.95,1669.9,3238.4,4991.6,5576.0,6160.4,2544.45
trunk_main,median_pipe_m,4,30.0,30.0,30.0,31.7,33.9,34.8,35.1,35.4,32.2
trunk_main,props_direct,4,16.0,16.75,19.75,35.0,50.5,53.2,54.1,55.0,35.25
trunk_main,hull_ha,4,1.412,2.864,8.67,23.341,40.817,50.222,53.357,56.492,26.146
trunk_main,long_side_m,4,671.7,709.68,861.6,1518.4,2391.6,2895.06,3062.88,3230.7,1734.8
trunk_main,elongation,4,4.34,4.967,7.475,8.88,12.388,18.053,19.941,21.83,10.982
trunk_main,props_at_outlet,4,238.0,319.3,644.5,788.0,920.0,1143.2,1217.6,1292.0,776.5
trunk_main,len_at_outlet_m,4,3454.8,6456.87,18465.15,23807.4,28196.025,35485.71,37915.605,40345.5,22853.775
