n,min,mean,max,p5,p25,p50,p75,p95,tier,metric
582,0.0,15.73,45.0,0.0,0.0,4.6,32.6,43.29,lateral,bearing_spread_deg
582,0.0,2.13,14.0,0.0,1.0,2.0,3.0,6.0,lateral,road_features
515,0.0,6.78,39.8,0.0,0.05,1.7,10.9,30.27,lateral,median_road_dist_m
508,0.79,1.91,22.52,1.0,1.0,1.46,2.3,4.05,lateral,sinuosity
582,0.0,0.3,9.42,0.0,0.0,0.02,0.24,1.54,lateral,hull_ha
582,,,,,,52.7,,,lateral,pct_bearing_spread_under_10deg
582,,,,,,46.0,,,lateral,pct_on_one_road_feature
582,,,,,,72.0,,,lateral,pct_on_two_or_fewer_road_features
10,0.4,19.42,35.3,0.44,4.1,21.75,33.6,35.3,sub_main,bearing_spread_deg
10,3.0,14.1,27.0,4.35,10.25,12.0,19.0,26.55,sub_main,road_features
10,0.3,5.58,13.0,1.29,2.6,5.95,6.95,11.15,sub_main,median_road_dist_m
10,1.1,2.46,9.25,1.16,1.31,1.48,2.16,6.56,sub_main,sinuosity
10,0.0,6.8,26.4,0.05,0.85,4.65,7.31,21.25,sub_main,hull_ha
10,,,,,,30.0,,,sub_main,pct_bearing_spread_under_10deg
10,,,,,,0.0,,,sub_main,pct_on_one_road_feature
10,,,,,,0.0,,,sub_main,pct_on_two_or_fewer_road_features
4,7.7,16.7,27.1,8.2,10.18,16.0,22.52,26.18,trunk_main,bearing_spread_deg
4,6.0,14.0,31.0,6.45,8.25,9.5,15.25,27.85,trunk_main,road_features
4,1.2,2.62,4.1,1.4,2.17,2.6,3.05,3.89,trunk_main,median_road_dist_m
4,1.31,5.73,12.89,1.45,2.01,4.36,8.07,11.93,trunk_main,sinuosity
4,1.41,101.92,359.52,2.87,8.7,23.37,116.59,310.93,trunk_main,hull_ha
4,,,,,,25.0,,,trunk_main,pct_bearing_spread_under_10deg
4,,,,,,0.0,,,trunk_main,pct_on_one_road_feature
4,,,,,,0.0,,,trunk_main,pct_on_two_or_fewer_road_features
