zone,pkg,tier,pipes,chambers,len_m,median_pipe_m,props_direct,internal_junctions,head_chambers,outlets,simple_path,hull_ha,long_side_m,short_side_m,elongation,props_at_outlet,len_at_outlet_m,pipes_at_outlet,ds_zone,ds_tier,mh_lo,mh_hi,mh_span,has_levels,dia_max,mh_contiguous,chain_to_main
5A-1-A,5A-1,lateral,14,14,468.5,32.5,20,1,2,1,0,1.497,347.8,66.9,5.2,2704,32245.5,1123,5A-1-FL,force_line,1.0,9.0,9.0,0,,0,1
5A-1-A1,5A-1,lateral,11,11,351.3,30.8,23,0,1,1,1,0.406,331.4,21.8,15.2,1625,19333.9,668,5A-1-B248,lateral,1.0,11.0,11.0,0,,1,3
5A-1-A10,5A-1,lateral,2,2,29.8,14.9,33,0,1,1,1,0.011,21.6,10.2,2.11,33,29.8,2,5A-1-A9,lateral,,,,0,,0,8
5A-1-A12,5A-1,lateral,2,2,79.8,39.9,27,0,1,1,1,0.078,61.8,25.3,2.45,27,79.8,2,5A-1-A14,lateral,1.0,1.0,1.0,0,,0,12
5A-1-A13,5A-1,lateral,3,3,110.0,35.0,0,0,1,1,1,0.0,110.0,0.0,,341,7657.2,259,5A-1-A9,lateral,1.0,2.0,2.0,0,,0,8
5A-1-A14,5A-1,lateral,1,1,22.0,22.0,0,0,1,1,1,0.0,,,,27,101.8,3,5A-1-A16,lateral,,,,0,,0,11
5A-1-A15,5A-1,lateral,1,1,29.9,29.9,16,0,1,1,1,0.0,,,,16,29.9,1,5A-1-A17,lateral,,,,0,,0,12
5A-1-A16,5A-1,lateral,3,3,93.9,31.3,0,0,1,1,1,0.078,76.3,20.3,3.75,108,653.5,23,5A-1-A21,lateral,1.0,2.0,2.0,0,,0,10
5A-1-A17,5A-1,lateral,3,3,70.0,24.4,2,0,1,1,1,0.05,50.0,20.0,2.5,18,99.9,4,5A-1-A16,lateral,1.0,2.0,2.0,0,,0,11
5A-1-A18,5A-1,lateral,1,1,24.7,24.7,1,0,1,1,1,0.0,,,,63,358.0,13,5A-1-A16,lateral,,,,0,,0,11
5A-1-A19,5A-1,lateral,1,1,30.0,30.0,4,0,1,1,1,0.0,,,,4,30.0,1,5A-1-A18,lateral,,,,0,,0,12
5A-1-A2,5A-1,lateral,4,4,90.6,21.5,45,0,1,1,1,0.035,86.2,8.2,10.52,45,90.6,4,5A-1-A1,lateral,1.0,3.0,3.0,0,,0,4
5A-1-A20,5A-1,lateral,11,11,303.3,24.2,58,0,1,1,1,0.865,189.3,58.0,3.26,58,303.3,11,5A-1-A18,lateral,1.0,10.0,10.0,0,,0,12
5A-1-A21,5A-1,lateral,2,2,60.0,30.0,0,0,1,1,1,0.0,60.0,0.0,,341,7547.2,256,5A-1-A13,lateral,1.0,1.0,1.0,0,,0,9
5A-1-A22,5A-1,lateral,3,3,48.4,16.3,1,1,2,1,0,0.031,26.3,23.6,1.12,1,48.4,3,5A-1-A21,lateral,1.0,2.0,2.0,0,,0,10
5A-1-A23,5A-1,lateral,5,5,164.3,34.3,1,1,2,1,0,0.207,134.0,29.7,4.51,232,6785.2,228,5A-1-A21,lateral,1.0,3.0,3.0,0,,0,10
5A-1-A24,5A-1,lateral,2,2,43.3,21.7,2,0,1,1,1,0.006,42.9,2.8,15.46,2,43.3,2,5A-1-A23,lateral,2.0,3.0,2.0,0,,1,11
5A-1-A25,5A-1,lateral,2,2,59.8,29.9,0,0,1,1,1,0.0,59.8,0.0,,229,6577.6,221,5A-1-A23,lateral,1.0,1.0,1.0,0,,0,11
5A-1-A26,5A-1,lateral,3,3,80.1,25.1,2,0,1,1,1,0.046,77.0,9.5,8.07,2,80.1,3,5A-1-A25,lateral,1.0,2.0,2.0,0,,0,12
5A-1-A27,5A-1,lateral,5,5,160.0,30.1,0,0,1,1,1,0.071,159.1,7.7,20.61,227,6437.7,216,5A-1-A25,lateral,1.0,4.0,4.0,0,,0,12
5A-1-A28,5A-1,lateral,1,1,17.4,17.4,0,0,1,1,1,0.0,,,,26,493.0,18,5A-1-A27,lateral,,,,0,,0,13
5A-1-A29,5A-1,lateral,1,1,47.5,47.5,0,0,1,1,1,0.0,,,,0,47.5,1,5A-1-A28,lateral,,,,0,,0,14
5A-1-A3,5A-1,lateral,4,4,123.8,30.0,0,0,1,1,1,0.008,123.8,1.1,115.83,429,8108.3,276,5A-1-A1,lateral,1.0,3.0,3.0,0,,0,4
5A-1-A30,5A-1,lateral,2,2,77.1,38.6,3,0,1,1,1,0.017,76.6,4.4,17.59,26,428.2,16,5A-1-A28,lateral,1.0,1.0,1.0,0,,0,14
5A-1-A31,5A-1,lateral,2,2,64.8,32.4,4,0,1,1,1,0.0,64.8,0.0,,4,64.8,2,5A-1-A30,lateral,1.0,1.0,1.0,0,,0,15
5A-1-A32,5A-1,lateral,4,4,93.5,23.1,9,0,1,1,1,0.065,88.7,14.7,6.02,19,286.3,12,5A-1-A30,lateral,1.0,3.0,3.0,0,,0,15
5A-1-A33,5A-1,lateral,6,6,147.6,27.2,4,0,1,1,1,0.221,119.6,26.1,4.58,4,147.6,6,5A-1-A32,lateral,1.0,4.0,4.0,0,,0,16
5A-1-A34,5A-1,lateral,2,2,45.2,22.6,6,0,1,1,1,0.01,41.9,4.7,8.84,6,45.2,2,5A-1-A32,lateral,1.0,1.0,1.0,0,,0,16
5A-1-A35,5A-1,lateral,5,5,170.3,35.0,2,0,1,1,1,0.036,170.1,4.1,41.35,201,5784.7,193,5A-1-A27,lateral,1.0,4.0,4.0,0,,0,13
5A-1-A36,5A-1,lateral,1,1,21.4,21.4,0,0,1,1,1,0.0,,,,91,1939.5,70,5A-1-A35,lateral,,,,0,,0,14
5A-1-A37,5A-1,lateral,3,3,104.6,35.0,1,0,1,1,1,0.001,104.6,0.1,,91,1918.1,69,5A-1-A36,lateral,1.0,2.0,2.0,0,,0,15
5A-1-A38,5A-1,lateral,2,2,65.0,32.5,5,0,1,1,1,0.0,65.0,0.0,,5,65.0,2,5A-1-A37,lateral,1.0,1.0,1.0,0,,0,16
5A-1-A39,5A-1,lateral,2,2,79.6,39.8,1,0,1,1,1,0.078,58.5,26.6,2.2,85,1748.4,64,5A-1-A37,lateral,1.0,1.0,1.0,0,,0,16
5A-1-A4,5A-1,lateral,3,3,74.6,23.2,9,0,1,1,1,0.06,54.6,19.6,2.79,9,74.6,3,5A-1-A3,lateral,1.0,2.0,2.0,0,,0,5
5A-1-A40,5A-1,lateral,1,1,34.9,34.9,0,0,1,1,1,0.0,,,,49,1059.4,40,5A-1-A39,lateral,,,,0,,0,17
5A-1-A41,5A-1,lateral,3,3,66.6,23.9,3,0,1,1,1,0.044,53.8,16.4,3.29,22,360.0,14,5A-1-A40,lateral,1.0,2.0,2.0,0,,0,18
5A-1-A42,5A-1,lateral,3,3,86.4,30.0,6,0,2,2,0,0.148,76.8,38.3,2.01,3,54.6,2,5A-1-A44,lateral,1.0,2.0,2.0,0,,0,4
5A-1-A43,5A-1,lateral,2,2,50.8,25.4,2,0,2,2,0,0.069,58.0,23.7,2.45,16,238.8,9,5A-1-A46,lateral,1.0,1.0,1.0,0,,0,2
5A-1-A44,5A-1,lateral,2,2,55.7,27.9,5,0,1,1,1,0.0,55.7,0.0,,8,87.5,3,5A-1-A43,lateral,1.0,1.0,1.0,0,,0,3
5A-1-A45,5A-1,lateral,3,3,74.1,26.0,4,0,1,1,1,0.069,51.5,21.1,2.45,4,74.1,3,5A-1-A43,lateral,1.0,2.0,2.0,0,,0,3
5A-1-A46,5A-1,lateral,1,1,26.4,26.4,2,0,1,1,1,0.0,,,,16,215.9,8,5A-1-A43,lateral,,,,0,,0,1
5A-1-A47,5A-1,lateral,1,1,9.4,9.4,0,0,1,1,1,0.0,,,,27,664.5,25,5A-1-A40,lateral,,,,0,,0,18
5A-1-A48,5A-1,lateral,3,3,78.0,25.0,3,0,1,1,1,0.066,58.1,22.8,2.55,3,78.0,3,5A-1-A47,lateral,1.0,2.0,2.0,0,,0,19
5A-1-A49,5A-1,lateral,4,4,127.3,30.1,0,0,1,1,1,0.162,114.8,24.5,4.69,24,577.2,21,5A-1-A47,lateral,1.0,3.0,3.0,0,,0,19
5A-1-A5,5A-1,lateral,1,1,45.1,45.1,0,0,1,1,1,0.0,,,,420,7909.9,269,5A-1-A3,lateral,,,,0,,0,5
5A-1-A50,5A-1,lateral,1,1,37.9,37.9,1,0,1,1,1,0.0,,,,8,181.6,6,5A-1-A49,lateral,,,,0,,0,20
5A-1-A51,5A-1,lateral,1,1,42.3,42.3,3,0,1,1,1,0.0,,,,3,42.3,1,5A-1-A50,lateral,,,,0,,0,21
5A-1-A52,5A-1,lateral,4,4,101.4,27.1,4,0,1,1,1,0.102,80.8,22.9,3.52,4,101.4,4,5A-1-A50,lateral,1.0,3.0,3.0,0,,0,21
5A-1-A53,5A-1,lateral,1,1,22.9,22.9,0,0,1,1,1,0.0,,,,8,126.0,6,5A-1-A49,lateral,,,,0,,0,20
5A-1-A54,5A-1,lateral,1,1,8.1,8.1,0,0,1,1,1,0.0,,,,8,103.1,5,5A-1-A53,lateral,,,,0,,0,21
5A-1-A55,5A-1,lateral,2,2,47.0,23.5,4,0,1,1,1,0.028,24.0,23.0,1.04,4,47.0,2,5A-1-A54,lateral,1.0,1.0,1.0,0,,0,22
5A-1-A56,5A-1,lateral,2,2,48.0,24.0,4,0,1,1,1,0.0,48.0,0.0,,4,48.0,2,5A-1-A54,lateral,1.0,1.0,1.0,0,,0,22
5A-1-A57,5A-1,lateral,1,1,21.2,21.2,1,0,1,1,1,0.0,,,,8,99.8,4,5A-1-A60,lateral,,,,0,,0,21
5A-1-A58,5A-1,lateral,1,1,24.3,24.3,1,0,1,1,1,0.0,,,,5,45.0,2,5A-1-A57,lateral,,,,0,,0,22
5A-1-A59,5A-1,lateral,1,1,33.6,33.6,2,0,1,1,1,0.0,,,,2,33.6,1,5A-1-A57,lateral,,,,0,,0,22
5A-1-A6,5A-1,lateral,2,2,33.5,16.7,35,0,1,1,1,0.0,33.5,0.1,,35,33.5,2,5A-1-A5,lateral,1.0,2.0,2.0,0,,1,6
5A-1-A60,5A-1,lateral,1,1,42.5,42.5,0,0,1,1,1,0.0,,,,8,142.2,5,5A-1-A49,lateral,,,,0,,0,20
5A-1-A61,5A-1,lateral,1,1,20.7,20.7,4,0,1,1,1,0.0,,,,4,20.7,1,5A-1-A58,lateral,,,,0,,0,23
5A-1-A62,5A-1,lateral,3,3,106.6,38.6,5,0,1,1,1,0.068,102.4,12.9,7.95,35,609.4,22,5A-1-A39,lateral,1.0,2.0,2.0,0,,0,17
5A-1-A63,5A-1,lateral,3,3,59.9,21.9,2,0,1,1,1,0.035,47.0,15.0,3.14,2,59.9,3,5A-1-A62,lateral,1.0,2.0,2.0,0,,0,18
5A-1-A64,5A-1,lateral,2,2,69.0,34.5,3,0,1,1,1,0.0,69.0,0.0,,28,442.9,16,5A-1-A62,lateral,1.0,1.0,1.0,0,,0,18
5A-1-A65,5A-1,lateral,1,1,23.0,23.0,2,0,1,1,1,0.0,,,,2,23.0,1,5A-1-A64,lateral,,,,0,,0,19
5A-1-A66,5A-1,lateral,13,13,350.9,27.7,23,0,1,1,1,0.963,190.8,71.6,2.66,23,350.9,13,5A-1-A64,lateral,1.0,10.0,10.0,0,,0,19
5A-1-A67,5A-1,lateral,3,3,101.5,33.8,0,0,1,1,1,0.068,96.9,14.0,6.93,108,3674.8,118,5A-1-A35,lateral,1.0,2.0,2.0,0,,0,14
5A-1-A68,5A-1,lateral,2,2,74.0,37.0,3,0,1,1,1,0.015,73.6,4.0,18.62,3,74.0,2,5A-1-A67,lateral,1.0,1.0,1.0,0,,0,15
