a,b,buffer_overlap_km2,pct_of_a_buffer,pct_of_b_buffer,hull_overlap_km2,pct_of_a_hull,pct_of_b_hull,min_pipe_gap_m
5A-1,5A-2,0.403,15.0,20.8,0.3,12.8,15.4,0.0
5A-1,5A-3,0.087,3.2,18.4,0.0,0.0,0.3,0.0
5A-1,5A-4,0.127,4.7,21.9,0.01,0.5,3.3,0.0
5A-1,5A-5,0.0,0.0,0.0,0.0,0.0,0.0,2999.2
5A-2,5A-3,0.039,2.0,8.3,0.0,0.0,0.0,0.0
5A-2,5A-4,0.031,1.6,5.4,0.0,0.0,0.0,0.0
5A-2,5A-5,0.0,0.0,0.0,0.0,0.0,0.0,3923.9
5A-3,5A-4,0.0,0.0,0.0,0.0,0.0,0.0,2110.8
5A-3,5A-5,0.0,0.0,0.0,0.0,0.0,0.0,4321.5
5A-4,5A-5,0.0,0.0,0.0,0.0,0.0,0.0,3681.6
