Manhole,Easting,Northing,Type,Cover level (m),Invert level (m),Depth (m),Cover to crown (m),Chamber dia. (m),Inlets,Max drop (m),Drop type,Vortex shaft,Tier,Package,Phase,Confidence
P06-TM-MH0213,444891.063556,2562863.049744,junction,326.731964,317.519045,9.212919,1.305534,1.0,2,7.657385,vortex,1,trunk main,P06,1,drafted
P06-TM-MH0214,444863.482468,2562809.764815,chamber,326.013885,317.459045,8.55484,7.30484,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0215,444835.90138,2562756.479887,chamber,325.748962,317.399045,8.349917,7.099917,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0216,444808.320293,2562703.194958,chamber,325.499542,317.339045,8.160497,6.910497,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0217,444801.680352,2562690.36701,chamber,325.389801,317.295712,8.094089,6.844089,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0218,444727.428917,2562660.589091,chamber,325.494934,317.215712,8.279222,7.029222,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0219,444653.177483,2562630.811172,chamber,325.80365,317.135712,8.667938,7.417938,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0220,444578.926048,2562601.033253,chamber,325.651886,317.055712,8.596174,7.346174,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0221,444568.451588,2562596.832558,chamber,325.440857,317.01057,8.430287,7.180287,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0222,444508.819527,2562590.197997,chamber,325.882538,316.95057,8.931968,7.681968,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0223,444449.187467,2562583.563437,chamber,326.146698,316.89057,9.256128,8.006128,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0224,444444.9436,2562583.091272,chamber,326.139343,316.850005,9.289339,8.039339,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0225,444370.403525,2562574.798071,chamber,325.313965,316.775005,8.53896,7.28896,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0226,444339.170706,2562571.323162,chamber,325.498627,316.727866,8.77076,7.52076,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0227,444337.315679,2562579.694565,chamber,325.660675,316.684994,8.975681,7.725681,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0228,444329.743672,2562613.865675,chamber,327.333588,316.632494,10.701094,9.451094,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0229,444324.335095,2562638.27361,chamber,327.666382,316.582494,11.083888,9.833888,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0230,444309.191081,2562706.615828,chamber,327.421844,316.512494,10.909351,9.659351,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0231,444294.047066,2562774.958047,chamber,327.827148,316.442494,11.384655,10.134655,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0232,444291.796113,2562785.116196,chamber,327.756409,316.400876,11.355533,10.105533,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0233,444326.792645,2562845.272397,chamber,326.387634,316.33128,10.056354,8.806354,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0234,444356.964045,2562897.134586,chamber,326.872528,316.27128,10.601248,9.351248,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0235,444387.135444,2562948.996776,chamber,327.601349,316.21128,11.390069,10.140069,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0236,444427.363976,2563018.146361,chamber,327.629456,316.13128,11.498175,10.248175,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0237,444467.592509,2563087.295947,chamber,328.342682,316.05128,12.291402,11.041402,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0238,444507.821041,2563156.445532,chamber,328.204712,315.97128,12.233432,10.983432,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0239,444540.506724,2563212.62957,chamber,329.355072,315.90628,13.448792,12.198792,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0240,444572.703154,2563267.972622,chamber,328.880676,315.842253,13.038423,11.788423,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0241,444521.718815,2563299.604841,chamber,328.59259,315.782253,12.810337,11.560337,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0242,444470.734477,2563331.237059,chamber,328.290619,315.722253,12.568366,11.318366,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0243,444461.410336,2563337.022037,chamber,328.14444,315.678361,12.466078,11.216078,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0244,444431.490425,2563355.585251,chamber,328.746033,315.625545,13.120487,11.870487,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P06-TM-MH0245,444422.987293,2563343.286077,outfall,328.724396,315.580688,13.143707,11.893707,1.0,1,0.0,none,0,trunk main,P06,1,drafted
P05-TM-MH0368,464435.09281,2566746.526548,junction,396.075134,383.468302,12.606833,1.343039,1.0,3,11.013794,vortex,1,trunk main,P05,1,drafted
P05-TM-MH0369,464359.159602,2566792.112993,outfall,395.733673,383.02547,12.708203,12.458203,1.0,1,0.0,none,0,trunk main,P05,1,drafted
P04-TM-MH0258,442078.803734,2569063.487493,junction,332.905548,320.727709,12.177839,1.972937,1.0,3,9.954902,vortex,1,trunk main,P04,1,drafted
P04-TM-MH0259,442093.797055,2569063.93506,chamber,332.355103,320.682709,11.672393,11.307393,1.0,1,0.0,none,0,trunk main,P04,1,drafted
P04-TM-MH0260,442126.484897,2569064.910827,chamber,333.140625,320.584602,12.556023,12.191023,1.0,1,0.0,none,0,trunk main,P04,1,drafted
P04-TM-MH0261,442138.023555,2569061.306873,chamber,333.238739,320.542293,12.696446,12.331446,1.0,1,0.0,none,0,trunk main,P04,1,drafted
P04-TM-MH0262,442161.738652,2569049.348311,chamber,333.117523,320.462614,12.654909,12.289909,1.0,1,0.0,none,0,trunk main,P04,1,drafted
P04-TM-MH0263,442220.839418,2569011.837735,chamber,333.045502,320.252615,12.792887,12.427887,1.0,1,0.0,none,0,trunk main,P04,1,drafted
P04-TM-MH0264,442279.594783,2568973.787679,chamber,333.011536,320.042615,12.968921,12.603921,1.0,1,0.0,none,0,trunk main,P04,1,drafted
P04-TM-MH0265,442338.347776,2568935.733955,chamber,332.63147,319.832615,12.798855,12.433855,1.0,1,0.0,none,0,trunk main,P04,1,drafted
P04-TM-MH0266,442397.162596,2568897.776545,chamber,332.434296,319.622616,12.81168,12.44668,1.0,1,0.0,none,0,trunk main,P04,1,drafted
P04-TM-MH0294,442425.338991,2568879.849402,outfall,332.441406,319.522428,12.918978,5.593349,1.0,2,7.025629,vortex,1,trunk main,P04,1,drafted
P04-TM-MH0284,442984.638907,2568523.796195,junction,334.696228,329.220122,5.476106,1.376845,1.0,2,3.849261,vortex,1,trunk main,P04,1,drafted
P04-TM-MH0285,442929.831427,2568558.741006,chamber,334.138794,328.960122,5.178672,4.878672,1.0,1,0.0,none,0,trunk main,P04,1,drafted
P04-TM-MH0286,442853.955356,2568607.143581,chamber,334.378143,328.600122,5.778021,5.478021,1.0,1,0.0,none,0,trunk main,P04,1,drafted
P04-TM-MH0287,442778.021806,2568655.456064,chamber,334.613708,328.240122,6.373586,6.073586,1.0,1,0.0,none,0,trunk main,P04,1,drafted
P04-TM-MH0288,442773.803276,2568658.140091,chamber,334.618225,328.200122,6.418103,6.118103,1.0,1,0.0,none,0,trunk main,P04,1,drafted
P04-TM-MH0289,442706.306787,2568701.084521,chamber,334.126984,327.880122,6.246861,5.946861,1.0,1,0.0,none,0,trunk main,P04,1,drafted
P04-TM-MH0290,442638.810299,2568744.02895,chamber,334.042786,327.560122,6.482663,6.182663,1.0,1,0.0,none,0,trunk main,P04,1,drafted
P04-TM-MH0291,442571.31381,2568786.97338,chamber,333.654572,327.240122,6.414449,6.114449,1.0,1,0.0,none,0,trunk main,P04,1,drafted
P04-TM-MH0292,442503.817321,2568829.91781,chamber,332.56781,326.920122,5.647688,5.347688,1.0,1,0.0,none,0,trunk main,P04,1,drafted
P04-TM-MH0293,442436.320833,2568872.862239,chamber,332.41626,326.600122,5.816137,5.516137,1.0,1,0.0,none,0,trunk main,P04,1,drafted
P01-TM-MH0484,445523.133029,2567654.308764,chamber,338.569092,325.989124,12.579968,12.329968,1.0,1,0.0,none,0,trunk main,P01,1,drafted
P01-TM-MH0485,445555.282713,2567654.513517,chamber,338.820526,325.828372,12.992154,12.742154,1.0,1,0.0,none,0,trunk main,P01,1,drafted
P01-TM-MH0486,445578.066115,2567652.774635,chamber,339.089478,325.714124,13.375354,13.125354,1.0,1,0.0,none,0,trunk main,P01,1,drafted
P01-TM-MH0497,445642.877623,2567647.82807,outfall,338.37793,325.389124,12.988806,9.969279,1.0,2,2.469527,vortex,1,trunk main,P01,1,drafted
P01-TM-MH0493,445899.904563,2567628.211175,junction,339.215942,328.383087,10.832856,2.255658,1.0,2,8.327198,vortex,1,trunk main,P01,1,drafted
P01-TM-MH0494,445820.136554,2567634.299255,chamber,338.908356,328.223087,10.685269,10.135269,1.0,1,0.0,none,0,trunk main,P01,1,drafted
P01-TM-MH0495,445740.368545,2567640.387336,chamber,338.537079,328.063087,10.473992,9.923992,1.0,1,0.0,none,0,trunk main,P01,1,drafted
P01-TM-MH0496,445660.600536,2567646.475416,chamber,338.54895,327.903087,10.645864,10.095864,1.0,1,0.0,none,0,trunk main,P01,1,drafted
P83-M-MH0020,450973.415379,2566100.916757,junction,349.108337,347.19058,1.917757,1.505217,1.0,2,0.16254,none,0,main,P83,1,provisional
P83-M-MH0022,450949.415379,2566094.916757,outfall,348.168945,346.339442,1.829503,1.309723,1.0,2,0.26978,none,0,main,P83,1,provisional
P83-L-MH0021,450940.415379,2566047.916757,head,348.51413,346.698347,1.815783,1.565783,1.0,0,0.0,none,0,lateral,P83,1,provisional
P212-L-MH0001,463342.1968,2567449.913887,head,391.732941,390.182388,1.550552,1.300552,1.0,0,0.0,none,0,lateral,P212,1,derived
P212-L-MH0002,463341.696297,2567457.871092,chamber,391.692688,390.112749,1.579939,1.304151,1.0,1,0.025788,none,0,lateral,P212,1,derived
P212-L-MH0003,463344.407599,2567484.287564,outfall,391.456177,389.873752,1.582425,1.332425,1.0,1,0.0,none,0,lateral,P212,1,derived
P19-SM-MH0025,469564.475825,2565468.354085,junction,417.507019,412.976293,4.530726,1.655475,1.0,2,2.62525,vortex,1,sub main,P19,0,derived
P19-SM-MH0026,469511.716,2565514.358442,chamber,418.011871,412.626293,5.385578,5.135578,1.0,1,0.0,none,0,sub main,P19,0,derived
P19-SM-MH0027,469458.956175,2565560.362799,chamber,418.924835,412.276293,6.648542,6.398542,1.0,1,0.0,none,0,sub main,P19,0,derived
P19-SM-MH0028,469394.890673,2565616.225232,chamber,417.159302,411.851293,5.308009,5.058009,1.0,1,0.0,none,0,sub main,P19,0,derived
P19-SM-MH0029,469332.208712,2565670.881275,chamber,416.745514,411.435471,5.310043,5.060043,1.0,1,0.0,none,0,sub main,P19,0,derived
P19-SM-MH0030,469293.838027,2565702.938887,chamber,416.323303,411.185471,5.137832,4.887832,1.0,1,0.0,none,0,sub main,P19,0,derived
P19-SM-MH0031,469255.467341,2565734.996499,chamber,416.464905,410.935471,5.529433,5.279433,1.0,1,0.0,none,0,sub main,P19,0,derived
