Pipe,US manhole,DS manhole,US invert (m),DS invert (m),US depth (m),DS depth (m),Length (m),DN (mm),Material,Laid gradient (%),Minimum gradient (%),Gradient set by,Diameter set by,Peak factor,PF method,Qadf (m3/d),Qpeak (L/s),Velocity (m/s),d/D,Self-cleansing by,Tier,Package,Confidence
E0000001,N0000001,N0000002,317.519045,317.459045,9.212919,8.55484,60.0,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.421979,1.190757,0.745295,velocity,trunk main,P06,drafted
E0000002,N0000002,N0000003,317.459045,317.399045,8.55484,8.349917,60.0,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.422479,1.190757,0.745295,velocity,trunk main,P06,drafted
E0000003,N0000003,N0000004,317.399045,317.339045,8.349917,8.160497,60.0,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.422979,1.190757,0.745296,velocity,trunk main,P06,drafted
E0000004,N0000004,N0000005,317.339045,317.295712,8.160497,8.094089,14.444551,1200,GRP,0.3,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.423479,1.854164,0.510457,velocity,trunk main,P06,drafted
E0000005,N0000005,N0000006,317.295712,317.215712,8.094089,8.279222,80.0,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.4236,1.190757,0.745296,velocity,trunk main,P06,drafted
E0000006,N0000006,N0000007,317.215712,317.135712,8.279222,8.667938,80.0,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.424266,1.190757,0.745296,velocity,trunk main,P06,drafted
E0000007,N0000007,N0000008,317.135712,317.055712,8.667938,8.596174,80.0,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.424933,1.190758,0.745297,velocity,trunk main,P06,drafted
E0000008,N0000008,N0000009,317.055712,317.01057,8.596174,8.430287,11.285396,1200,GRP,0.4,0.075,table11,minimum,1.6261,merrimack,56616.0765,1076.4256,2.068706,0.468626,velocity,trunk main,P06,drafted
E0000009,N0000009,N0000010,317.01057,316.95057,8.430287,8.931968,60.0,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.425694,1.190758,0.745297,velocity,trunk main,P06,drafted
E0000010,N0000010,N0000011,316.95057,316.89057,8.931968,9.256128,60.0,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.426194,1.190758,0.745298,velocity,trunk main,P06,drafted
E0000011,N0000011,N0000012,316.89057,316.850005,9.256128,9.289339,4.270052,1200,GRP,0.95,0.075,table11,minimum,1.6261,merrimack,56616.0765,1076.426694,2.856852,0.367387,velocity,trunk main,P06,drafted
E0000012,N0000012,N0000013,316.850005,316.775005,9.289339,8.53896,75.0,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.426729,1.190758,0.745298,velocity,trunk main,P06,drafted
E0000013,N0000013,N0000014,316.775005,316.727866,8.53896,8.77076,31.425531,1200,GRP,0.15,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.427354,1.412594,0.638266,velocity,trunk main,P06,drafted
E0000014,N0000014,N0000015,316.727866,316.684994,8.77076,8.975681,8.574469,1200,GRP,0.5,0.075,table11,minimum,1.6261,merrimack,56616.0765,1076.427616,2.250132,0.439363,velocity,trunk main,P06,drafted
E0000015,N0000015,N0000016,316.684994,316.632494,8.975681,10.701094,35.0,1200,GRP,0.15,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.427687,1.412594,0.638266,velocity,trunk main,P06,drafted
E0000016,N0000016,N0000017,316.632494,316.582494,10.701094,11.083888,25.0,1200,GRP,0.2,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.427979,1.584372,0.579445,velocity,trunk main,P06,drafted
E0000017,N0000017,N0000018,316.582494,316.512494,11.083888,10.909351,70.0,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.428187,1.190758,0.745299,velocity,trunk main,P06,drafted
E0000018,N0000018,N0000019,316.512494,316.442494,10.909351,11.384655,70.0,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.428771,1.190758,0.745299,velocity,trunk main,P06,drafted
E0000019,N0000019,N0000020,316.442494,316.400876,11.384655,11.355533,10.404556,1200,GRP,0.4,0.075,table11,minimum,1.6261,merrimack,56616.0765,1076.429354,2.068708,0.468627,velocity,trunk main,P06,drafted
E0000020,N0000020,N0000021,316.400876,316.33128,11.355533,10.056354,69.595444,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.429441,1.190758,0.745299,velocity,trunk main,P06,drafted
E0000021,N0000021,N0000022,316.33128,316.27128,10.056354,10.601248,60.0,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.430021,1.190758,0.7453,velocity,trunk main,P06,drafted
E0000022,N0000022,N0000023,316.27128,316.21128,10.601248,11.390069,60.0,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.430521,1.190758,0.7453,velocity,trunk main,P06,drafted
E0000023,N0000023,N0000024,316.21128,316.13128,11.390069,11.498175,80.0,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.431021,1.190758,0.7453,velocity,trunk main,P06,drafted
E0000024,N0000024,N0000025,316.13128,316.05128,11.498175,12.291402,80.0,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.431687,1.190758,0.745301,velocity,trunk main,P06,drafted
E0000025,N0000025,N0000026,316.05128,315.97128,12.291402,12.233432,80.0,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.432354,1.190759,0.745301,velocity,trunk main,P06,drafted
E0000026,N0000026,N0000027,315.97128,315.90628,12.233432,13.448792,65.0,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.433021,1.190759,0.745302,velocity,trunk main,P06,drafted
E0000027,N0000027,N0000028,315.90628,315.842253,13.448792,13.038423,64.027053,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.433562,1.190759,0.745302,velocity,trunk main,P06,drafted
E0000028,N0000028,N0000029,315.842253,315.782253,13.038423,12.810337,60.0,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.434096,1.190759,0.745302,velocity,trunk main,P06,drafted
E0000029,N0000029,N0000030,315.782253,315.722253,12.810337,12.568366,60.0,1200,GRP,0.1,0.075,table11,dod,1.6261,merrimack,56616.0765,1076.434596,1.190759,0.745302,velocity,trunk main,P06,drafted
