category,package,tier,dn_band,dn_mm,depth_band,quantity,unit,n
chamber,P01,lateral,,,cover 1.30 - 10 m,317.0,no,317
chamber,P01,main,,,cover 1.30 - 10 m,92.0,no,92
chamber,P01,sub main,,,cover 1.30 - 10 m,34.0,no,34
chamber,P01,sub main,,,cover 10 - 12 m,7.0,no,7
chamber,P01,trunk main,,,cover 1.30 - 10 m,38.0,no,38
chamber,P01,trunk main,,,cover 10 - 12 m,5.0,no,5
chamber,P01,trunk main,,,cover PAST the 12 m cap,3.0,no,3
chamber,P02,lateral,,,cover 1.30 - 10 m,163.0,no,163
chamber,P02,lateral,,,cover 10 - 12 m,2.0,no,2
chamber,P02,main,,,cover 1.30 - 10 m,12.0,no,12
chamber,P02,main,,,cover 10 - 12 m,1.0,no,1
chamber,P02,sub main,,,cover 1.30 - 10 m,142.0,no,142
chamber,P02,sub main,,,cover 10 - 12 m,37.0,no,37
chamber,P02,sub main,,,cover PAST the 12 m cap,8.0,no,8
chamber,P03,lateral,,,cover 1.30 - 10 m,254.0,no,254
chamber,P03,main,,,cover 1.30 - 10 m,155.0,no,155
chamber,P03,main,,,cover 10 - 12 m,1.0,no,1
chamber,P03,sub main,,,cover 1.30 - 10 m,102.0,no,102
chamber,P03,sub main,,,cover 10 - 12 m,9.0,no,9
chamber,P04,lateral,,,cover 1.30 - 10 m,143.0,no,143
chamber,P04,main,,,cover 1.30 - 10 m,23.0,no,23
chamber,P04,main,,,cover 10 - 12 m,1.0,no,1
chamber,P04,sub main,,,cover 1.30 - 10 m,27.0,no,27
chamber,P04,sub main,,,cover 10 - 12 m,11.0,no,11
chamber,P04,trunk main,,,cover 1.30 - 10 m,80.0,no,80
chamber,P04,trunk main,,,cover 10 - 12 m,1.0,no,1
chamber,P04,trunk main,,,cover PAST the 12 m cap,7.0,no,7
chamber,P05,lateral,,,cover 1.30 - 10 m,186.0,no,186
chamber,P05,main,,,cover 1.30 - 10 m,52.0,no,52
chamber,P05,sub main,,,cover 1.30 - 10 m,64.0,no,64
chamber,P05,trunk main,,,cover 1.30 - 10 m,40.0,no,40
