Station,Chamber,Type,Reason,Duty flow (L/s),Qadf (m3/d),Static lift (m),Wet well (m3),Starts per hour,Flood level (m),Land take (m2),Properties,Package,Phase
P253-TM-MH0163,N0002362,Type 1,cap,0.0,0.0,10.435,0.0,10.0,331.484,100.0,0.0,P253,1
P259-SM-MH0049,N0003647,Type 1,cap,0.0,0.0,10.592,0.0,10.0,324.601,100.0,0.0,P259,1
P267-L-MH0008,N0004360,Type 1,cap,0.0,0.0,8.985,0.0,10.0,408.055,100.0,0.0,P267,1
P284-M-MH0038,N0004829,Type 1,cap,0.0,0.0,10.068,0.0,10.0,323.036,100.0,0.0,P284,1
P314-SM-MH0074,N0005783,Type 1,cap,0.0,0.0,10.61,0.0,10.0,320.069,100.0,0.0,P314,1
P312-SM-MH0092,N0005994,Type 1,cap,0.0,0.0,10.137,0.0,10.0,322.788,100.0,0.0,P312,0
P308-SM-MH0016,N0006010,Type 1,cap,0.0,0.0,10.652,0.0,10.0,322.796,100.0,0.0,P308,0
P292-SM-MH0012,N0006022,Type 1,cap,0.0,0.0,10.052,0.0,10.0,324.036,100.0,0.0,P292,0
P306-M-MH0029,N0006074,Type 1,cap,0.0,0.0,10.217,0.0,10.0,323.775,100.0,0.0,P306,0
P290-M-MH0013,N0006087,Type 1,cap,0.0,0.0,10.621,0.0,10.0,327.828,100.0,0.0,P290,1
P278-M-MH0055,N0006101,Type 1,cap,0.0,0.0,9.808,0.0,10.0,323.384,100.0,0.0,P278,1
P324-M-MH0092,N0006696,Type 1,cap,0.0,0.0,10.423,0.0,10.0,322.716,100.0,0.0,P324,0
P303-SM-MH0016,N0007059,Type 1,cap,0.0,0.0,10.045,0.0,10.0,316.383,100.0,0.0,P303,0
P289-SM-MH0015,N0007074,Type 1,cap,0.0,0.0,10.634,0.0,10.0,316.191,100.0,0.0,P289,0
P263-SM-MH0013,N0007087,Type 1,cap,0.0,0.0,10.314,0.0,10.0,328.972,100.0,0.0,P263,0
P318-SM-MH0037,N0007140,Type 1,cap,0.0,0.0,10.695,0.0,10.0,321.897,100.0,0.0,P318,0
P343-M-MH0024,N0007178,Type 1,cap,0.0,0.0,10.446,0.0,10.0,315.549,100.0,0.0,P343,0
P261-M-MH0030,N0007529,Type 1,cap,0.0,0.0,9.795,0.0,10.0,335.7,100.0,0.0,P261,1
P255-SM-MH0081,N0007557,Type 1,cap,0.0,0.0,10.02,0.0,10.0,336.932,100.0,0.0,P255,1
P348-SM-MH0079,N0007634,Type 1,cap,0.0,0.0,10.692,0.0,10.0,307.841,100.0,0.0,P348,0
P342-SM-MH0033,N0007667,Type 1,cap,0.0,0.0,10.691,0.0,10.0,312.179,100.0,0.0,P342,0
P334-SM-MH0020,N0007687,Type 1,cap,0.0,0.0,10.035,0.0,10.0,316.159,100.0,0.0,P334,0
P338-SM-MH0108,N0007776,Type 1,cap,0.0,0.0,10.326,0.0,10.0,321.134,100.0,0.0,P338,0
P327-M-MH0037,N0007890,Type 1,cap,0.0,0.0,10.348,0.0,10.0,315.779,100.0,0.0,P327,1
P328-M-MH0034,N0007905,Type 1,cap,0.0,0.0,10.283,0.0,10.0,316.485,100.0,0.0,P328,1
P331-M-MH0019,N0007932,Type 1,cap,0.0,0.0,10.289,0.0,10.0,312.993,100.0,0.0,P331,0
P281-SM-MH0036,N0008715,Type 1,cap,0.0,0.0,10.638,0.0,10.0,327.85,100.0,0.0,P281,1
P274-SM-MH0080,N0009196,Type 1,cap,0.0,0.0,10.412,0.0,10.0,329.164,100.0,0.0,P274,1
P279-M-MH0054,N0010363,Type 1,cap,0.0,0.0,10.419,0.0,10.0,334.533,100.0,0.0,P279,1
P300-SM-MH0053,N0010829,Type 1,cap,0.0,0.0,10.095,0.0,10.0,328.441,100.0,0.0,P300,1
P277-M-MH0062,N0010841,Type 1,cap,0.0,0.0,10.064,0.0,10.0,333.673,100.0,0.0,P277,1
P393-M-MH0050,N0010995,Type 1,cap,0.0,0.0,10.189,0.0,10.0,309.643,100.0,0.0,P393,0
P391-SM-MH0055,N0010999,Type 1,cap,0.0,0.0,10.559,0.0,10.0,311.668,100.0,0.0,P391,1
P266-M-MH0021,N0011089,Type 1,cap,0.0,0.0,10.413,0.0,10.0,436.645,100.0,0.0,P266,0
P251-SM-MH0373,N0011098,Type 1,cap,0.0,0.0,10.547,0.0,10.0,436.663,100.0,0.0,P251,1
P313-SM-MH0081,N0011362,Type 1,cap,0.0,0.0,10.443,0.0,10.0,326.717,100.0,0.0,P313,1
P322-SM-MH0113,N0011608,Type 1,cap,0.0,0.0,10.388,0.0,10.0,341.837,100.0,0.0,P322,1
P304-M-MH0049,N0011791,Type 1,cap,0.0,0.0,9.879,0.0,10.0,328.343,100.0,0.0,P304,1
P319-M-MH0031,N0012845,Type 1,cap,0.0,0.0,10.6,0.0,10.0,408.117,100.0,0.0,P319,0
P309-M-MH0015,N0012860,Type 1,cap,0.0,0.0,0.035,0.0,10.0,405.554,100.0,0.0,P309,0
P335-L-MH0014,N0012936,Type 1,cap,0.0,0.0,10.233,0.0,10.0,324.867,100.0,0.0,P335,0
P307-SM-MH0033,N0013352,Type 1,cap,0.0,0.0,10.69,0.0,10.0,408.812,100.0,0.0,P307,0
P325-M-MH0068,N0013401,Type 1,cap,0.0,0.0,10.477,0.0,10.0,321.04,100.0,0.0,P325,1
P410-L-MH0022,N0013449,Type 1,cap,0.0,0.0,9.798,0.0,10.0,310.048,100.0,0.0,P410,0
P315-L-MH0040,N0013785,Type 1,cap,0.0,0.0,10.541,0.0,10.0,409.225,100.0,0.0,P315,0
P333-SM-MH0029,N0013792,Type 1,cap,0.0,0.0,10.267,0.0,10.0,320.986,100.0,0.0,P333,1
P340-SM-MH0059,N0014145,Type 1,cap,0.0,0.0,10.662,0.0,10.0,319.498,100.0,0.0,P340,1
P347-SM-MH0070,N0014772,Type 1,cap,0.0,0.0,10.559,0.0,10.0,318.914,100.0,0.0,P347,1
P350-M-MH0036,N0014790,Type 1,cap,0.0,0.0,9.256,0.0,10.0,317.319,100.0,0.0,P350,1
P359-M-MH0042,N0015439,Type 1,cap,0.0,0.0,10.396,0.0,10.0,317.376,100.0,0.0,P359,1
P368-SM-MH0230,N0019653,Type 1,cap,0.0,0.0,10.39,0.0,10.0,351.196,100.0,0.0,P368,1
P355-SM-MH0243,N0020110,Type 1,cap,0.0,0.0,10.652,0.0,10.0,371.143,100.0,0.0,P355,1
P362-L-MH0006,N0020213,Type 1,cap,0.0,0.0,10.448,0.0,10.0,356.63,100.0,0.0,P362,1
P366-SM-MH0605,N0020658,Type 1,cap,0.0,0.0,10.634,0.0,10.0,379.809,100.0,0.0,P366,1
P400-SM-MH0258,N0021730,Type 1,cap,0.0,0.0,10.541,0.0,10.0,368.039,100.0,0.0,P400,1
P386-SM-MH0108,N0022193,Type 1,cap,0.0,0.0,10.194,0.0,10.0,347.125,100.0,0.0,P386,1
P390-SM-MH0067,N0022417,Type 1,cap,0.0,0.0,10.451,0.0,10.0,371.485,100.0,0.0,P390,1
P361-L-MH0011,N0022544,Type 1,cap,0.0,0.0,9.273,0.0,10.0,370.068,100.0,0.0,P361,1
P409-SM-MH0046,N0022768,Type 1,cap,0.0,0.0,10.418,0.0,10.0,370.234,100.0,0.0,P409,1
P387-SM-MH0191,N0023516,Type 1,cap,0.0,0.0,10.65,0.0,10.0,381.281,100.0,0.0,P387,1
