PLOT_ID,SID,Q_AVG_M3D,N_PROP,IN_BND,SET_ID,NAME,SYSTEM,WORKS,BOTH
1104405,18,0.0,0.0,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104406,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104407,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104408,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104409,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104410,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104411,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104412,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104413,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104414,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104415,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104416,18,0.0,0.0,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104417,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104418,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104419,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104420,18,0.0,0.0,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104421,18,0.0,0.0,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104422,18,0.0,0.0,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104423,18,0.0,0.0,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104424,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104425,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104426,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104427,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104428,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104429,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104430,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104431,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104432,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104433,18,5.096377806443639,1.53,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104434,18,5.096377806443639,1.53,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104435,18,5.096377806443639,1.53,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104436,18,5.096377806443639,1.53,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104437,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104438,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104439,18,5.096377806443639,1.53,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104440,18,5.096377806443639,1.53,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104441,18,5.096377806443639,1.53,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104442,18,3.57851751123658,5.890000000000001,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104443,18,3.57851751123658,5.890000000000001,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104444,18,3.57851751123658,5.890000000000001,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104445,18,3.57851751123658,5.890000000000001,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104446,18,3.57851751123658,5.890000000000001,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104447,18,3.57851751123658,5.890000000000001,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104448,18,3.57851751123658,5.890000000000001,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104449,18,3.57851751123658,5.890000000000001,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104450,18,3.57851751123658,5.890000000000001,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104451,18,3.57851751123658,5.890000000000001,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104452,18,3.57851751123658,5.890000000000001,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104453,18,3.57851751123658,5.890000000000001,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104454,18,3.57851751123658,5.890000000000001,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104455,18,3.57851751123658,5.890000000000001,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104456,18,3.57851751123658,5.890000000000001,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104457,18,3.57851751123658,5.890000000000001,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104458,18,3.57851751123658,5.890000000000001,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104459,18,3.57851751123658,5.890000000000001,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104460,18,3.57851751123658,5.890000000000001,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104461,18,0.0,0.0,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104462,18,0.0,0.0,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104463,18,0.0,0.0,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104464,18,5.096377806443639,1.53,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104465,18,5.096377806443639,1.53,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104466,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104467,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104468,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104469,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104470,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104471,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104472,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104473,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104474,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104475,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104476,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104477,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104478,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104479,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104480,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104481,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104482,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104483,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104484,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104485,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104486,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104487,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104488,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104489,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104490,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104491,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104492,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104493,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104494,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104495,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104496,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104497,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104498,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104499,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104500,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104501,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104502,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104503,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104504,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104505,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104506,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104507,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104508,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104509,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104510,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104511,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104512,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104513,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104514,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104515,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104516,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104517,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104518,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104519,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104520,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104521,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104522,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104523,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104524,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104525,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104526,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104527,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104528,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104529,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104530,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104531,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104532,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104533,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104534,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104535,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104536,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104537,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104538,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104539,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104540,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104541,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104542,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104543,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104544,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104545,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104546,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104547,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104548,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104549,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104550,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104551,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104552,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104553,18,0.0,0.0,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104554,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104555,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104556,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104557,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104558,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104559,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104560,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104561,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104562,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104563,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104564,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104565,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104566,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104567,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104568,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104569,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104570,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104571,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104572,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104573,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104574,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104575,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104576,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104577,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104578,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104579,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104580,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104581,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104582,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104583,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104584,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104585,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104586,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104587,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104588,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104589,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104590,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
