SET_ID,W10_SID,NAME,TOWN,SYSTEM,WORKS,ALT_SYS,BOTH,DEC_RULE,WHY,M_PER_PRP,M_PER_M3D,BREAK_M,MARGIN_M,EXCL_KM,N_PLOT,N_PROP,POP,Q_ADF_M3D,N_OUTBND,KM_CORE,KM_BUILT,REMOTE,PKG_OK,MARG_KM,LIFT_M,N_LIFT,PENDING,CONFIDENCE,STAGE
S005,5,-,,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,1,3.249,3.437,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S011,11,-,,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,1.691,3.98,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S012,12,-,,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,3,0.0,0.0,0.0,0,1.276,3.334,1,0,0.202,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S021,21,-,,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,1.058,7.256,1,0,0.319,29.5,1,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S024,24,-,,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,6.338,13.627,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S030,30,-,,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,0.947,1.891,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S046,46,TANAM,TANAM,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,2,0.0,0.0,0.0,0,1.892,4.204,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S039,39,AL MAKHTIBYAH,AL MAKHTIBYAH,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,1.744,3.735,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S063,63,-,,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,0.124,5.05,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S044,44,-,,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,0.247,0.2,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S108,108,AL ARAQI,AL ARAQI,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,0.133,1.246,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S104,104,AL ARAQI,AL ARAQI,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,0.174,2.816,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S120,120,-,,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,2,0.0,0.0,0.0,0,0.538,8.429,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S118,118,AL ARAQI,AL ARAQI,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,0.567,6.787,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S086,86,AD DIBAYSHI,AD DIBAYSHI,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,0.138,1.456,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S085,85,AD DIBAYSHI,AD DIBAYSHI,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,0.302,1.537,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S127,127,-,,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,1.802,8.232,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S125,125,-,,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,2,0.0,0.0,0.0,2,1.841,10.481,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S117,117,AL AYNAYN,AL AYNAYN,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,2,0.0,0.0,0.0,0,0.374,8.049,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S114,114,AL JIBAYYAH,AL JIBAYYAH,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,6,0.0,0.0,0.0,0,0.151,4.5,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S097,97,-,,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,0.297,2.631,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S109,109,AL ARAQI,AL ARAQI,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,0.372,2.941,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S164,164,SUWAYDA AL MA,SUWAYDA AL MA,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,0.122,18.232,1,0,0.19,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S162,162,SUWAYDA AL MA,SUWAYDA AL MA,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,0.133,18.893,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S145,145,-,,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,4.501,14.266,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S147,147,SUWAYDA AL MA,SUWAYDA AL MA,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,2,0.0,0.0,0.0,0,0.127,15.145,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S148,148,SUWAYDA AL MA,SUWAYDA AL MA,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,0.272,14.992,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S153,153,SUWAYDA AL MA,SUWAYDA AL MA,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,0.609,17.667,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S155,155,SUWAYDA AL MA,SUWAYDA AL MA,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,0.448,16.833,1,0,0.447,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S138,138,AL JIBAYYAH,AL JIBAYYAH,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,0.348,11.323,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
S141,141,AL WAHRAH,AL WAHRAH,central,central STP,onsite,0,ZERO-LOAD,"no wastewater load at all under the current land-use classification, so the cost test has no denominator. inside the 25 km of G201 p80 and 0 exclusive metres - it connects at no marginal cost",-1.0,-1.0,20.0,,0.0,1,0.0,0.0,0.0,0,3.234,12.927,1,0,0.0,0.0,0,"zero load: land-use classification. The GIS expert's treated data decides whether these plots are vacant or misclassified; if they carry load, re-run S1",provisional,S1
