check,kind,id,value,unit,cause
R4,reach,E0000001,9.3,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
H1/R3,reach,E0000056,49.4,m in the 6 m dual band,"INPUT alignment - no pipe may run along a dual carriageway (project rule 7); a crossing is scheduled, a run along one is not a crossing"
H1/R3,reach,E0000057,61.4,m in the 6 m dual band,"INPUT alignment - no pipe may run along a dual carriageway (project rule 7); a crossing is scheduled, a run along one is not a crossing"
R4,reach,E0000073,30.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000074,20.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000097,10.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000150,27.3,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000151,100.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000152,30.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000204,20.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000226,72.7,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000227,70.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
R4,reach,E0000240,10.0,m on wadi ground,"INPUT alignment - Hazard_T50y class >= 4 (G203-p30 sec 4.4.1, p33: pipelines AND chambers prohibited)"
