Pipe,US manhole,DS manhole,US invert (m),DS invert (m),US depth (m),DS depth (m),Length (m),DN (mm),Material,Laid gradient (%),Minimum gradient (%),Gradient set by,Diameter set by,Peak factor,PF method,Qadf (m3/d),Qpeak (L/s),Velocity (m/s),d/D,Self-cleansing by,Tier,Package,Confidence
E0000001,N0000699,N0000700,344.3139944052134,344.2675076352207,8.018525126036593,7.7830905093105685,46.48676999273648,1700,GRP,0.1,0.075,table11,dod,1.6338982292535575,merrimack,54413.878752091914,1036.8428000092351,1.2029831852680486,0.4049583154232903,velocity,trunk main,,drafted
E0000002,N0000700,N0000701,344.2675076352207,344.0675076352207,7.7830905093105685,7.619015802279307,199.99999999998778,1700,GRP,0.1,0.075,table11,dod,1.6335818404192306,merrimack,54501.03732298775,1038.3034800432356,1.2034173236811312,0.40527650007478533,velocity,trunk main,,drafted
E0000003,N0000701,N0000702,344.0675076352207,343.8675076352207,7.619015802279307,7.476608575716796,199.99999999999292,1700,GRP,0.1,0.075,table11,dod,1.6331495046869513,merrimack,54620.39001212204,1040.3043790094955,1.2040111401584386,0.4057121489755865,velocity,trunk main,,drafted
E0000004,N0000702,N0000703,343.8675076352207,343.6675076352207,7.476608575716796,6.933902276888659,200.00000000000756,1700,GRP,0.1,0.075,table11,dod,1.6324486127090907,merrimack,54814.50468190211,1043.5564687187598,1.2049741057149745,0.4064196915752052,velocity,trunk main,,drafted
E0000005,N0000703,N0000704,343.6675076352207,343.5581800656072,6.933902276888659,6.516435412908436,109.32756961355096,1700,GRP,0.1,0.075,table11,dod,1.6317003678269981,merrimack,55022.58783905797,1047.0409248495769,1.2060029041390254,0.40717707385211943,velocity,trunk main,,drafted
E0000006,N0000704,N0000705,343.5581800656072,343.40459169071215,6.516435412908436,6.791941512412848,153.58837489504663,1700,GRP,0.1,0.075,table11,dod,1.6291676856287403,merrimack,55733.51299541404,1058.9290525959746,1.2094899923445115,0.4097555851799224,velocity,trunk main,,drafted
E0000007,N0000705,N0000706,343.40459169071215,343.20459169071233,6.791941512412848,5.614042342490791,199.99999999983152,1700,GRP,0.1,0.075,table11,dod,1.6290206677333032,merrimack,55775.09611078275,1059.6250687019367,1.2096930615593988,0.4099062893293277,velocity,trunk main,,drafted
E0000008,N0000706,N0000707,343.20459169071233,343.01421260278715,5.614042342490791,5.274849897212846,190.3790879252016,1700,GRP,0.1,0.075,table11,dod,1.628630937007043,merrimack,55885.49747327732,1061.4709282648942,1.2102310287295694,0.4103058240734463,velocity,trunk main,,drafted
E0000009,N0000707,N0000708,343.01421260278715,342.8142126027872,5.274849897212846,5.218990522212778,199.99999999991962,1700,GRP,0.1,0.075,table11,dod,1.6277166721502658,merrimack,56145.4494570373,1065.8131418160497,1.2114932384940895,0.4112449058720249,velocity,trunk main,,drafted
E0000010,N0000708,N0000709,342.8142126027872,342.75617310852857,5.218990522212778,6.7819738641276786,58.03949425866707,1700,GRP,0.1,0.075,table11,dod,1.6276051643898386,merrimack,56177.24698081896,1066.3455914859755,1.21164769433148,0.41135998206858937,velocity,trunk main,,drafted
