SM_ID,OUTLET,N_REACH,LEN_M,CATCH_M,SHARE_PCT,N_PROP_FR
0,N0009227,1,3896.9,5107.5,76.3,0.0
1,N0010913,2,10014.4,11193.1,89.47,1.46
2,N0009128,4,2534.7,8074.9,31.39,8.91
3,N0009777,4,1438.8,6089.5,23.63,0.0
4,N0021496,12,383.0,5244.7,7.3,60.55
5,N0009007,3,248.7,6909.1,3.6,0.0
6,N0018200,12,1172.0,24000.3,4.88,389.05
7,N0009427,8,2778.8,12237.0,22.71,365.01
8,N0009366,1,295.4,5029.4,5.87,61.17
9,N0010056,1,98.6,4486.5,2.2,37.86
10,N0019469,60,2433.4,18176.8,13.39,968.8
11,N0010156,6,831.5,7849.2,10.59,168.07
12,N0004212,10,3280.1,59033.9,5.56,34.0
13,N0006868,10,6596.4,49008.9,13.46,5.37
14,N0000206,6,1173.1,23625.7,4.97,116.27
15,N0000281,15,1278.1,13522.6,9.45,338.19
16,N0000270,3,327.5,6061.3,5.4,101.55
17,N0000178,2,345.9,16266.4,2.13,4.46
18,N0011439,5,320.9,5496.1,5.84,48.14
19,N0004937,12,1099.2,6905.6,15.92,230.89
20,N0006860,1,32.2,5160.8,0.62,0.0
21,N0011006,9,1376.7,5408.7,25.45,7.82
22,N0004545,11,3063.4,31984.8,9.58,51.38
23,N0003575,13,2883.6,17405.2,16.57,90.38
24,N0011332,15,1554.4,7390.9,21.03,552.78
25,N0003518,3,810.2,7219.0,11.22,33.75
26,N0003451,13,1031.0,15474.7,6.66,247.96
27,N0003332,3,211.5,5340.0,3.96,105.65
28,N0001750,9,1573.3,21015.8,7.49,24.9
29,N0004250,8,3092.2,10504.7,29.44,4.0
30,N0010490,5,609.4,5713.6,10.67,21.84
31,N0004506,1,13.2,4153.8,0.32,4.91
32,N0004457,17,1655.4,24386.3,6.79,137.12
33,N0011122,11,3105.1,13783.0,22.53,41.85
34,N0009132,1,1011.8,4560.8,22.18,0.0
35,N0011082,3,1267.5,5716.4,22.17,50.3
36,N0008751,30,1328.3,7808.6,17.01,190.07
37,N0009245,2,142.8,4163.9,3.43,61.3
38,N0012410,5,176.5,5886.3,3.0,182.11
39,N0008985,7,677.4,7567.1,8.95,187.29
40,N0010039,2,605.3,38008.3,1.59,61.1
41,N0009983,2,511.7,27612.3,1.85,21.82
42,N0012212,9,1885.3,15962.4,11.81,184.2
43,N0009260,2,840.2,5803.4,14.48,54.84
44,N0012204,3,645.5,9192.8,7.02,38.25
45,N0012368,5,551.2,6024.2,9.15,134.02
46,N0009403,14,1013.6,10600.8,9.56,375.18
47,N0010037,5,1585.3,5719.1,27.72,9.91
48,N0010049,10,2191.7,19239.0,11.39,409.03
49,N0009351,1,137.2,6877.3,1.99,17.37
50,N0008987,6,340.5,4323.1,7.88,154.35
51,N0008939,8,1751.7,7709.0,22.72,73.94
52,N0012323,13,1705.6,27102.7,6.29,244.81
53,N0008922,14,1537.1,15663.0,9.81,300.87
54,N0008907,2,281.1,5654.6,4.97,18.65
55,N0017967,14,742.8,5965.6,12.45,191.98
56,N0009779,1,201.1,4742.2,4.24,31.99
57,N0008723,1,450.4,4710.8,9.56,57.47
58,N0008720,2,190.5,4872.0,3.91,63.14
59,N0003954,24,1593.6,53377.5,2.99,863.69
60,N0009433,7,1505.0,32119.9,4.69,143.5
61,N0009996,29,1996.1,19070.5,10.47,550.39
62,N0016793,21,1147.0,7944.0,14.44,348.61
63,N0010002,11,600.9,6029.3,9.97,370.56
64,N0010103,7,1568.8,11857.1,13.23,107.73
65,N0012476,4,212.3,4373.5,4.86,145.16
66,N0003960,24,1162.7,11192.4,10.39,1185.57
67,N0007229,6,742.3,28902.6,2.57,268.11
68,N0009854,57,3892.4,18403.1,21.15,1432.86
69,N0009165,10,1164.0,7959.0,14.62,196.81
70,N0007248,2,171.1,8791.7,1.95,45.14
71,N0005336,11,1087.4,20981.6,5.18,366.01
72,N0001295,3,336.2,9673.7,3.48,127.16
73,N0010491,4,161.5,4157.5,3.88,108.98
74,N0001403,1,144.6,5117.8,2.83,47.31
75,N0001493,20,1774.4,16189.7,10.96,643.74
76,N0002572,2,383.6,5282.2,7.26,54.05
77,N0005374,1,31.5,5685.6,0.55,32.65
78,N0005384,1,33.6,4778.7,0.7,42.82
79,N0004358,4,443.1,68516.9,0.65,113.02
80,N0000117,6,1035.8,44979.7,2.3,255.07
81,N0006561,10,1733.9,31026.5,5.59,6.0
82,N0006569,8,1546.2,19795.6,7.81,0.0
83,N0006574,5,1292.7,9256.0,13.97,0.0
84,N0000085,1,47.9,5813.2,0.82,40.65
85,N0004227,3,1064.8,5561.6,19.14,1.0
86,N0000116,1,2376.8,6252.6,38.01,32.37
87,N0000151,41,6252.7,13936.9,44.86,320.77
88,N0000148,4,764.2,8840.5,8.64,81.56
89,N0004207,22,2881.1,12980.9,22.19,126.55
90,N0003997,8,550.2,30028.2,1.83,245.84
91,N0004005,15,2413.6,19518.5,12.37,352.43
92,N0004319,2,251.3,9195.3,2.73,4.0
93,N0008522,1,56.5,4067.7,1.39,19.1
94,N0004086,2,182.0,4396.5,4.14,62.46
95,N0003875,14,2428.1,31014.3,7.83,359.3
96,N0003688,7,1105.5,16169.3,6.84,223.71
97,N0003648,2,303.0,6123.0,4.95,10.19
98,N0003689,2,2939.5,7087.7,41.47,16.35
99,N0003721,3,505.7,7933.1,6.37,253.59
100,N0003865,14,1345.0,33967.8,3.96,296.0
101,N0011868,9,1651.8,19170.6,8.62,118.72
102,N0012050,8,1116.8,9154.9,12.2,73.12
103,N0009884,10,1223.8,5618.2,21.78,166.14
104,N0011887,2,361.7,4694.4,7.7,13.82
105,N0003683,9,790.5,131771.8,0.6,435.41
106,N0010658,10,1187.1,91830.9,1.29,272.93
107,N0008791,8,1618.8,65052.5,2.49,150.53
108,N0003886,2,614.9,47227.5,1.3,33.59
109,N0003788,1,333.9,30718.0,1.09,5.52
110,N0010849,13,1213.6,16870.6,7.19,384.64
111,N0010852,10,816.7,5537.7,14.75,319.45
112,N0010833,7,624.1,7651.5,8.16,122.66
113,N0010851,21,1621.3,13513.5,12.0,607.62
114,N0010861,4,300.4,5772.6,5.2,54.49
115,N0003885,9,2146.4,15839.3,13.55,226.47
116,N0004644,1,629.8,5142.9,12.25,5.82
117,N0009069,21,1340.8,10106.6,13.27,668.51
118,N0003891,2,823.5,4526.2,18.19,65.63
119,N0009568,6,887.7,23812.6,3.73,126.15
120,N0010785,6,961.4,10709.9,8.98,90.61
121,N0010773,7,932.0,6452.3,14.44,204.01
122,N0009569,3,644.1,4951.8,13.01,75.15
123,N0009575,7,2378.1,36615.3,6.49,81.83
124,N0004626,8,989.2,19145.4,5.17,4.37
125,N0004634,4,558.9,9080.9,6.16,58.44
126,N0004635,1,149.4,4103.7,3.64,18.99
127,N0015037,7,360.8,4950.0,7.29,241.96
128,N0004124,14,942.2,13045.3,7.22,456.36
129,N0003564,1,37.3,42222.6,0.09,1.46
130,N0006447,7,4373.5,28472.4,15.36,47.12
131,N0006454,10,3914.3,14413.7,27.16,26.91
132,N0006467,1,182.5,4263.0,4.28,8.0
133,N0006446,1,1370.8,5596.9,24.49,1.53
134,N0010916,4,63.2,4357.0,1.45,0.0
135,N0010898,2,3307.3,5093.9,64.93,0.0
136,N0003565,3,2074.2,11466.2,18.09,5.82
137,N0003309,19,1502.3,27273.9,5.51,636.39
138,N0003100,1,360.2,7723.9,4.66,151.23
139,N0003273,9,1249.6,7150.5,17.48,348.95
140,N0003238,4,233.2,4239.7,5.5,324.82
141,N0003051,23,1188.3,112428.7,1.06,395.88
142,N0002807,12,1478.8,99610.5,1.48,294.13
143,N0002052,11,702.0,89399.1,0.79,591.31
144,N0001837,13,2346.4,65383.1,3.59,694.52
145,N0004681,5,1664.2,54254.3,3.07,231.43
146,N0002027,3,665.2,42157.5,1.58,176.72
147,N0004678,7,1938.9,29635.8,6.54,384.43
148,N0004672,12,3643.9,15763.4,23.12,217.39
149,N0006338,2,240.1,4439.6,5.41,55.86
150,N0004668,3,297.0,5400.3,5.5,20.1
151,N0002221,20,2006.4,10457.9,19.19,556.13
152,N0001963,9,885.5,6522.5,13.58,316.67
153,N0001845,3,313.8,4432.0,7.08,73.64
154,N0001890,20,1745.9,21322.7,8.19,731.36
155,N0002511,6,1173.9,7827.5,15.0,211.53
156,N0002380,36,1336.4,16078.3,8.31,1432.34
157,N0002569,2,135.6,5664.4,2.39,57.68
158,N0004352,4,324.1,115062.8,0.28,3.0
159,N0004348,3,190.4,103397.6,0.18,53.84
160,N0007611,9,988.5,57151.3,1.73,290.75
161,N0007828,23,2859.3,42445.5,6.74,1010.37
162,N0003606,10,954.8,17600.3,5.42,32.03
163,N0002606,1,336.7,7580.4,4.44,0.0
164,N0003637,6,757.4,6196.9,12.22,190.93
165,N0006044,13,1318.0,16320.7,8.08,520.99
166,N0006078,11,1855.8,6216.6,29.85,197.75
167,N0007777,10,771.7,7427.3,10.39,253.76
168,N0004345,10,1028.7,45986.5,2.24,237.19
169,N0007704,8,1112.8,33483.3,3.32,375.88
170,N0007674,23,1492.9,23171.5,6.44,721.63
171,N0009215,15,739.9,13128.3,5.64,318.65
172,N0007933,2,633.6,4735.3,13.38,132.84
173,N0007702,2,418.9,7983.4,5.25,191.44
174,N0004336,12,1917.1,8485.8,22.59,92.1
175,N0007588,7,564.9,10225.9,5.52,82.07
176,N0007547,1,8.4,4004.8,0.21,8.35
177,N0001983,5,188.7,92847.5,0.2,55.29
178,N0011207,8,2060.9,81741.8,2.52,226.62
179,N0009828,11,2760.3,61874.7,4.46,235.81
180,N0001248,13,2082.6,50492.2,4.12,161.75
181,N0011524,41,5123.7,33026.2,15.51,556.12
182,N0001422,9,1002.6,22354.9,4.48,278.29
183,N0000989,15,1540.3,7655.9,20.12,165.65
184,N0000898,3,527.8,4445.1,11.87,90.68
185,N0001436,11,1306.1,7456.2,17.52,439.36
186,N0008873,5,2114.9,11535.7,18.33,6.0
187,N0011652,16,969.8,9507.0,10.2,420.89
188,N0011208,7,1149.6,6461.0,17.79,223.6
189,N0011205,5,265.9,10917.0,2.44,194.68
190,N0009741,3,443.7,4530.3,9.79,111.55
191,N0001776,9,6665.0,11381.7,58.56,571.0
192,N0001774,3,943.3,6337.8,14.88,2.0
193,N0001765,5,492.8,6608.6,7.46,176.38
194,N0001682,2,143.1,4529.9,3.16,58.94
195,N0001489,2,326.6,4206.3,7.76,59.4
196,N0001257,5,1022.9,40664.2,2.52,62.42
197,N0001262,5,736.8,30535.9,2.41,87.36
198,N0001267,11,907.8,19368.9,4.69,244.61
199,N0009290,10,524.8,9048.2,5.8,627.38
200,N0001278,10,1067.8,6554.1,16.29,390.61
201,N0008786,8,826.9,8977.7,9.21,157.32
202,N0007139,1,90.6,4141.6,2.19,28.21
203,N0000933,16,1728.6,14440.3,11.97,424.83
204,N0000482,10,1365.3,10393.0,13.14,225.56
