NODE_UID,NODE_REF,X,Y,TIER,NODE_KIND,INLET_DEG,INLET_EDGE,OUT_EDGE,N_IN,BAND,REMEDY
N0000335,P0-TM-MH0335,458932.346,2568128.808,trunk main,junction,0.68,E0005627,E0000316,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000157,P0-TM-MH0157,454865.254,2567422.263,trunk main,junction,0.68,E0005396,E0000150,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0010224,P0-TM-MH10224,453581.757,2566675.487,trunk main,junction,1.08,E0011195,E0009482,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000173,P0-TM-MH0173,454290.028,2566981.008,trunk main,junction,1.16,E0011648,E0000166,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0030263,P0-TM-MH30263,447026.038,2565695.25,trunk main,junction,1.37,E0031123,E0029521,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000426,P0-TM-MH0426,456925.383,2568632.633,trunk main,chamber,2.07,E0005393,E0000397,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0015268,P0-TM-MH15268,470468.816,2574669.278,trunk main,junction,2.45,E0016193,E0014526,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000444,P0-TM-MH0444,449986.826,2570337.813,trunk main,junction,2.81,E0005659,E0000413,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0047570,P0-TM-MH47570,449755.047,2567660.504,trunk main,junction,2.88,E0047026,E0046828,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0011781,P0-TM-MH11781,474392.573,2571767.399,trunk main,junction,3.53,E0012883,E0011039,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000167,P0-TM-MH0167,454516.91,2567153.488,trunk main,junction,3.61,E0009855,E0000160,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000396,P0-TM-MH0396,459824.31,2567768.431,trunk main,chamber,3.62,E0005382,E0000370,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0005888,P0-TM-MH5888,450969.535,2571875.152,trunk main,junction,3.86,E0008276,E0005146,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0031845,P0-TM-MH31845,447196.839,2565986.405,trunk main,junction,5.86,E0032779,E0031103,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0043153,P0-SM-MH43153,448178.749,2567675.483,sub main,junction,6.77,E0043034,E0042411,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0033628,P0-SM-MH33628,459694.969,2577680.954,sub main,chamber,7.14,E0032885,E0032886,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0045598,P0-M-MH45598,454950.481,2577058.64,main,junction,7.8,E0045300,E0044856,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0010184,P0-TM-MH10184,472532.655,2573782.998,trunk main,junction,7.94,E0011267,E0009442,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0018461,P0-TM-MH18461,465381.954,2577367.74,trunk main,junction,7.99,E0019287,E0017719,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000480,P0-TM-MH0480,469669.859,2564265.552,trunk main,junction,8.15,E0005379,E0000443,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000177,P0-TM-MH0177,462494.465,2567268.399,trunk main,junction,8.74,E0005380,E0000169,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0006066,P0-TM-MH6066,462403.118,2567269.146,trunk main,junction,10.82,E0007908,E0005324,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0029571,P0-M-MH29571,462111.761,2576286.815,main,chamber,10.9,E0028828,E0028829,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000494,P0-TM-MH0494,449912.439,2570705.527,trunk main,junction,10.95,E0005369,E0000453,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0005950,P0-TM-MH5950,471891.14,2563133.761,trunk main,junction,12.13,E0007906,E0005208,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0017855,P0-M-MH17855,457286.155,2567060.625,main,chamber,13.73,E0017112,E0017113,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0008400,P0-TM-MH8400,445440.793,2563210.701,trunk main,junction,14.46,E0009549,E0007658,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0004726,P0-L-MH4726,448574.553,2563477.798,lateral,chamber,15.01,E0004148,E0004149,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0019994,P0-TM-MH19994,452596.586,2573123.542,trunk main,junction,15.19,E0020831,E0019252,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0031161,P0-SM-MH31161,462793.999,2576022.425,sub main,junction,16.18,E0032148,E0030419,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000065,P0-TM-MH0065,441541.896,2569445.37,trunk main,junction,16.5,E0005420,E0000061,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0015277,P0-TM-MH15277,451680.783,2566684.157,trunk main,junction,17.05,E0016159,E0014535,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000104,P0-TM-MH0104,473588.738,2572182.608,trunk main,junction,18.18,E0005498,E0000099,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0001836,P0-L-MH1836,458661.408,2569260.167,lateral,junction,19.22,E0006542,E0001666,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0022371,P0-M-MH22371,464460.851,2579280.305,main,junction,19.38,E0023400,E0021629,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0036501,P0-M-MH36501,460723.49,2578604.85,main,chamber,19.56,E0035758,E0035759,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0019814,P0-SM-MH19814,450178.078,2561725.731,sub main,junction,20.19,E0020658,E0019072,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0008571,P0-TM-MH8571,462064.527,2578945.272,trunk main,junction,20.58,E0009585,E0007829,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0008546,P0-TM-MH8546,449934.253,2567635.985,trunk main,junction,20.59,E0009543,E0007804,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0003572,P0-M-MH3572,437039.946,2573908.696,main,junction,20.75,E0007115,E0003164,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000213,P0-TM-MH0213,450450.795,2567575.277,trunk main,junction,22.9,E0005518,E0000201,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0029777,P0-M-MH29777,468270.939,2564974.714,main,junction,23.52,E0030714,E0029035,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0005862,P0-TM-MH5862,456329.381,2576789.228,trunk main,junction,24.26,E0007922,E0005120,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0013383,P0-L-MH13383,471529.798,2562494.65,lateral,chamber,24.61,E0012640,E0012641,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0002537,P0-L-MH2537,448920.238,2567810.29,lateral,chamber,24.66,E0002272,E0002273,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0026794,P0-L-MH26794,450576.763,2567108.524,lateral,junction,25.22,E0027721,E0026052,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0043004,P0-L-MH43004,454298.003,2570478.255,lateral,junction,26.69,E0042917,E0042262,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0006775,P0-SM-MH6775,454844.847,2565920.139,sub main,junction,26.81,E0008793,E0006033,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0004853,P0-SM-MH4853,435995.218,2571320.772,sub main,junction,26.9,E0007309,E0004256,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0028809,P0-L-MH28809,446701.005,2563805.714,lateral,junction,27.21,E0029779,E0028067,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000412,P0-TM-MH0412,450251.387,2571286.153,trunk main,junction,27.45,E0005370,E0000384,4,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000228,P0-TM-MH0228,452513.83,2566693.227,trunk main,junction,27.92,E0005634,E0000215,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0007593,P0-L-MH7593,446726.112,2558598.252,lateral,chamber,30.03,E0006850,E0006851,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0026226,P0-L-MH26226,462559.554,2576653.649,lateral,chamber,30.47,E0025483,E0025484,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0026974,P0-L-MH26974,450459.136,2564977.234,lateral,chamber,30.54,E0026231,E0026232,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000394,P0-TM-MH0394,461686.073,2567275.014,trunk main,junction,30.55,E0005381,E0000369,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0019749,P0-SM-MH19749,450908.25,2566399.973,sub main,junction,30.55,E0020535,E0019007,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0044049,P0-M-MH44049,453352.119,2573910.976,main,junction,30.81,E0043923,E0043307,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0043924,P0-M-MH43924,442668.841,2558528.381,main,junction,30.92,E0043761,E0043182,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0044027,P0-L-MH44027,454719.833,2576141.308,lateral,junction,32.46,E0043919,E0043285,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0025203,P0-M-MH25203,464658.248,2567389.343,main,junction,32.55,E0026351,E0024461,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0002402,P0-M-MH2402,458915.02,2567226.918,main,junction,32.9,E0006811,E0002155,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0013951,P0-L-MH13951,449716.026,2569729.877,lateral,chamber,33.99,E0013208,E0013209,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0026254,P0-M-MH26254,444508.118,2560292.487,main,junction,34.42,E0027347,E0025512,3,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0016208,P0-SM-MH16208,457201.184,2567852.549,sub main,junction,34.54,E0017064,E0015466,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0004494,P0-L-MH4494,451593.511,2565796.809,lateral,chamber,34.78,E0003952,E0003953,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0016886,P0-TM-MH16886,459234.049,2578244.42,trunk main,junction,34.84,E0017778,E0016144,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0004507,P0-M-MH4507,441435.281,2559976.92,main,junction,34.94,E0007233,E0003962,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0029307,P0-L-MH29307,461396.786,2568789.847,lateral,junction,35.08,E0030244,E0028565,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0006206,P0-M-MH6206,470108.747,2564059.015,main,junction,35.44,E0008164,E0005464,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
