NODE_UID,NODE_REF,X,Y,TIER,NODE_KIND,INLET_DEG,INLET_EDGE,OUT_EDGE,N_IN,BAND,REMEDY
N0000577,P0-L-MH0577,446258.625,2565470.629,lateral,junction,56.56,E0000634,E0000576,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000604,P0-L-MH0604,446595.566,2565918.467,lateral,junction,63.46,E0000654,E0000603,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000665,P0-L-MH0665,446433.828,2567328.777,lateral,junction,64.49,E0000701,E0000664,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000522,P0-SM-MH0522,446286.374,2565529.849,sub main,junction,65.43,E0000576,E0000521,2,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000251,P0-SM-MH0251,445800.391,2565744.715,sub main,chamber,69.62,E0000313,E0000250,1,"below 75 deg - REVIEW, the channel cannot be benched",purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000636,P0-L-MH0636,446456.428,2565767.826,lateral,chamber,77.67,E0000690,E0000635,1,below the project's stated 85 deg deviation,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000308,P0-L-MH0308,445416.528,2565418.209,lateral,junction,80.75,E0000355,E0000307,2,below the project's stated 85 deg deviation,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000767,P0-L-MH0767,446536.528,2565270.883,lateral,chamber,81.53,E0000793,E0000766,1,below the project's stated 85 deg deviation,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000747,P0-L-MH0747,446783.65,2566133.463,lateral,chamber,82.76,E0000745,E0000746,1,below the project's stated 85 deg deviation,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000361,P0-SM-MH0361,445824.49,2565612.259,sub main,junction,83.96,E0000423,E0000360,2,below the project's stated 85 deg deviation,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000785,P0-L-MH0785,446883.801,2566242.141,lateral,chamber,84.73,E0000783,E0000784,1,below the project's stated 85 deg deviation,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000612,P0-L-MH0612,446439.64,2567308.41,lateral,junction,85.24,E0000665,E0000611,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000632,P0-L-MH0632,446250.827,2565372.004,lateral,junction,85.54,E0000686,E0000631,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000560,P0-L-MH0560,446643.284,2566936.042,lateral,chamber,86.69,E0000558,E0000559,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000191,P0-L-MH0191,445223.453,2565685.579,lateral,junction,87.1,E0000240,E0000190,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000421,P0-SM-MH0421,446042.869,2565731.031,sub main,chamber,87.63,E0000476,E0000420,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000172,P0-L-MH0172,445038.077,2566600.9,lateral,junction,87.71,E0000226,E0000171,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000590,P0-L-MH0590,445635.204,2565283.345,lateral,junction,87.73,E0000645,E0000589,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000455,P0-L-MH0455,446519.392,2566966.05,lateral,junction,87.99,E0000511,E0000454,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000137,P0-L-MH0137,445178.037,2565758.955,lateral,chamber,88.02,E0000190,E0000136,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000046,P0-L-MH0046,444955.055,2566247.531,lateral,junction,88.07,E0000063,E0000045,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000795,P0-L-MH0795,446780.354,2565204.675,lateral,junction,88.1,E0000807,E0000794,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000344,P0-L-MH0344,446052.718,2566571.129,lateral,chamber,88.2,E0000415,E0000343,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000549,P0-L-MH0549,446519.087,2567183.068,lateral,junction,88.25,E0000613,E0000548,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000699,P0-L-MH0699,446929.965,2565746.113,lateral,chamber,88.25,E0000751,E0000698,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000080,P0-SM-MH0080,445412.987,2565962.083,sub main,junction,88.26,E0000101,E0000079,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000529,P0-L-MH0529,445731.915,2565343.143,lateral,junction,88.31,E0000592,E0000528,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000101,P0-SM-MH0101,445462.997,2565872.775,sub main,junction,88.34,E0000149,E0000100,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000227,P0-L-MH0227,445111.121,2566640.368,lateral,chamber,88.41,E0000272,E0000226,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000224,P0-L-MH0224,444934.568,2566487.111,lateral,chamber,88.56,E0000261,E0000223,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000117,P0-L-MH0117,445318.864,2566643.023,lateral,chamber,88.6,E0000174,E0000116,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000695,P0-L-MH0695,446747.92,2565795.26,lateral,chamber,88.61,E0000748,E0000694,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000810,P0-L-MH0810,446857.285,2565366.599,lateral,chamber,88.68,E0000808,E0000809,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000263,P0-L-MH0263,444896.227,2566842.027,lateral,junction,88.76,E0000332,E0000262,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000417,P0-L-MH0417,444868.551,2565340.927,lateral,junction,88.77,E0000468,E0000416,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000509,P0-L-MH0509,446599.595,2567013.551,lateral,chamber,88.77,E0000559,E0000508,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000594,P0-L-MH0594,446634.243,2566240.633,lateral,chamber,88.79,E0000647,E0000593,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000171,P0-L-MH0171,444984.951,2566517.684,lateral,chamber,88.83,E0000224,E0000170,1,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
N0000255,P0-SM-MH0255,445960.934,2566409.25,sub main,junction,88.84,E0000319,E0000254,2,below 90 deg - G203-p30,purpose-made chamber with a swept/curved channel. NOT a bend chamber: the user refused that on 2026-08-20 (~200 chambers for no construction benefit)
