PLOT_ID,X,Y,REACH,STATION_M,SHORT_BY_M,CH_REQ,ISSUE
1104447,459802.3096206004,2569418.7324970346,E0028670,59.32,9.9,R00360,beyond the 45 m tertiary run
1104468,459881.1443952453,2570142.944128887,E0030410,7.14,6.72,R00400,beyond the 45 m tertiary run
1104509,459596.4743557425,2570244.071585439,E0029894,16.69,10.27,R00386,beyond the 45 m tertiary run
1104542,461349.45452367986,2569458.9295267635,E0035562,15.78,6.81,R00495,beyond the 45 m tertiary run
1104557,459652.6637075374,2569788.5035298374,E0029308,40.38,8.72,R00369,beyond the 45 m tertiary run
1104592,458450.67290756607,2571713.3334849454,E0033905,37.16,17.29,R00460,beyond the 45 m tertiary run
1104722,458688.3361014156,2571703.24752173,E0033943,7.97,7.29,R00461,beyond the 45 m tertiary run
1105046,453850.6980366098,2568368.737793183,E0020756,39.43,2.0,R00203,beyond the 45 m tertiary run
1105098,453912.19905352185,2568298.1506835935,E0020936,16.96,7.29,R00207,beyond the 45 m tertiary run
1105114,453067.8364693748,2568403.92392477,E0020500,29.73,1.13,R00195,beyond the 45 m tertiary run
1105133,453269.1295026664,2568773.576795619,E0021311,53.85,21.55,R00214,beyond the 45 m tertiary run
1105244,453195.13364832225,2568632.732070648,E0021174,13.6,3.39,R00211,beyond the 45 m tertiary run
1105252,453196.6045609857,2568493.549849562,E0021176,36.83,35.13,R00212,beyond the 45 m tertiary run
1105257,453054.88067892555,2568412.282816625,E0020500,14.31,5.81,R00195,beyond the 45 m tertiary run
1105414,456135.49963399075,2572238.8577569243,E0033737,18.02,15.47,R00456,beyond the 45 m tertiary run
1105423,456292.24937079777,2572131.6009778813,E0033735,8.09,0.33,R00452,beyond the 45 m tertiary run
1105424,456275.74949265126,2572142.8911007275,E0033735,28.08,20.87,R00453,beyond the 45 m tertiary run
1105617,453176.14279357827,2567816.1163408156,E0020067,11.6,11.42,R00190,beyond the 45 m tertiary run
