CH_REQ,REACH,STATION_M,X,Y,N_PLOTS,Q_ADF_M3D,MAX_LEG_M,OFFSET_MED_M,WHY,ROW_QUESTION
R00001,E0000368,19.88,458345.518,2566927.058,1,1.08,44.57,47.07,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00002,E0000966,9.73,449460.369,2570869.025,1,1.08,43.4,45.9,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00003,E0001440,57.72,451981.186,2572443.072,1,1.08,42.49,44.99,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00004,E0001441,41.39,451938.976,2572415.973,1,1.08,43.26,45.76,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00005,E0001441,66.39,451917.413,2572403.322,1,1.08,43.2,45.7,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00006,E0001544,43.44,468440.348,2564676.768,1,1.08,27.9,30.4,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 30 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00007,E0001583,22.51,445482.913,2559458.092,1,0.742,40.78,43.28,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 43 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00008,E0001937,23.13,447043.793,2558484.131,1,0.742,39.76,42.26,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 42 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00009,E0001978,42.75,455214.326,2570029.222,1,1.08,39.67,42.17,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 42 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00010,E0002138,51.91,445898.028,2567605.031,2,1.483,43.63,42.8,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 43 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
