PLOT_ID,CLASS,CAT,Q_ADF_M3D,N_PROP,WHY
1144020,P,domestic,1.079781248,1.456,outside the project boundary
1147958,P,domestic,1.079781248,1.456,outside the project boundary
1147959,P,none,0.0,0.0,outside the project boundary
1148329,P,domestic,1.079781248,1.456,outside the project boundary
1148330,P,domestic,1.079781248,1.456,outside the project boundary
1148332,A,agricultural,0.0,0.0,outside the project boundary
1148379,A,agricultural,0.0,0.0,outside the project boundary
1150362,A,agricultural,0.0,0.0,outside the project boundary
1150363,P,domestic,1.079781248,1.456,outside the project boundary
1150364,P,none,0.0,0.0,outside the project boundary
1150365,P,none,0.0,0.0,outside the project boundary
1150366,P,domestic,1.079781248,1.456,outside the project boundary
1150367,P,none,0.0,0.0,outside the project boundary
1150368,P,domestic,1.079781248,1.456,outside the project boundary
1150371,P,domestic,1.079781248,1.456,outside the project boundary
1150783,P,domestic,1.079781248,1.456,outside the project boundary
1155654,P,domestic,1.079781248,1.456,outside the project boundary
1155655,A,agricultural,0.0,0.0,outside the project boundary
1163159,A,domestic,2.224824,3.0,outside the project boundary
1163160,P,domestic,1.483216,2.0,outside the project boundary
1163161,A,domestic,0.741608,1.0,outside the project boundary
1163162,A,agricultural,0.0,0.0,outside the project boundary
1163521,A,agricultural,0.0,0.0,outside the project boundary
1164057,A,agricultural,0.0,0.0,outside the project boundary
1165059,P,domestic,1.079781248,1.456,outside the project boundary
1165136,B,domestic,1.079781248,1.456,outside the project boundary
1165162,A,agricultural,0.0,0.0,outside the project boundary
1165163,A,agricultural,0.0,0.0,outside the project boundary
1166033,A,agricultural,0.0,0.0,outside the project boundary
1166034,A,agricultural,0.0,0.0,outside the project boundary
1166264,P,none,0.0,0.0,outside the project boundary
1166316,A,agricultural,0.0,0.0,outside the project boundary
1203587,A,agricultural,0.0,0.0,outside the project boundary
1211709,P,domestic,1.079781248,1.456,outside the project boundary
-377,U,domestic,0.741608,1.0,outside the project boundary
-673,U,domestic,0.741608,1.0,outside the project boundary
-837,U,domestic,0.741608,1.0,outside the project boundary
-1244,U,domestic,0.741608,1.0,outside the project boundary
-1813,U,domestic,0.741608,1.0,outside the project boundary
-1998,U,domestic,0.741608,1.0,outside the project boundary
-2324,U,domestic,0.741608,1.0,outside the project boundary
-2435,U,domestic,0.741608,1.0,outside the project boundary
-2606,U,domestic,0.741608,1.0,outside the project boundary
-2607,U,domestic,0.741608,1.0,outside the project boundary
1104405,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1104416,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1104420,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1104421,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1104422,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1104423,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1104855,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1104887,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1104904,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1104911,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1104912,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1104916,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1104929,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105043,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105070,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105077,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105322,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105326,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105333,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105334,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105343,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105427,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105433,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105437,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105438,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105590,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105628,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105630,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105631,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105639,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105641,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105644,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105653,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105663,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105666,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105667,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105668,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105669,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105671,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105672,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105673,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105674,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105678,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105680,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105683,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105684,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105686,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105689,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105690,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105691,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105693,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105698,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105699,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105705,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105733,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105735,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105738,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105741,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105742,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105767,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105768,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105769,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105771,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105773,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105779,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105831,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105837,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105839,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105851,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105853,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105863,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105864,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105874,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105875,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105923,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105935,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1105936,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106027,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106029,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106030,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106031,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106039,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106059,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106062,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106071,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106077,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106078,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106086,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106097,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106103,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106141,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106142,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106162,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106163,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106164,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106165,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106181,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106182,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106218,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106219,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106220,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106221,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
1106222,A,agricultural,0.0,0.0,no wastewater load (AGRI_NO_HSE)
