EDGE_UID,US_NODE,DS_NODE,TIER,LEN_M,SRC,CONFIDENCE,STAGE,QADF_M3D,N_PROP,QINF_LS,PF,PF_METH,QPK_LS,UPSTR_KM,ON_WADI_M,ON_DUAL_M,CROSS_ID,DN,MATERIAL,SLOPE_LAID,SLOPE_MIN,GRAD_BY,SIZED_BY,CLEAN_BY,TAU_PA,INV_UP,INV_DN,US_DEPTH,DS_DEPTH,COVER_US,COVER_DN,V_PK_MS,DOD_PK,RET_MIN,PAST_CAP,CAP_EXIT,CAP_LEN_M,TIE_TYPE,PACKAGE,PHASE
E0000001,N0000001,N0000002,trunk main,60.00000000008382,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.890735,1.6261,merrimack,1076.421979,1306.8882,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,317.51904530879017,317.4590453087901,9.212918802537956,8.554840189256765,7.962918802537956,7.304840189256765,1.1907572093821923,0.7452950073606734,0.8398017598568502,0,,0.0,none,P06,1
E0000002,N0000002,N0000003,trunk main,60.000000000057064,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.891235,1.6261,merrimack,1076.422479,1306.9482,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,317.4590453087901,317.39904530879005,8.554840189256765,8.3499170935537,7.304840189256765,7.0999170935536995,1.190757272615037,0.7452953037394427,0.8398017152604397,0,,0.0,none,P06,1
E0000003,N0000003,N0000004,trunk main,60.000000000057064,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.891735,1.6261,merrimack,1076.422979,1307.0082,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,317.39904530879005,317.33904530879,8.3499170935537,8.160496927538134,7.0999170935536995,6.910496927538134,1.1907573358476724,0.7452956001184206,0.8398016706645559,0,,0.0,none,P06,1
E0000004,N0000004,N0000005,trunk main,14.444551320918492,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.892235,1.6261,merrimack,1076.423479,1307.0682,0.0,0.0,,1200,GRP,0.3,0.075,table11,dod,velocity,1.0,317.33904530879,317.29571165482724,8.160496927538134,8.094089370563381,6.910496927538134,6.844089370563381,1.8541640399671353,0.5104571128608573,0.12983884749462368,0,,0.0,none,P06,1
E0000005,N0000005,N0000006,trunk main,79.9999999999429,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.892356,1.6261,merrimack,1076.4236,1307.0827,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,317.29571165482724,317.2157116548273,8.094089370563381,8.279222427203933,6.844089370563381,7.029222427203933,1.1907574143823145,0.7452959682214015,1.1197354870337095,0,,0.0,none,P06,1
E0000006,N0000006,N0000007,trunk main,80.00000000011623,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.893022,1.6261,merrimack,1076.424266,1307.1627,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,317.2157116548273,317.1357116548272,8.279222427203933,8.667938247516531,7.029222427203933,7.417938247516531,1.1907574986075136,0.7452963629988689,1.1197354078344977,0,,0.0,none,P06,1
E0000007,N0000007,N0000008,trunk main,79.9999999999429,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.893689,1.6261,merrimack,1076.424933,1307.2427,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,317.1357116548272,317.0557116548273,8.667938247516531,8.596174331500833,7.417938247516531,7.346174331500833,1.1907575829588046,0.7452967583694667,1.1197353285118736,0,,0.0,none,P06,1
E0000008,N0000008,N0000009,trunk main,11.285396261897493,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.894356,1.6261,merrimack,1076.4256,1307.3227,0.0,0.0,,1200,GRP,0.4,0.075,table11,minimum,velocity,1.0,317.0557116548273,317.0105700697797,8.596174331500833,8.430286863814047,7.346174331500833,7.180286863814047,2.0687061289369786,0.46862587920356036,0.09092153547925295,0,,0.0,none,P06,1
E0000009,N0000009,N0000010,trunk main,59.999999999993875,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.89445,1.6261,merrimack,1076.425694,1307.334,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,317.0105700697797,316.9505700697797,8.430286863814047,8.931967772017174,7.180286863814047,7.681967772017174,1.1907576791972287,0.7452972094599128,0.8398014285106827,0,,0.0,none,P06,1
E0000010,N0000010,N0000011,trunk main,60.000000000000234,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.89495,1.6261,merrimack,1076.426194,1307.394,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,316.9505700697797,316.8905700697797,8.931967772017174,9.256127928267176,7.681967772017174,8.006127928267176,1.190757742428518,0.7452975058402325,0.8398013839158677,0,,0.0,none,P06,1
E0000011,N0000011,N0000012,trunk main,4.270052417035746,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.89545,1.6261,merrimack,1076.426694,1307.454,0.0,0.0,,1200,GRP,0.95,0.075,table11,minimum,velocity,1.0,316.8905700697797,316.85000457181786,9.256127928267176,9.289338689900887,8.006127928267176,8.039338689900887,2.8568517899051966,0.3673874738705655,0.02491117688898057,0,,0.0,none,P06,1
