head,seg_len_m,recover_m,outfall_m,exit,exit_len_m,worst_cover_m
E0001178,382.0,382.0,,recovers_500m,382.0,22.12
E0015286,117.1,117.1,,recovers_500m,117.1,12.42
E0012355,110.0,110.0,,recovers_500m,110.0,12.09
E0018120,366.5,,366.5,outfall_1000m,366.5,13.18
E0009213,231.0,231.0,886.9,recovers_500m,231.0,14.1
E0030570,105.0,105.0,,recovers_500m,105.0,30.3
E0038788,135.0,135.0,,recovers_500m,135.0,12.09
E0019130,15.0,15.0,,recovers_500m,15.0,12.2
E0036905,298.5,298.5,,recovers_500m,298.5,12.86
E0029768,116.1,116.1,,recovers_500m,116.1,12.17
E0027728,180.3,180.3,,recovers_500m,180.3,13.3
E0005343,445.2,,445.2,outfall_1000m,445.2,12.96
E0024230,58.2,58.2,,recovers_500m,58.2,12.09
E0033725,73.9,73.9,,recovers_500m,73.9,12.02
E0007938,76.0,76.0,,recovers_500m,76.0,13.47
E0006192,148.0,148.0,234.9,recovers_500m,148.0,12.93
E0046805,70.0,70.0,,recovers_500m,70.0,22.65
E0014793,115.8,115.8,456.6,recovers_500m,115.8,14.04
E0019980,66.4,66.4,,recovers_500m,66.4,12.17
E0024235,154.0,154.0,,recovers_500m,154.0,12.43
E0005873,354.2,,354.2,outfall_1000m,354.2,12.6
E0005303,144.2,144.2,336.7,recovers_500m,144.2,12.34
E0005678,46.0,46.0,,recovers_500m,46.0,12.87
E0024411,50.0,50.0,,recovers_500m,50.0,12.18
E0013636,357.7,357.7,,recovers_500m,357.7,12.66
E0024109,41.9,41.9,,recovers_500m,41.9,12.32
E0041697,249.7,249.7,,recovers_500m,249.7,14.18
E0015947,40.0,40.0,597.3,recovers_500m,40.0,12.56
E0042619,87.7,87.7,,recovers_500m,87.7,15.47
E0000419,180.0,180.0,450.7,recovers_500m,180.0,13.68
E0005767,95.0,95.0,292.9,recovers_500m,95.0,12.66
E0013189,351.2,351.2,,recovers_500m,351.2,12.54
E0023214,113.3,113.3,,recovers_500m,113.3,15.4
E0045404,432.0,432.0,,recovers_500m,432.0,13.49
E0048836,108.7,108.7,,recovers_500m,108.7,12.44
E0006388,89.0,89.0,,recovers_500m,89.0,12.35
E0025869,454.8,454.8,,recovers_500m,454.8,12.7
E0010777,85.0,85.0,,recovers_500m,85.0,23.54
E0041810,48.0,48.0,,recovers_500m,48.0,20.26
E0046154,40.0,40.0,,recovers_500m,40.0,14.01
E0013286,234.2,234.2,,recovers_500m,234.2,12.32
E0022261,95.9,95.9,,recovers_500m,95.9,15.13
E0021051,117.3,117.3,,recovers_500m,117.3,12.06
E0032496,350.5,350.5,,recovers_500m,350.5,13.1
E0015817,61.0,61.0,,recovers_500m,61.0,12.41
E0005297,92.2,92.2,,recovers_500m,92.2,14.03
E0020137,955.5,,955.5,outfall_1000m,955.5,15.51
E0017073,896.7,,896.7,outfall_1000m,896.7,15.6
E0024413,255.0,255.0,,recovers_500m,255.0,15.97
E0006319,225.5,225.5,,recovers_500m,225.5,15.05
E0014052,88.6,88.6,,recovers_500m,88.6,14.74
E0007638,100.0,100.0,,recovers_500m,100.0,21.79
E0027526,180.7,180.7,,recovers_500m,180.7,12.96
E0006393,100.1,100.1,,recovers_500m,100.1,12.3
E0030564,25.0,25.0,,recovers_500m,25.0,13.05
E0045878,40.0,40.0,,recovers_500m,40.0,14.27
E0012741,308.5,308.5,844.8,recovers_500m,308.5,36.51
E0007883,157.6,157.6,,recovers_500m,157.6,13.43
E0019212,111.6,111.6,828.9,recovers_500m,111.6,14.28
E0003821,111.8,,111.8,outfall_1000m,111.8,12.67
E0014234,74.2,74.2,475.8,recovers_500m,74.2,14.58
E0015943,34.5,34.5,691.8,recovers_500m,34.5,13.27
E0000413,155.0,155.0,705.7,recovers_500m,155.0,12.99
E0021874,221.3,221.3,,recovers_500m,221.3,12.56
E0005753,630.7,,630.7,outfall_1000m,630.7,22.78
E0026131,20.0,20.0,,recovers_500m,20.0,12.15
E0044567,40.0,40.0,,recovers_500m,40.0,17.54
E0029257,21.9,21.9,,recovers_500m,21.9,12.19
E0001168,103.9,103.9,,recovers_500m,103.9,12.49
E0018156,133.0,133.0,,recovers_500m,133.0,12.27
E0030585,95.0,95.0,,recovers_500m,95.0,23.98
E0009046,15.0,15.0,304.1,recovers_500m,15.0,12.27
E0005829,538.7,,538.7,outfall_1000m,538.7,14.01
E0001155,108.3,108.3,,recovers_500m,108.3,13.72
E0008605,199.6,199.6,624.3,recovers_500m,199.6,12.51
E0048348,163.7,163.7,,recovers_500m,163.7,12.1
E0004790,120.0,120.0,586.7,recovers_500m,120.0,15.92
E0038105,157.1,157.1,,recovers_500m,157.1,12.68
E0045687,204.8,204.8,,recovers_500m,204.8,14.49
E0041859,94.5,94.5,,recovers_500m,94.5,20.48
E0029261,163.7,163.7,,recovers_500m,163.7,14.75
E0023217,131.9,131.9,,recovers_500m,131.9,15.4
E0027639,156.3,156.3,,recovers_500m,156.3,12.34
E0043280,178.6,178.6,,recovers_500m,178.6,22.9
E0029400,155.3,155.3,,recovers_500m,155.3,12.64
E0005337,104.5,104.5,789.2,recovers_500m,104.5,12.11
E0000686,60.9,,60.9,outfall_1000m,60.9,12.0
E0000671,280.9,,280.9,outfall_1000m,280.9,14.23
E0014631,183.1,183.1,922.2,recovers_500m,183.1,29.69
E0012035,760.0,,760.0,outfall_1000m,760.0,16.12
E0005794,943.3,,943.3,outfall_1000m,943.3,15.09
E0018110,240.2,240.2,637.2,recovers_500m,240.2,14.71
E0006398,296.8,296.8,,recovers_500m,296.8,13.04
E0000024,470.2,,470.2,outfall_1000m,470.2,13.82
E0019163,310.0,310.0,,recovers_500m,310.0,31.07
E0006343,269.2,269.2,542.4,recovers_500m,269.2,12.51
E0019137,235.0,235.0,,recovers_500m,235.0,22.18
E0028629,80.0,80.0,,recovers_500m,80.0,22.07
