NODE_UID,NODE_KIND,TIER,GRD_M,INV_M,DEPTH_M,DROP_M,DROP_TYPE,VORTEX,MH_DIA,ARRIVING_EDGE
N0047300,junction,main,465.0969543457031,441.99617107151454,23.100783274188586,19.832164559791238,vortex,1,1.0,E0047133
N0032721,junction,main,410.93218994140625,389.9200375740008,21.012152367405463,19.32319614386489,vortex,1,1.0,E0032907
N0032119,junction,main,408.5469055175781,389.8260961028605,18.72080941471762,17.08116620350819,vortex,1,1.0,E0032473
N0040525,junction,sub main,354.5312805175781,339.2968367889805,15.234443728597626,13.673950231464062,vortex,1,1.0,E0040458
N0006283,junction,main,435.16015625,420.6947076128314,14.465448637168606,12.707295415278963,vortex,1,1.0,E0006520
N0040966,junction,main,354.0721130371094,340.3344080820209,13.737704955088475,12.180246249086736,vortex,1,1.0,E0040886
N0015696,junction,sub main,445.00341796875,431.28583998221205,13.717577986537947,12.162102057206539,vortex,1,1.0,E0015692
N0021625,junction,main,382.4471435546875,368.56535640023975,13.88178715444775,12.116086485791072,vortex,1,1.0,E0021663
N0040706,junction,sub main,354.401123046875,339.72362557467375,14.677497472201253,11.976184808070514,vortex,1,1.0,E0040568
N0033157,junction,main,404.5680236816406,391.01289473784897,13.555128943791658,11.894286388929686,vortex,1,1.0,E0033484
N0011168,junction,trunk main,342.365478515625,328.81002255380054,13.555455961824464,11.869561888490523,vortex,1,1.0,E0011360
N0015939,junction,sub main,444.7887878417969,431.37624923331913,13.412538608477746,11.826537831150176,vortex,1,1.0,E0015840
N0008813,junction,main,327.04156494140625,313.82732659329236,13.214238348113895,11.632969693515633,vortex,1,1.0,E0009056
N0000362,junction,main,411.1896667480469,397.9843216370337,13.205345111013173,11.611518989927845,vortex,1,1.0,E0002282
N0010114,junction,trunk main,343.4748229980469,329.3075224503544,14.167300547692491,11.608053921402018,vortex,1,1.0,E0010452
N0002531,junction,main,411.66436767578125,398.2708000995049,13.393567576276325,11.587113124116911,vortex,1,1.0,E0003562
N0000361,outfall,lateral,411.1075134277344,397.8941828551471,13.213330572587267,11.583124854999653,vortex,1,1.0,E0000335
N0047835,junction,trunk main,494.851318359375,481.74589866811243,13.105419691262568,11.555243301981932,vortex,1,1.0,E0047721
N0003804,junction,main,411.7671203613281,398.3408000995049,13.426320261823207,11.535140696784538,vortex,1,1.0,E0004193
N0005000,junction,main,411.846923828125,398.7539513733058,13.092972454819176,11.501740494301487,vortex,1,1.0,E0005245
N0048799,junction,main,513.9576416015625,501.14349715002834,12.814144451534162,11.260843862372212,vortex,1,1.0,E0048707
N0004442,junction,main,411.8304443359375,398.71370214971085,13.116742186226645,11.188802394502659,vortex,1,1.0,E0004753
N0015494,junction,sub main,442.9794921875,430.3231671018359,12.656325085664093,11.098745739965125,vortex,1,1.0,E0015453
N0005877,junction,main,411.8360290527344,399.2313595882324,12.604669464501967,11.046293975214098,vortex,1,1.0,E0006060
N0011169,junction,trunk main,341.9183654785156,328.7057187300892,13.212646748426437,11.040274694166953,vortex,1,1.0,E0011359
N0000034,junction,trunk main,396.07513427734375,383.4683015362976,12.606832741046162,11.013793502106012,vortex,1,1.0,E0002082
N0048955,junction,main,514.060302734375,501.41483452374155,12.645468210633453,11.003248406919283,vortex,1,1.0,E0048811
N0025509,junction,sub main,390.8561706542969,378.3637675535211,12.492403100775789,10.876671501357862,vortex,1,1.0,E0025766
N0008084,junction,main,434.67578125,422.3404618317063,12.335319418293693,10.777629232184836,vortex,1,1.0,E0008272
N0005494,junction,main,411.7447204589844,399.1910482994909,12.553672159493487,10.679587871189426,vortex,1,1.0,E0005631
N0009609,junction,trunk main,408.0201110839844,395.827134581386,12.192976502598356,10.637221270074406,vortex,1,1.0,E0009886
N0049052,junction,main,513.7897338867188,501.530808658789,12.258925227929751,10.595656430851193,vortex,1,1.0,E0048956
N0039564,junction,trunk main,425.0245056152344,412.8796232899008,12.144882325333583,10.575474970951745,vortex,1,1.0,E0039456
N0047883,junction,trunk main,495.22088623046875,482.5380899398793,12.682796290589465,10.540781016052733,vortex,1,1.0,E0047739
N0024970,junction,sub main,389.7835693359375,377.51880045122846,12.264768884709042,10.504841733201658,vortex,1,1.0,E0025261
N0027118,junction,sub main,382.0836181640625,369.6974582968527,12.386159867209813,10.502779859480995,vortex,1,1.0,E0027541
N0027933,junction,sub main,374.30560302734375,362.20024403192707,12.10535899541668,10.500445665339669,vortex,1,1.0,E0028187
N0034247,junction,sub main,339.3664245605469,327.26881824842445,12.097606312122423,10.499333741872135,vortex,1,1.0,E0034415
N0002331,junction,trunk main,398.00164794921875,385.93528352142044,12.066364427798305,10.475256184345142,vortex,1,1.0,E0003319
N0027236,junction,sub main,374.2459411621094,362.04936603098577,12.196575131123609,10.456759131617844,vortex,1,1.0,E0027673
N0026201,junction,sub main,391.1192626953125,379.1427442037182,11.976518491594277,10.415700736781787,vortex,1,1.0,E0026386
N0008521,junction,main,434.5565490722656,422.55617677714474,12.000372295120883,10.40423672917376,vortex,1,1.0,E0008719
N0040400,junction,sub main,345.60498046875,333.29119596160444,12.313784507145556,10.37662861152927,vortex,1,1.0,E0040313
N0037933,junction,main,391.84417724609375,379.7747763196748,12.06940092641895,10.376616498549026,vortex,1,1.0,E0037912
N0010112,junction,trunk main,342.2713928222656,329.4230663324743,12.848326489791305,10.366902824487113,vortex,1,1.0,E0010444
N0021540,junction,sub main,384.52587890625,372.1622532060269,12.36362570022311,10.32276276069689,vortex,1,1.0,E0021507
N0037508,junction,sub main,342.7626953125,330.7753195765696,11.987375735930414,10.318225281694254,vortex,1,1.0,E0037537
N0041265,junction,main,424.5296936035156,412.6644317569755,11.865261846540136,10.315261846540125,vortex,1,1.0,E0041154
N0041156,junction,trunk main,426.7180480957031,414.63065170715186,12.08739638855127,10.287382054047896,vortex,1,1.0,E0041091
N0014186,junction,main,392.42193603515625,380.5264376376633,11.89549839749293,10.250482122367998,vortex,1,1.0,E0014277
N0036083,junction,trunk main,408.50421142578125,396.71901686329875,11.785194562482502,10.23370984841415,vortex,1,1.0,E0036203
N0021324,junction,sub main,384.54510498046875,372.0372559299513,12.50784905051745,10.12181187365826,vortex,1,1.0,E0021292
N0010257,junction,sub main,333.46868896484375,321.6589897704863,11.80969919435745,10.097445650342593,vortex,1,1.0,E0010523
N0028435,junction,sub main,374.322021484375,362.4961186430973,11.825902841277696,10.042916348495282,vortex,1,1.0,E0028759
N0021776,junction,sub main,384.9498596191406,373.36543379241476,11.584425826725862,10.029406633086069,vortex,1,1.0,E0021771
N0026499,junction,sub main,390.7795104980469,378.65110688050936,12.128403617537515,10.019131876127403,vortex,1,1.0,E0026854
N0023862,junction,trunk main,388.4845275878906,376.4380138914153,12.046513696475301,10.015451299885967,vortex,1,1.0,E0024137
N0023507,junction,sub main,383.43963623046875,371.4200902153287,12.019546015140065,10.011228608942815,vortex,1,1.0,E0023757
N0030654,junction,sub main,385.373046875,373.5256344005118,11.84741247448818,10.010524318026512,vortex,1,1.0,E0030993
N0011609,junction,sub main,343.3475646972656,330.79742440367676,12.550140293588868,10.004212452156878,vortex,1,1.0,E0011819
N0017600,junction,sub main,359.9533996582031,347.0293748528631,12.924024805340025,9.993857832482945,vortex,1,1.0,E0017471
N0028251,junction,sub main,344.49444580078125,332.8483099024489,11.646135898332375,9.978161600476597,vortex,1,1.0,E0028542
N0012139,junction,sub main,336.2742004394531,324.6925683342229,11.581632105230199,9.970891461786493,vortex,1,1.0,E0012483
N0024965,junction,trunk main,383.5122985839844,371.66426535621775,11.84803322776662,9.96920775247861,vortex,1,1.0,E0025260
N0013416,junction,sub main,324.9757995605469,313.3375720263011,11.6382275342458,9.969024308122016,vortex,1,1.0,E0013574
N0017798,junction,sub main,359.5172119140625,347.12202753799136,12.395184376071143,9.963492495680953,vortex,1,1.0,E0017668
N0000036,junction,trunk main,332.9055480957031,320.7277091596612,12.177838936041951,9.954901797438879,vortex,1,1.0,E0002112
N0030132,junction,sub main,384.7397766113281,373.23445125670935,11.505325354618776,9.952071672107081,vortex,1,1.0,E0030406
N0031670,junction,sub main,337.73114013671875,325.5221796275306,12.20896050918816,9.93692440283536,vortex,1,1.0,E0031970
N0040247,junction,sub main,351.4363098144531,338.8280836347547,12.60822617969842,9.925118534906971,vortex,1,1.0,E0040131
N0039219,junction,trunk main,423.91607666015625,412.4028182114008,11.513258448755437,9.885839790365708,vortex,1,1.0,E0039103
N0042768,junction,main,427.6796875,416.20258382759886,11.477103672401142,9.885350480048771,vortex,1,1.0,E0042611
N0030619,junction,sub main,386.4369201660156,374.5816633698957,11.855256796119932,9.87336519642946,vortex,1,1.0,E0030946
N0038449,junction,main,391.7628173828125,380.2887944359273,11.474022946885214,9.869936744908557,vortex,1,1.0,E0038365
N0020046,junction,sub main,351.7117004394531,339.6460752540167,12.065625185436431,9.854263304079552,vortex,1,1.0,E0019980
N0048392,junction,main,497.88006591796875,485.43771599911014,12.44234991885861,9.847301415106529,vortex,1,1.0,E0048289
N0033809,junction,sub main,339.4933776855469,327.1503166071612,12.343061078385688,9.83856678767836,vortex,1,1.0,E0034004
N0002390,junction,sub main,338.34161376953125,326.09118703147783,12.25042673805342,9.82521303185024,vortex,1,1.0,E0003394
N0038284,junction,trunk main,422.9918212890625,411.20943852305817,11.782382766004332,9.823738511886688,vortex,1,1.0,E0038297
N0026133,junction,main,373.9519348144531,361.90655432076875,12.045380493684377,9.821835425792415,vortex,1,1.0,E0026363
N0048339,junction,main,490.8731384277344,479.3093800588147,11.56375836891965,9.78253600400052,vortex,1,1.0,E0048244
N0031081,junction,sub main,337.0923156738281,325.1460422485452,11.946273425282925,9.779484210861767,vortex,1,1.0,E0031422
N0037944,junction,main,410.8554992675781,398.6534442470861,12.202055020492026,9.769101408746678,vortex,1,1.0,E0037943
N0023371,junction,trunk main,387.5810852050781,376.27875884697244,11.302326358105688,9.748134366839508,vortex,1,1.0,E0023614
N0039938,junction,trunk main,424.6992492675781,413.4193847681051,11.279864499473035,9.716489408404584,vortex,1,1.0,E0039879
N0039351,junction,trunk main,423.8496398925781,412.5163156217015,11.33332427087663,9.70450853311553,vortex,1,1.0,E0039212
N0024371,junction,main,344.7724304199219,333.37586506510786,11.396565354814015,9.6574324343826,vortex,1,1.0,E0024691
N0018589,junction,sub main,361.8473815917969,349.79996175477504,12.047419837021835,9.645792798334867,vortex,1,1.0,E0018510
N0039460,junction,trunk main,424.0156555175781,412.66648816916944,11.349167348408685,9.616651667473377,vortex,1,1.0,E0039316
N0003764,junction,sub main,429.78955078125,418.1948429783278,11.594707802922187,9.591743290569696,vortex,1,1.0,E0004170
N0010693,junction,trunk main,410.3736877441406,398.64080742006587,11.732880324074756,9.581882849898932,vortex,1,1.0,E0010942
N0036090,junction,sub main,406.7543029785156,395.51931285552837,11.234990122987256,9.563690628338748,vortex,1,1.0,E0036227
N0040744,junction,trunk main,425.125244140625,413.94538746219376,11.179856678431236,9.531236757789259,vortex,1,1.0,E0040613
N0027097,junction,sub main,391.42236328125,378.80436135734897,12.618001923901033,9.528946374634415,vortex,1,1.0,E0027487
N0033255,junction,sub main,338.2982482910156,326.40917844044884,11.889069850566784,9.528720023256426,vortex,1,1.0,E0033567
N0026008,junction,sub main,390.6850891113281,378.45487473172676,12.230214379601364,9.526949869610064,vortex,1,1.0,E0026255
N0030606,junction,main,386.6048278808594,375.14481232389284,11.460015556966539,9.526815624058145,vortex,1,1.0,E0030944
N0037516,junction,trunk main,423.3626708984375,410.74501017654353,12.61766072189397,9.52173805531271,vortex,1,1.0,E0037551
N0023829,junction,main,377.37994384765625,365.8403358420118,11.539608005644425,9.511554364747724,vortex,1,1.0,E0024091
N0017349,junction,trunk main,361.2073059082031,350.1654536440494,11.041852264153704,9.486460719738943,vortex,1,1.0,E0017199
N0035028,junction,main,368.0456848144531,356.83899746201246,11.206687352440667,9.46044039483479,vortex,1,1.0,E0035188
N0047162,junction,main,454.905029296875,441.85671308711864,13.048316209756365,9.458467555283278,vortex,1,1.0,E0047052
N0007481,junction,sub main,318.8477783203125,307.837625861354,11.010152458958487,9.457873885903837,vortex,1,1.0,E0008109
N0028790,junction,sub main,344.7041931152344,333.68885323799583,11.015339877238546,9.45702330625852,vortex,1,1.0,E0029146
N0030078,junction,main,386.41339111328125,374.73561658455225,11.677774528729003,9.451508671312581,vortex,1,1.0,E0030358
N0038043,junction,trunk main,422.54840087890625,411.16053610432255,11.387864774583704,9.447966050796026,vortex,1,1.0,E0038038
N0008314,junction,sub main,324.4402160644531,312.87753279698126,11.562683267471868,9.440745445796836,vortex,1,1.0,E0008522
N0011091,junction,sub main,436.73681640625,425.51249943903997,11.22431696721003,9.419657989617065,vortex,1,1.0,E0011306
N0039755,junction,sub main,403.2528991699219,392.21693096533227,11.035968204589608,9.38610869885764,vortex,1,1.0,E0039640
N0005845,junction,main,433.47515869140625,420.61224550031903,12.862913191087216,9.362033008700962,vortex,1,1.0,E0006034
N0000149,junction,sub main,428.7542419433594,417.8454700039335,10.90877193942589,9.3521508685497,vortex,1,1.0,E0002224
N0037996,junction,sub main,355.8648376464844,344.0627266595761,11.802110986908303,9.341992304212965,vortex,1,1.0,E0037990
N0033539,junction,sub main,395.2307434082031,383.52214514214586,11.708598266057265,9.324281904665156,vortex,1,1.0,E0033765
N0025489,junction,trunk main,385.53948974609375,374.50596689035666,11.03352285573709,9.30243597601185,vortex,1,1.0,E0025758
N0002379,junction,trunk main,339.5580749511719,328.58753767951987,10.970537271652006,9.284462715287418,vortex,1,1.0,E0003345
N0011552,junction,sub main,436.69488525390625,425.56066581735513,11.13421943655112,9.275947596022604,vortex,1,1.0,E0011761
N0022931,junction,trunk main,387.260009765625,376.13855295324646,11.12145681237854,9.273342180974737,vortex,1,1.0,E0023123
N0029621,junction,main,397.77490234375,386.92653880941134,10.84836353433866,9.264819156176657,vortex,1,1.0,E0029971
N0020436,junction,trunk main,380.83660888671875,369.57533107853186,11.26127780818689,9.254724806155934,vortex,1,1.0,E0020413
N0046876,junction,main,451.96588134765625,441.1378917383947,10.827989609261522,9.249837568035218,vortex,1,1.0,E0046776
N0028319,junction,main,390.280517578125,379.4218748542731,10.858642723851915,9.248677930245094,vortex,1,1.0,E0028615
N0028316,junction,sub main,392.04638671875,380.4960262607332,11.550360458016826,9.24366357990914,vortex,1,1.0,E0028596
N0019177,junction,sub main,354.84637451171875,343.94627820717676,10.90009630454199,9.23032810933006,vortex,1,1.0,E0019129
N0010132,junction,sub main,341.4802551269531,330.6995314681325,10.780723658820648,9.224461055205552,vortex,1,1.0,E0010460
N0009423,junction,main,325.15618896484375,313.99370533348093,11.162483631362818,9.210050988187561,vortex,1,1.0,E0009605
N0040409,junction,trunk main,424.46710205078125,413.6840222853239,10.78307976545733,9.209334135384893,vortex,1,1.0,E0040327
N0044954,junction,trunk main,450.7192077636719,439.73150874535565,10.98769901831622,9.200935618745461,vortex,1,1.0,E0045016
N0023407,junction,sub main,380.1600341796875,369.07153693124974,11.088497248437761,9.194402809376072,vortex,1,1.0,E0023657
N0047073,junction,main,463.051025390625,451.59466435391437,11.456361036710632,9.175985307567316,vortex,1,1.0,E0046995
N0036852,junction,sub main,412.5857238769531,401.81373608559926,10.771987791353865,9.171173289303567,vortex,1,1.0,E0036964
N0021654,junction,trunk main,382.31427001953125,370.6176662759446,11.69660374358665,9.166270493048216,vortex,1,1.0,E0021698
N0023852,junction,main,344.63543701171875,333.0870978943567,11.548339117362048,9.164739463917613,vortex,1,1.0,E0024125
