NODE_UID,X,Y,GRD_M,ARRIVE_INV_M,ARRIVE_DEPTH_M,LIFT_M,Q_PK_LS,WHY,BREACH_LEN_M,WORST_COVER_M,RECOVERS_IN_M,OUTFALL_IN_M,WAITS_ON
N0040403,450304.2306077769,2565943.137031534,344.874,332.651,12.22,10.67,5.36,cap,34265.9,93.22,,34265.9,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0048175,473256.9594068099,2572450.1502740793,487.455,475.278,12.18,10.63,1.71,cap,4393.1,22.75,4393.1,,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0035749,453462.29782364983,2576252.1190092918,397.717,385.517,12.2,10.65,7.37,cap,20340.7,76.42,,20340.7,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0021361,451847.38539870456,2573150.220705267,380.377,368.47,11.91,10.36,1.65,cap,16649.7,76.42,,16649.7,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0019671,448499.2838651709,2569021.692254513,354.188,342.205,11.98,10.43,4.79,cap,14261.8,76.42,,14261.8,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0010273,445014.1994349484,2564335.1941801286,334.808,323.539,11.27,9.72,10.36,cap,5089.6,63.81,,5089.6,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0024840,450267.35638806043,2574899.8807030735,396.598,387.787,8.81,7.26,0.0,cap,1403.2,38.28,1403.2,,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0037703,462113.66595109843,2568226.079344934,391.838,379.734,12.1,10.55,3.2,cap,26585.9,93.22,,26585.9,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0014189,463752.95780692715,2567506.7304884885,392.552,380.381,12.17,10.62,1.03,cap,8147.0,56.45,,8147.0,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0027634,446506.4813476847,2568658.03107844,344.428,332.236,12.19,10.64,9.62,cap,17156.0,76.42,,17156.0,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0043817,463232.9865860017,2577425.572501583,430.965,418.747,12.22,10.67,3.38,cap,13067.4,37.52,13067.4,,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0043713,461740.8687940994,2577626.692686677,424.869,412.662,12.21,10.66,3.75,cap,12760.2,35.24,12760.2,,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0014790,443997.675313245,2559545.0012770044,318.988,308.182,10.81,9.26,1.38,cap,7821.4,63.81,,7821.4,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0037658,463160.50736483,2570504.929678003,401.378,389.404,11.97,10.42,0.04,cap,26695.2,93.22,,26695.2,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0009840,446617.4610490909,2560976.143663181,326.035,313.834,12.2,10.65,0.8,cap,5351.4,63.81,,5351.4,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0013785,467624.0247314982,2567283.11558491,411.889,399.798,12.09,10.54,0.02,cap,6672.1,56.45,,6672.1,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0041470,459021.0789479716,2576465.9684238117,415.505,403.659,11.85,10.3,0.45,cap,8416.9,32.91,8416.9,,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0004352,455696.9028502934,2574673.413739482,402.483,391.857,10.63,9.08,2.39,cap,1824.7,41.6,1824.7,,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0015656,443103.6923274278,2558886.129335732,312.711,300.874,11.84,10.29,0.16,cap,8783.2,63.81,,8783.2,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0010363,445364.22647678386,2566058.535622614,335.012,323.043,11.97,10.42,6.03,cap,2837.4,25.82,,2837.4,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0012443,442250.59827813995,2565203.3947784617,324.849,312.817,12.03,10.48,4.39,cap,9264.2,63.81,,9264.2,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0002453,469562.9182003727,2565346.3839046434,417.762,405.802,11.96,10.41,1.73,cap,1875.1,14.95,,1875.1,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0030575,462375.678679538,2567192.8143003117,388.352,376.389,11.96,10.41,0.69,cap,24030.4,93.22,,24030.4,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0007634,436481.65271102637,2571139.101490045,314.031,301.786,12.25,10.7,0.02,cap,8142.2,95.05,,8142.2,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0010995,434306.82912220986,2575744.797755705,317.772,306.034,11.74,10.19,0.46,cap,11746.5,95.05,,11746.5,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0007932,438388.2852192379,2568300.712747954,321.241,309.4,11.84,10.29,0.01,cap,6330.7,95.05,,6330.7,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0029482,454773.35879943444,2574113.938960868,390.819,378.835,11.98,10.43,2.24,cap,19374.1,76.42,,19374.1,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0007286,458470.1966961138,2578585.287878195,421.615,409.673,11.94,10.39,5.33,cap,841.8,13.7,841.8,,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0042770,462456.2566058904,2578552.387290626,427.317,415.849,11.47,9.92,3.89,cap,9861.5,33.19,9861.5,,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
N0048536,473213.2608937951,2572159.650773626,496.911,484.695,12.22,10.67,0.18,cap,4588.5,25.2,4588.5,,"a manufacturer's rating for this cover, and NWS's station establishment cost (philosophy sec 5)"
