PACKAGE,OUTLET,DS_PKG,COMM_SEQ,INDEP,DANGLING,LEN_KM,N_NODE,KIND,N_PLOT,N_PROP,Q_ULT_M3D,Q_DEV_M3D,PHASE,ONE_TREE,N_OUTLET,SEAM_PCT,BAND_LEN,BAND_PLOT,BAND_SEAM
P01,N0000059,,1,1,0,22.448,497,outfall,990,1753.1,1325.2,947.7,1,1,1,8.06,in,in,in
P02,N0000145,,1,1,0,19.069,366,outfall,46,48.3,35.8,32.6,1,1,1,5.75,in,OUT,in
P03,N0000161,,1,1,0,18.921,522,outfall,770,1552.6,1131.8,453.9,1,1,1,1.92,in,in,in
P04,N0000045,,1,1,0,13.022,294,outfall,140,360.3,399.4,250.0,1,1,1,34.47,in,OUT,OUT
P05,N0000035,,1,1,0,12.207,369,outfall,111,169.1,128.7,96.3,1,1,1,16.85,in,OUT,OUT
P06,N0000033,,1,1,0,10.481,245,outfall,120,237.7,169.4,72.4,1,1,1,6.15,in,OUT,in
P07,N0000148,,1,1,0,7.079,328,outfall,166,248.2,210.2,14.0,1,1,1,3.06,in,OUT,in
P08,N0000458,,1,1,0,6.737,158,outfall,29,29.0,21.5,21.5,1,1,1,1.27,in,OUT,in
P09,N0000735,,1,1,0,6.089,201,outfall,0,0.0,0.0,,0,1,1,3.0,in,OUT,in
P10,N0001275,,1,1,0,5.538,148,outfall,1,1.5,1.1,0.0,0,1,1,1.36,in,OUT,in
P11,N0000365,,1,1,0,5.094,219,outfall,134,201.8,151.7,10.2,1,1,1,4.13,in,OUT,in
P12,N0000771,,1,1,0,5.048,164,outfall,21,24.3,18.0,16.9,1,1,1,10.43,in,OUT,in
P13,N0000361,,1,1,0,2.88,122,outfall,2,2.5,1.8,0.7,1,1,1,0.0,OUT,OUT,in
P14,N0000988,,1,1,0,2.873,90,outfall,74,108.4,80.4,5.9,1,1,1,0.0,OUT,OUT,in
P15,N0001044,,1,1,0,2.792,54,outfall,123,190.2,145.2,45.5,1,1,1,0.0,OUT,OUT,in
P16,N0000995,,1,1,0,2.69,94,outfall,9,12.4,9.2,8.1,1,1,1,4.3,OUT,OUT,in
P17,N0001468,,1,1,0,2.621,61,outfall,0,0.0,0.0,,0,1,1,1.67,OUT,OUT,in
P18,N0000380,,1,1,0,2.574,86,outfall,14,26.4,22.0,0.0,0,1,1,0.0,OUT,OUT,in
P19,N0000110,,1,1,0,2.568,65,outfall,0,0.0,0.0,,0,1,1,4.69,OUT,OUT,in
P20,N0000805,,1,1,0,2.482,108,outfall,13,20.8,14.6,14.6,1,1,1,1.87,OUT,OUT,in
P21,N0000334,,1,1,0,2.439,69,outfall,0,0.0,0.0,,0,1,1,8.82,OUT,OUT,in
P22,N0000265,,1,1,0,2.433,102,outfall,38,54.9,44.7,5.1,1,1,1,3.96,OUT,OUT,in
P23,N0000117,,1,1,0,2.425,61,outfall,99,145.9,112.2,43.4,1,1,1,3.33,OUT,OUT,in
P24,N0000646,,1,1,0,2.218,76,outfall,24,34.9,25.9,1.1,1,1,1,0.0,OUT,OUT,in
P25,N0000902,,1,1,0,2.124,51,outfall,1,2.0,1.5,1.5,1,1,1,2.0,OUT,OUT,in
P26,N0000463,,1,1,0,2.099,110,outfall,0,0.0,0.0,,0,1,1,3.67,OUT,OUT,in
P27,N0001035,,1,1,0,1.972,62,outfall,0,0.0,0.0,,0,1,1,0.0,OUT,OUT,in
P28,N0002047,,1,1,0,1.96,88,outfall,0,0.0,0.0,,0,1,1,2.3,OUT,OUT,in
P29,N0000397,,1,1,0,1.927,76,outfall,14,24.1,19.7,15.3,1,1,1,9.33,OUT,OUT,in
P30,N0001882,,1,1,0,1.902,59,outfall,1,1.5,1.1,0.0,0,1,1,10.34,OUT,OUT,in
P31,N0000359,,1,1,0,1.775,38,outfall,35,80.1,108.4,107.3,1,1,1,18.92,OUT,OUT,OUT
P32,N0001100,,1,1,0,1.734,40,outfall,0,0.0,0.0,,0,1,1,0.0,OUT,OUT,in
