Package,Phase,Length (km),Plots,Outlet chamber,Discharges into,Commissioning order,Independent,"One tree, one outlet"
P01,1,22.448,990,N0000059,,1,1,1
P02,1,19.069,46,N0000145,,1,1,1
P03,1,18.921,770,N0000161,,1,1,1
P04,1,13.022,140,N0000045,,1,1,1
P05,1,12.207,111,N0000035,,1,1,1
P06,1,10.481,120,N0000033,,1,1,1
P07,1,7.079,166,N0000148,,1,1,1
P08,1,6.737,29,N0000458,,1,1,1
P09,0,6.089,0,N0000735,,1,1,1
P10,0,5.538,1,N0001275,,1,1,1
P11,1,5.094,134,N0000365,,1,1,1
P12,1,5.048,21,N0000771,,1,1,1
P13,1,2.88,2,N0000361,,1,1,1
P14,1,2.873,74,N0000988,,1,1,1
P15,1,2.792,123,N0001044,,1,1,1
P16,1,2.69,9,N0000995,,1,1,1
P17,0,2.621,0,N0001468,,1,1,1
P18,0,2.574,14,N0000380,,1,1,1
P19,0,2.568,0,N0000110,,1,1,1
P20,1,2.482,13,N0000805,,1,1,1
P21,0,2.439,0,N0000334,,1,1,1
P22,1,2.433,38,N0000265,,1,1,1
P23,1,2.425,99,N0000117,,1,1,1
P24,1,2.218,24,N0000646,,1,1,1
P25,1,2.124,1,N0000902,,1,1,1
P26,0,2.099,0,N0000463,,1,1,1
P27,0,1.972,0,N0001035,,1,1,1
P28,0,1.96,0,N0002047,,1,1,1
P29,1,1.927,14,N0000397,,1,1,1
P30,0,1.902,1,N0001882,,1,1,1
P31,1,1.775,35,N0000359,,1,1,1
P32,0,1.734,0,N0001100,,1,1,1
P33,1,1.702,76,N0001380,,1,1,1
P34,0,1.656,1,N0001999,,1,1,1
P35,1,1.492,1,N0000940,,1,1,1
P36,1,1.427,63,N0000125,,1,1,1
P37,0,1.423,0,N0001177,,1,1,1
P38,1,1.371,50,N0001006,,1,1,1
P39,1,1.351,11,N0000218,,1,1,1
P40,1,1.344,33,N0000166,,1,1,1
P41,1,1.343,78,N0000411,,1,1,1
P42,0,1.28,0,N0001111,,1,1,1
P43,1,1.271,6,N0000262,,1,1,1
P44,1,1.219,30,N0000613,,1,1,1
P45,1,1.201,2,N0000721,,1,1,1
P46,1,1.197,15,N0000579,,1,1,1
P47,1,1.194,2,N0000817,,1,1,1
P48,0,1.172,0,N0001496,,1,1,1
P49,1,1.148,20,N0000205,,1,1,1
P50,0,1.138,0,N0002139,,1,1,1
P51,1,1.113,3,N0002288,,1,1,1
P52,0,1.047,0,N0001797,,1,1,1
P53,1,0.928,2,N0000666,,1,1,1
P54,0,0.882,1,N0001677,,1,1,1
P55,0,0.879,0,N0000680,,1,1,1
P56,1,0.862,4,N0000839,,1,1,1
P57,0,0.815,1,N0001784,,1,1,1
P58,1,0.812,4,N0000601,,1,1,1
P59,1,0.809,2,N0000127,,1,1,1
P60,1,0.803,29,N0000854,,1,1,1
P61,1,0.767,40,N0000732,,1,1,1
P62,1,0.75,23,N0001636,,1,1,1
P63,1,0.673,7,N0001295,,1,1,1
P64,1,0.667,35,N0001591,,1,1,1
P65,0,0.663,2,N0000821,,1,1,1
P66,0,0.65,0,N0001582,,1,1,1
P67,0,0.646,0,N0000814,,1,1,1
P68,1,0.64,13,N0001277,,1,1,1
P69,0,0.631,0,N0002187,,1,1,1
P70,0,0.615,0,N0001738,,1,1,1
P71,1,0.609,9,N0001142,,1,1,1
P72,1,0.603,1,N0001690,,1,1,1
P73,1,0.592,15,N0000369,,1,1,1
P74,1,0.57,3,N0001850,,1,1,1
P75,0,0.558,0,N0001828,,1,1,1
P76,1,0.509,28,N0000860,,1,1,1
P77,0,0.502,0,N0001604,,1,1,1
P78,1,0.49,21,N0001340,,1,1,1
P79,0,0.483,0,N0001364,,1,1,1
P80,1,0.476,6,N0001752,,1,1,1
P81,1,0.452,2,N0000452,,1,1,1
P82,1,0.448,1,N0001901,,1,1,1
P83,1,0.446,39,N0000065,,1,1,1
P84,1,0.442,24,N0000588,,1,1,1
P85,1,0.436,1,N0001540,,1,1,1
P86,1,0.431,16,N0000992,,1,1,1
P87,1,0.422,1,N0000866,,1,1,1
P88,0,0.41,1,N0001711,,1,1,1
