OUTFALL,SUBNET,X,Y,GRD_M,Q_ADF_M3D,N_PROP,KM,PCT_LOAD,PF,PF_METH,QINF_LS,Q_PK_LS,M_PER_PROP
N005087,S001,451730.8,2572623.8,378.67,10024.9,13441.0,241.53,13.42,2.005,merrimack,2.0127,234.65,18.0
N003536,S002,449912.1,2568732.7,356.27,9111.8,12247.0,189.26,12.198,2.028,merrimack,1.5772,215.45,15.5
N003279,S003,449147.8,2567800.2,352.37,6019.6,7725.0,120.85,8.058,2.133,merrimack,1.0071,149.62,15.6
N007564,S006,459201.4,2568020.7,382.8,5790.0,7535.0,105.32,7.751,2.143,merrimack,0.8777,144.49,14.0
N002822,S005,448426.4,2567652.6,349.69,3398.6,4564.0,88.59,4.55,2.285,merrimack,0.7383,90.62,19.4
N005516,S010,453065.6,2566674.5,357.39,3197.5,4329.0,58.39,4.28,2.302,merrimack,0.4866,85.68,13.5
N001688,S007,446780.4,2565204.7,341.36,2926.6,3874.0,67.96,3.918,2.327,merrimack,0.5663,79.39,17.5
N007761,S013,459838.0,2567762.9,383.15,2895.2,3731.0,50.56,3.876,2.33,merrimack,0.4213,78.5,13.6
N001463,S011,446428.6,2564506.5,335.34,1987.9,2616.0,46.75,2.661,2.439,merrimack,0.3896,56.51,17.9
N000173,S009,442064.7,2569072.4,334.13,1890.4,2422.0,43.5,2.531,2.453,merrimack,0.3625,54.03,18.0
N001038,S004,445664.5,2563174.8,327.82,1868.8,2552.0,108.63,2.502,2.457,merrimack,0.9052,54.05,42.6
N001856,S016,447026.0,2565695.2,342.26,1831.7,2409.0,34.11,2.452,2.463,merrimack,0.2843,52.5,14.2
N007524,S014,459106.9,2568058.9,381.8,1769.3,2328.0,48.12,2.369,2.473,merrimack,0.401,51.04,20.7
N004648,S015,451015.7,2567194.2,352.94,1532.2,1920.0,33.74,2.051,2.517,merrimack,0.2812,44.92,17.6
N008125,S012,460845.1,2578417.2,425.64,1423.7,1812.0,47.6,1.906,2.539,merrimack,0.3967,42.23,26.3
N006167,S019,454173.9,2575321.8,396.94,1311.7,1755.0,28.76,1.756,2.564,merrimack,0.2397,39.17,16.4
N008025,S017,460638.5,2578385.6,425.27,1249.3,1712.0,28.67,1.672,2.58,merrimack,0.2389,37.54,16.7
N002173,S021,447505.1,2566505.5,345.05,1043.6,1386.0,19.06,1.397,2.636,merrimack,0.1589,32.0,13.8
N005842,S022,453637.1,2574113.0,388.5,751.4,989.0,20.73,1.006,2.743,merrimack,0.1728,24.03,21.0
N006617,S029,455118.7,2567616.2,365.08,666.1,899.0,15.2,0.892,2.784,merrimack,0.1267,21.59,16.9
