SUBNET,N_ARCS,KM,Q_LOC_M3D,N_PROP,TOP_M3D,TOP_PCT,PCT_PLACED,QPK_LS
S001,1694,241.53,10024.9,13441.0,10024.9,100.0,13.42,234.65
S002,1855,189.26,9111.8,12247.0,7887.6,86.56,12.198,189.77
S003,893,120.85,6019.6,7725.0,5944.8,98.76,8.058,147.95
S006,763,105.32,5790.0,7535.0,5790.0,100.0,7.751,144.47
S005,652,88.59,3398.6,4564.0,3396.4,99.94,4.55,90.58
S010,364,58.39,3197.5,4329.0,3061.8,95.75,4.28,82.46
S007,479,67.96,2926.6,3874.0,2926.6,100.0,3.918,79.39
S013,372,50.56,2895.2,3731.0,2837.0,97.99,3.876,77.07
S011,350,46.75,1987.9,2616.0,1982.4,99.72,2.661,56.36
S009,141,43.5,1890.4,2422.0,1332.2,70.47,2.531,39.6
S004,571,108.63,1868.8,2552.0,1861.0,99.58,2.502,53.85
S016,264,34.11,1831.7,2409.0,1831.7,100.0,2.452,52.5
S014,260,48.12,1769.3,2328.0,1769.3,100.0,2.369,51.05
S015,487,33.74,1532.2,1920.0,1467.7,95.79,2.051,43.23
S012,236,47.6,1423.7,1812.0,1407.1,98.83,1.906,41.8
S019,165,28.76,1311.7,1755.0,1265.5,96.48,1.756,37.96
S017,213,28.67,1249.3,1712.0,1241.6,99.38,1.672,37.34
S021,175,19.06,1043.6,1386.0,941.2,90.18,1.397,29.23
S022,154,20.73,751.4,989.0,685.4,91.21,1.006,22.17
S029,100,15.2,666.1,899.0,666.1,100.0,0.892,21.58
S024,163,15.84,649.9,863.0,643.0,98.94,0.87,20.93
S018,126,25.17,637.0,832.0,611.4,95.98,0.853,20.11
S031,107,11.14,598.5,796.0,562.2,93.95,0.801,18.57
S028,85,12.23,595.6,788.0,589.5,98.97,0.797,19.37
S026,119,13.03,535.8,705.0,534.7,99.8,0.717,17.8
S023,67,14.21,521.8,692.0,352.1,67.48,0.698,12.34
S030,94,11.39,510.8,698.0,510.8,100.0,0.684,17.08
S008,164,45.09,402.4,538.0,207.9,51.65,0.539,7.8
S027,70,12.16,396.1,524.0,393.9,99.45,0.53,13.62
S037,45,6.76,371.2,525.0,280.8,75.64,0.497,10.08
S040,48,4.79,312.7,363.0,312.7,100.0,0.419,11.08
S033,64,7.08,304.5,412.0,304.5,100.0,0.408,10.84
S036,45,5.97,276.1,378.0,276.1,100.0,0.37,9.94
S039,67,6.16,275.8,363.0,203.5,73.79,0.369,7.61
S020,34,16.89,248.3,328.0,214.3,86.3,0.332,8.03
S043,35,4.68,220.9,284.0,211.2,95.6,0.296,7.85
S044,34,3.93,219.4,283.0,219.4,100.0,0.294,8.12
S038,51,4.52,212.2,254.0,215.8,101.72,0.284,8.01
S046,38,3.75,172.3,237.0,171.2,99.37,0.231,6.53
S032,29,7.08,169.3,221.0,151.2,89.3,0.227,5.88
S035,14,6.51,161.4,218.0,121.7,75.38,0.216,4.84
S041,45,4.12,159.6,210.0,158.9,99.54,0.214,6.12
S034,25,7.65,146.0,196.0,111.4,76.28,0.195,4.49
S061,19,2.63,136.4,176.0,111.3,81.59,0.183,4.47
S060,18,2.28,130.3,176.0,127.1,97.51,0.174,5.02
S057,29,2.57,124.6,177.0,124.6,100.0,0.167,4.94
S064,10,2.67,123.4,139.0,104.6,84.75,0.165,4.23
S085,13,1.92,116.2,155.0,102.4,88.2,0.155,4.15
S052,12,3.24,112.7,147.0,112.7,100.0,0.151,4.53
S045,25,3.18,110.4,146.0,110.4,100.0,0.148,4.45
S065,17,2.19,109.6,148.0,109.6,100.0,0.147,4.41
S048,19,2.87,108.9,142.0,78.1,71.72,0.146,3.28
S049,16,3.54,107.5,136.0,107.5,100.0,0.144,4.35
S066,20,2.28,105.6,144.0,105.6,100.0,0.141,4.27
S059,8,1.39,104.5,128.0,94.1,89.99,0.14,3.85
S079,14,1.39,102.3,120.0,102.3,100.0,0.137,4.15
S063,14,1.81,98.8,124.0,60.2,60.96,0.132,2.53
S076,9,2.82,91.0,124.0,52.1,57.21,0.122,2.2
S084,5,1.12,90.2,114.0,65.6,72.79,0.121,2.76
S051,18,3.18,87.7,116.0,84.4,96.31,0.117,3.51
S073,10,1.27,87.6,125.0,87.6,100.0,0.117,3.62
S025,30,10.89,80.2,104.0,62.9,78.48,0.107,2.72
S075,10,1.46,77.4,101.0,73.2,94.56,0.104,3.07
S074,13,1.76,76.5,93.0,76.5,100.0,0.102,3.22
S056,10,2.45,76.2,88.0,74.0,97.16,0.102,3.12
S053,17,2.08,75.5,96.0,59.1,78.3,0.101,2.49
S083,9,1.17,73.5,99.0,47.0,64.04,0.098,1.98
S123,2,1.11,73.4,99.0,46.2,62.86,0.098,1.94
S070,10,1.86,72.8,96.0,69.6,95.55,0.098,2.93
S134,2,0.72,72.6,113.0,72.6,100.0,0.097,3.06
S095,8,1.37,71.3,96.0,58.3,81.82,0.095,2.45
S042,16,3.51,69.9,94.0,48.6,69.5,0.094,2.05
S068,12,2.13,67.3,77.0,60.1,89.27,0.09,2.53
S117,11,1.38,67.2,96.0,67.2,100.0,0.09,2.83
S082,6,0.75,65.2,70.0,64.1,98.34,0.087,2.69
S078,8,1.43,64.4,88.0,64.4,100.0,0.086,2.71
S067,15,1.5,62.7,85.0,62.7,100.0,0.084,2.64
S055,15,2.05,61.8,80.0,54.1,87.59,0.083,2.28
S105,12,1.09,61.6,88.0,61.6,100.0,0.082,2.59
S077,15,1.3,61.0,74.0,53.9,88.35,0.082,2.27
S080,6,1.08,55.9,75.0,55.9,100.0,0.075,2.35
S104,19,0.96,53.9,76.0,53.9,100.0,0.072,2.27
S081,14,1.78,52.2,70.0,52.2,100.0,0.07,2.2
S094,8,0.72,50.0,71.0,41.8,83.53,0.067,1.76
S098,6,0.65,49.4,68.0,36.2,73.34,0.066,1.52
S054,4,1.66,49.1,49.0,49.1,100.0,0.066,2.07
S107,4,2.51,46.9,42.0,35.1,74.69,0.063,1.49
S113,4,0.8,44.4,57.0,40.0,90.26,0.059,1.68
S100,6,0.83,42.1,57.0,42.1,100.0,0.056,1.77
S130,5,1.69,40.8,46.0,34.5,84.67,0.055,1.46
S112,9,0.42,39.8,56.0,39.8,100.0,0.053,1.67
S125,5,0.74,39.1,51.0,35.9,91.72,0.052,1.51
S050,11,2.3,38.0,46.0,37.3,98.05,0.051,1.58
S058,8,1.31,36.9,50.0,36.9,100.0,0.049,1.56
S115,3,1.19,36.2,54.0,14.9,41.16,0.048,0.63
S150,3,0.32,35.3,52.0,25.6,72.45,0.047,1.07
S106,6,0.61,34.7,31.0,33.6,96.89,0.046,1.41
S062,3,1.22,33.9,42.0,33.9,100.0,0.045,1.43
S089,5,0.72,33.2,39.0,32.1,96.74,0.044,1.35
S072,8,1.36,33.2,53.0,33.2,100.0,0.044,1.4
S110,3,1.29,33.2,45.0,22.6,68.09,0.044,0.96
