NODE_UID,X,Y,GRD_M,INV_M,DEPTH_M,KIND,Q_ADF_M3D,Q_PK_LS,N_PROP
N0005088,451730.776647,2572623.842903,378.8203125,360.13479949678054,18.685513003219455,outfall,9600.14657958669,225.6754325197313,12920.480000000012
N0003537,449912.099762,2568732.67321,356.2712097167969,346.8500570697816,9.421152647015276,outfall,8641.81836473988,205.4980271720066,11600.744000000002
N0003280,449147.757904,2567800.171735,352.36883544921875,336.19948076164087,16.16935468757788,outfall,5763.1983110648025,143.89820690369544,7473.05600000001
N0007565,459201.382305,2568020.652793,383.0122985839844,370.01471021489067,12.997588369093705,outfall,5477.599924098785,137.523635541654,7146.455999999999
N0033751,447833.60509413754,2567924.1814276534,347.35260009765625,332.1954724723597,15.157127625296539,station,4311.450574442603,111.49692006599668,5431.836000000007
N0005517,453065.561324,2566674.508536,357.1649475097656,345.86654979859355,11.298397711172072,outfall,3162.98484816427,84.8380517111843,4298.118000000005
N0029310,453479.6215719457,2571852.7979407767,377.470458984375,364.46902063637424,13.001438348000761,station,3114.1866944576595,83.72386614482662,4359.776
N0002823,448426.382551,2567652.575451,349.6907958984375,342.35774933223416,7.333046566203336,outfall,3098.3400890005582,83.48184218889199,4179.732000000002
N0033746,446225.10131206,2567913.4691682183,341.0299072265625,328.5464371076562,12.483470118906325,station,3082.5110808641343,83.00109965806567,3805.5059999999994
N0007762,459838.045841,2567762.86944,383.1900329589844,374.16809739796855,9.021935561015823,outfall,2832.1531938482976,76.95119402865154,3646.7699999999995
N0014881,449294.06789606874,2567680.1935928,351.4898376464844,338.9756405121095,12.514197134374854,station,2800.548164419298,76.40887224076461,3755.430000000001
N0001689,446780.354496,2565204.674679,341.2820129394531,325.3036268896878,15.978386049765334,outfall,2670.3537720191225,73.19060449241402,3533.7660000000014
N0026349,444563.300986571,2567809.7796677523,335.1982421875,322.6930263680625,12.505215819437524,station,2496.0963757499917,68.93870804768017,3044.9400000000005
N0016247,459201.3575096487,2570525.827061628,381.9928894042969,371.65335028426574,10.339539120031134,station,2353.987754942998,65.40149422739832,2990.2759999999994
N0033229,449622.4601913403,2566866.8423954635,347.8446044921875,335.4236116388904,12.420992853297093,station,2304.0757522150298,64.39029024057507,3066.9160000000006
N0001464,446428.550647,2564506.4921,335.2960510253906,323.2293012007812,12.066749824609417,outfall,1964.3965629178829,55.870816514621346,2584.6819999999993
N0001857,447026.038287,2565695.2498,342.2713928222656,331.9898724325311,10.28152038973451,outfall,1790.3105888398534,51.4252163833396,2341.0899999999997
N0032402,450469.8019591039,2565269.95600351,341.746337890625,329.97962516542134,11.76671272520366,station,1736.7196461081417,50.17593911710947,2329.6059999999993
N0007525,459106.878243,2568058.917233,381.7992248535156,363.93140475203154,17.867820101484085,outfall,1622.3163556343877,47.28344306415975,2134.8579999999974
N0000174,442064.743045,2569072.417321,334.1665954589844,319.9425271537034,14.22406830528098,outfall,1586.7871990233625,46.30437750063914,2120.408
N0001039,445664.518213,2563174.812056,327.81329345703125,311.57786949271855,16.2354239643127,outfall,1523.4732480475225,44.9593175546808,2086.676
N0004649,451015.735534,2567194.218816,352.9350891113281,348.07960799667205,4.855481114656072,outfall,1517.865986059282,44.493332046217034,1897.0520000000001
N0033069,446362.7295538989,2566647.8620145908,340.6491394042969,322.13097700912505,18.518162395171828,station,1446.956290215213,42.641020323966494,1888.7820000000002
N0006976,456383.820107,2571321.591344,376.267333984375,363.94125233925,12.326081645124987,station,1368.2782722255872,40.621305536196445,1790.6000000000001
N0000784,445032.980687,2564862.85577,332.48944091796875,316.88913365240643,15.600307265562321,station,1355.8357875365846,40.333253339490504,1812.174
N0008126,460845.093667,2578417.186535,425.6763916015625,410.721320795703,14.95507080585952,outfall,1287.831800258357,38.65365987903346,1642.34
N0006168,454173.892294,2575321.786047,396.9489440917969,387.9299801875313,9.018963904265547,outfall,1267.7536969742582,37.98895798541861,1702.137999999999
N0033954,458222.3060738944,2568290.2207668447,380.4299621582031,367.2050062531405,13.224955905062643,station,1209.7074761077765,36.49481101003516,1580.6999999999985
N0008026,460638.540204,2578385.587221,425.2746276855469,421.0217589769844,4.25286870856246,outfall,1201.9202983567495,36.25709133237288,1646.9839999999992
N0002174,447505.14623,2566505.547287,345.0400085449219,329.68741345929664,15.35259508562524,outfall,1058.5228445672255,32.376358661406364,1408.0419999999997
