NODE,BREACH,HOPS_UP,STEPPED_OFF_DROP,COVER_M,BREACH_COVER_M,ON_UPHILL,UPHILL_M,UPHILL_RISE_M,GRD_M,SUBNET
N0046795,N0000390,1,0,6.880888378328109,14.167156548249977,0,0.0,0.0,329.63641357421875,S007
N0062021,N0000421,1,0,6.939404229765614,13.299834134062507,0,0.0,0.0,334.83734130859375,S003
N0046903,N0000938,1,0,11.970636045140736,12.27837429967201,1,49.691499,0.3465576171875,326.9729919433594,S004
N0013720,N0001182,1,0,5.582624194077994,12.202756557359237,0,0.0,0.0,336.7112121582031,S007
N0044272,N0001920,1,0,11.738320222671733,14.336712527406405,0,0.0,0.0,333.7283020019531,S011
N0062109,N0001931,1,0,9.270720277093744,14.810214499749975,0,0.0,0.0,344.5157470703125,S003
N0018451,N0002029,1,0,10.278571108671883,17.28401909500002,0,0.0,0.0,343.5246276855469,S021
N0048495,N0002088,1,0,7.202170833984383,13.188875609375032,0,0.0,0.0,344.1813049316406,S021
N0034424,N0002092,1,0,11.410914910015777,12.273212345093896,1,54.151343,1.666839599609375,373.985107421875,S002
N0046477,N0003273,1,0,11.856577502265623,17.794431853828144,0,0.0,0.0,350.9873046875,S005
N0035132,N0005303,1,0,6.996756551671865,13.062633307531257,1,102.44404999999998,0.724456787109375,384.6108093261719,S001
N0024252,N0005552,1,0,7.196546825406472,13.908452550015852,1,26.563076999999993,0.071136474609375,379.2047424316406,S001
N0041703,N0006114,1,0,10.10824116262512,17.03461331496885,0,0.0,0.0,388.6836853027344,S022
N0045892,N0006539,1,0,11.92374675804723,12.365203487266001,1,113.93320499999999,0.7744140625,386.1344909667969,S022
N0023034,N0007106,1,0,11.436586320125173,12.228564541609558,1,73.35325100000001,1.923309326171875,374.3157653808594,S014
N0024713,N0007204,1,0,11.769263473671515,12.053962032655875,1,28.698745000000002,0.141204833984375,376.25,S006
N0026922,N0007667,1,0,10.309421014687311,12.693686138171708,0,0.0,0.0,382.79718017578125,S006
N0044718,N0008000,1,0,8.382946425906368,13.183749437625124,0,0.0,0.0,430.47100830078125,S017
N0044624,N0009378,1,0,11.887967227639763,12.020700351780363,0,0.0,0.0,415.3059387207031,S008
N0013163,N0013164,1,0,7.662695474609393,13.972503736328122,1,24.728734999999997,0.12762451171875,334.5064392089844,S004
N0013171,N0013172,1,0,8.143306175859323,14.563975919999962,1,50.750856999999996,0.244537353515625,335.0943298339844,S004
N0013216,N0013217,1,0,11.649726834828584,12.171746651625483,1,141.64156100000002,2.5413818359375,331.1013488769531,S004
N0013247,N0013248,1,0,11.739775490688203,12.114708360141321,1,29.52148599999998,0.227325439453125,327.2413330078125,S004
N0013365,N0013366,1,0,11.68023184843696,12.033889751327592,1,59.37087600000001,0.27484130859375,341.34283447265625,S005
N0013976,N0013977,1,0,7.167184095781408,13.890152648515766,0,0.0,0.0,346.4847717285156,S005
N0014162,N0014163,1,0,7.359881299875099,13.84023308112512,0,0.0,0.0,345.38311767578125,S005
N0014266,N0014267,1,0,8.404166637187473,14.530539887187501,0,0.0,0.0,339.63494873046875,S016
N0014285,N0014286,1,0,8.619248690062705,14.71913619201581,0,0.0,0.0,339.7994689941406,S016
N0014354,N0014355,1,0,9.291068006687624,14.810082284031353,0,0.0,0.0,339.3998107910156,S016
N0001026,N0014363,1,0,11.781303217343634,12.547948221718627,1,57.536909,1.038787841796875,337.86932373046875,S016
N0014407,N0014408,1,0,6.481833056734558,12.711044425875173,0,0.0,0.0,341.7091979980469,S016
N0014457,N0014458,1,0,7.512009660187346,13.42838026174985,0,0.0,0.0,344.8121032714844,S021
N0014477,N0014478,1,0,8.242755931640659,15.218562400390681,0,0.0,0.0,343.5641174316406,S021
N0014489,N0014490,1,0,8.642162968359287,14.378008120703043,1,182.160865,0.579742431640625,377.31298828125,S001
N0014686,N0014687,1,0,10.498255061562645,16.77399240531264,0,0.0,0.0,341.06158447265625,S021
N0015005,N0015006,1,0,6.8021654874843875,13.996109339046882,0,0.0,0.0,337.2974548339844,S003
N0015022,N0015023,1,0,9.877161663124696,15.993036629921562,0,0.0,0.0,334.62933349609375,S003
N0015024,N0015025,1,0,8.878275127421773,14.356115535624895,0,0.0,0.0,337.7122497558594,S003
N0015026,N0015027,1,0,7.993637303593688,13.485375284062457,0,0.0,0.0,338.2235412597656,S003
N0015034,N0015035,1,0,9.498237751484055,16.83330389796845,0,0.0,0.0,352.9061584472656,S003
N0015217,N0015218,1,0,9.44797130445312,16.78454943335936,0,0.0,0.0,335.85284423828125,S003
N0015795,N0015796,1,0,9.087241202093708,14.994074961859326,0,0.0,0.0,337.9167785644531,S003
N0016109,N0016110,1,0,11.586618609406287,16.812639404328138,1,86.552814,0.46673583984375,381.9470520019531,S006
N0016241,N0016242,1,0,11.892562570484312,12.004233492999912,1,28.293346999999983,0.055084228515625,382.34326171875,S006
N0016282,N0016283,1,0,9.09303171781255,15.757248985390675,0,0.0,0.0,347.2843017578125,S003
N0016591,N0016592,1,0,9.927801541281383,16.41588747292201,0,0.0,0.0,378.463134765625,S001
N0006308,N0016686,1,0,11.803941629546557,12.046898465015317,1,59.609491,0.221466064453125,379.7723083496094,S001
N0016711,N0016712,1,0,11.626359185750005,19.12760992989064,1,29.666501999999994,0.084625244140625,377.1502685546875,S001
N0005283,N0016770,1,0,10.91651087593749,15.022652260703126,1,171.03300099999998,1.2637939453125,384.07147216796875,S001
N0016782,N0016783,1,0,8.080765922281273,13.82850563126567,0,0.0,0.0,382.9453125,S001
N0016791,N0016792,1,0,10.91600473732808,16.940052629906234,1,46.832765,0.322601318359375,388.0682373046875,S022
N0016853,N0016854,1,0,10.718335680781252,17.45769860656253,0,0.0,0.0,388.587646484375,S022
N0016867,N0016868,1,0,8.70060079089069,14.394688019406317,0,0.0,0.0,384.8512878417969,S001
N0016875,N0016876,1,0,9.274443573109124,15.300128686390394,0,0.0,0.0,385.01446533203125,S001
N0016883,N0016884,1,0,6.215859022875009,12.852012468187525,1,26.005062999999996,0.1348876953125,384.47222900390625,S001
N0007742,N0017357,1,0,9.110954129671768,15.0153495456874,0,0.0,0.0,422.309814453125,S018
N0017376,N0017377,1,0,6.770150024656232,12.306078278562495,0,0.0,0.0,426.1117248535156,S017
N0017405,N0017406,1,0,8.866377531375122,16.12468163684389,1,56.47121799999999,0.420013427734375,429.6958312988281,S017
N0004703,N0017811,1,0,11.081864343453162,16.90767943329689,0,0.0,0.0,347.0836486816406,S005
N0017886,N0017887,1,0,6.082072385499998,13.593913172609405,1,84.90902,0.548248291015625,346.1527404785156,S005
N0017889,N0017890,1,0,7.288052716796869,13.220074910156256,0,0.0,0.0,350.1763916015625,S005
N0018276,N0018277,1,0,7.1334681542969065,12.957140416015648,0,0.0,0.0,328.171142578125,S004
N0018367,N0018368,1,0,5.919240297468605,13.125944279890462,1,57.185125,0.184356689453125,339.7507629394531,S021
N0018399,N0018400,1,0,8.49735417734371,14.336920552343713,0,0.0,0.0,340.8529357910156,S021
N0018424,N0018425,1,0,7.188011912750028,13.988559055328153,0,0.0,0.0,341.92413330078125,S021
N0001651,N0018429,1,0,6.971145841500061,13.741096423531303,0,0.0,0.0,341.9249267578125,S021
N0018482,N0018483,1,0,7.977933558312658,14.430306753625132,0,0.0,0.0,341.6424560546875,S016
N0018575,N0018576,1,0,7.381579780859397,14.092718427343755,0,0.0,0.0,338.90155029296875,S016
N0001465,N0018587,1,0,9.284932133609402,15.807154196109423,1,24.600607,0.3720703125,338.6182556152344,S007
N0018609,N0018610,1,0,9.314574037359364,14.969398232671836,0,0.0,0.0,337.9718322753906,S016
N0018631,N0018632,1,0,7.6903644199218775,14.111826501953146,1,25.268611999999997,0.10430908203125,334.88360595703125,S007
N0018672,N0018673,1,0,11.901490058718764,18.4179915372344,0,0.0,0.0,332.4313659667969,S007
N0018709,N0018710,1,0,10.424885695390458,17.22481137117171,0,0.0,0.0,331.9341735839844,S007
N0018855,N0018856,1,0,11.92361622560918,12.47214189115607,1,80.569369,1.338775634765625,335.34564208984375,S007
N0019000,N0019001,1,0,11.838676348515378,12.578874536952867,1,57.26091699999999,1.32098388671875,334.6452941894531,S016
N0019072,N0019073,1,0,10.907530111250082,16.67520710343757,0,0.0,0.0,328.69378662109375,S007
N0019082,N0019083,1,0,9.731186835015762,15.512033174859539,0,0.0,0.0,328.4384460449219,S007
N0019085,N0019086,1,0,10.681581531875054,16.368547611953204,0,0.0,0.0,330.15362548828125,S007
N0019101,N0019102,1,0,8.14212418750003,15.039637529296897,0,0.0,0.0,352.2050476074219,S003
N0019227,N0019228,1,0,11.760648380531437,12.874754585218954,1,48.80815,1.443023681640625,361.5050354003906,S002
N0019350,N0019351,1,0,7.3963794062499915,13.597647478515626,0,0.0,0.0,347.9584045410156,S003
N0019387,N0019388,1,0,8.452686749999998,15.175503144531262,0,0.0,0.0,341.2599182128906,S003
N0019396,N0019397,1,0,10.248952580937498,15.723432887578099,0,0.0,0.0,340.94415283203125,S003
N0019404,N0019405,1,0,9.669019750515645,16.74368380910937,0,0.0,0.0,340.5478210449219,S003
N0019457,N0019458,1,0,11.84829754379706,18.078515752781414,0,0.0,0.0,334.9661560058594,S003
N0019472,N0019473,1,0,10.762009450499988,17.376100550109356,0,0.0,0.0,335.7138977050781,S003
N0019478,N0019479,1,0,7.5309720366249735,14.643726706546829,1,27.767547000000008,0.170867919921875,335.7790222167969,S003
N0019518,N0019519,1,0,5.595289923546886,12.421401989953154,0,0.0,0.0,333.5287170410156,S003
N0019521,N0019522,1,0,7.744804293171853,14.157557131062504,0,0.0,0.0,337.7103271484375,S003
N0019526,N0019527,1,0,8.612512829875072,14.39197083182819,0,0.0,0.0,335.9687805175781,S003
N0019582,N0019583,1,0,10.025988316015628,16.108648775000006,0,0.0,0.0,343.22845458984375,S003
N0019592,N0019593,1,0,10.327142614531283,16.376109887968767,0,0.0,0.0,342.9505310058594,S003
N0000254,N0019718,1,0,11.937778812203373,12.220061335703358,1,171.98692,1.58294677734375,331.4409484863281,S009
N0019811,N0019812,1,0,11.903031528374811,13.407054180640444,1,106.560411,4.23724365234375,320.255126953125,S004
N0019842,N0019843,1,0,7.62964513867189,14.145112060546865,0,0.0,0.0,326.22393798828125,S004
N0019859,N0019860,1,0,7.261368370499952,14.949932868546853,1,29.683091000000005,0.267791748046875,324.52203369140625,S004
N0019863,N0019864,1,0,7.257081146484381,12.922627619140655,0,0.0,0.0,324.4208068847656,S004
N0019889,N0019890,1,0,10.271036579953034,16.942509074093664,0,0.0,0.0,322.74615478515625,S004
N0019916,N0019917,1,0,6.704615268672001,13.278928571406368,0,0.0,0.0,321.7568054199219,S004
N0019920,N0019921,1,0,6.6308160637499896,12.94556448562497,0,0.0,0.0,322.7896423339844,S004
N0020463,N0020464,1,0,7.572964322781218,14.615236703640562,1,83.858711,0.343902587890625,382.55224609375,S006
N0020473,N0020474,1,0,9.22364840875008,15.956363397031339,1,78.66782200000003,0.619110107421875,382.5486145019531,S006
N0020491,N0020492,1,0,9.712394293593718,16.610668026015617,0,0.0,0.0,381.4102783203125,S006
N0007432,N0020507,1,0,11.93414240606296,12.107023906219183,0,0.0,0.0,379.5393371582031,S006
N0007571,N0020528,1,0,9.779840109390648,16.542613130874997,1,80.314288,0.3521728515625,381.44256591796875,S006
N0020547,N0020548,1,0,9.602972745078148,14.998982256796921,0,0.0,0.0,383.3427429199219,S006
N0020636,N0020637,1,0,9.060893851906599,15.743002574562865,0,0.0,0.0,380.8525695800781,S006
N0005307,N0020800,1,0,9.389363468593842,15.638645804531336,1,24.362852,0.1585693359375,379.3674621582031,S001
N0021108,N0021109,1,0,11.982129333062915,12.20183543782855,1,136.789845,0.538970947265625,419.2750244140625,S018
N0021899,N0021900,1,0,11.95405363781316,12.209836587813186,1,24.203465,0.134765625,403.6483154296875,S001
N0022677,N0022678,1,0,8.748152345218841,15.193148522953209,1,23.396806,0.595794677734375,369.7665710449219,S014
N0022726,N0022727,1,0,9.442367589843798,16.453061998046906,0,0.0,0.0,374.4009704589844,S014
N0022731,N0022732,1,0,9.149483744296958,16.513149109531355,0,0.0,0.0,379.1519775390625,S014
N0023057,N0023058,1,0,8.35339989998431,14.150839384359301,0,0.0,0.0,368.57464599609375,S014
N0024029,N0024030,1,0,11.692573611250282,12.030552372500267,1,53.74619199999995,0.302825927734375,415.274169921875,S018
N0024050,N0024051,1,0,8.925758233984368,15.42734733554687,0,0.0,0.0,422.6119079589844,S018
N0024177,N0024178,1,0,11.702140643781263,12.095007883703147,1,59.893479000000006,0.389404296875,406.4027404785156,S019
N0025379,N0025380,1,0,8.39974555078129,15.641428357421887,0,0.0,0.0,331.86376953125,S004
N0025514,N0025515,1,0,8.012630194999872,15.451132478203021,0,0.0,0.0,322.5669250488281,S009
N0025618,N0025619,1,0,11.933007182967515,12.080347597967489,0,0.0,0.0,316.0788269042969,S009
N0025723,N0025724,1,0,10.014655527093737,12.50766317873439,1,59.05608899999999,2.630584716796875,345.65814208984375,S003
N0025828,N0025829,1,0,8.558506228515625,16.107509283203115,1,29.516813,0.1697998046875,339.4687194824219,S003
N0025835,N0025836,1,0,9.750087058984434,16.886053596093802,1,56.635829,0.364593505859375,341.20355224609375,S003
N0001635,N0025871,1,0,10.124677536671754,17.076784882374852,1,54.809974,0.20458984375,342.2219543457031,S003
N0025885,N0025886,1,0,11.427960939530806,17.141637683671433,1,44.00116200000001,0.292205810546875,341.7149963378906,S003
N0026868,N0026869,1,0,8.66372827015607,15.394983098281045,1,80.73867100000001,0.34814453125,379.6274719238281,S006
N0026926,N0026927,1,0,5.999691085921995,12.017629210921996,0,0.0,0.0,382.0731506347656,S006
N0027071,N0027072,1,0,10.870623348249978,17.35817018809371,0,0.0,0.0,388.9784240722656,S022
N0027255,N0027256,1,0,11.836630363984568,12.063724082890815,1,43.352134999999976,0.224578857421875,344.9635009765625,S003
N0027338,N0027339,1,0,11.844517606250236,12.05641290312525,1,26.998199999999997,0.076904296875,316.842529296875,S004
N0027593,N0027594,1,0,11.925041589984186,15.573930827656067,1,137.093913,1.586578369140625,435.2933044433594,S017
N0028533,N0028534,1,0,11.922972811187265,12.240082755796664,1,85.47470699999997,0.574981689453125,382.1756591796875,S001
N0028636,N0028637,1,0,9.453572302953148,14.423529922093792,0,0.0,0.0,385.3416748046875,S001
N0028642,N0028643,1,0,7.143877529531267,13.243628019765652,0,0.0,0.0,384.3917236328125,S001
N0005271,N0028701,1,0,11.199615392578096,15.649883240234374,0,0.0,0.0,384.5182800292969,S001
N0028736,N0028737,1,0,10.142230378437546,17.442818923359425,1,28.964195000000004,0.059539794921875,379.1092224121094,S001
N0029124,N0029125,1,0,11.945180675625068,12.043274416953182,0,0.0,0.0,379.1655578613281,S001
N0029139,N0029140,1,0,11.947179342265713,12.10139165554699,0,0.0,0.0,381.7327880859375,S001
N0029900,N0029901,1,0,10.772541093828124,17.53987819929688,0,0.0,0.0,352.73309326171875,S003
N0029970,N0029971,1,0,11.905953495827703,12.579711638171432,1,320.09750399999996,2.199798583984375,409.729248046875,S008
N0030032,N0030033,1,0,11.0357255314064,17.821149420078257,0,0.0,0.0,351.1038818359375,S003
N0000388,N0030099,1,0,11.860657813625153,12.07427587315641,1,83.74945,0.235504150390625,335.0112609863281,S009
N0030164,N0030165,1,0,6.104401630031248,12.44586194057814,0,0.0,0.0,375.9801025390625,S014
N0030334,N0030335,1,0,7.463792601156285,13.990040931234432,1,51.54567899999999,0.14276123046875,341.13323974609375,S005
N0030346,N0030347,1,0,11.551989010687976,16.46046638881296,0,0.0,0.0,347.3792419433594,S005
N0031007,N0031008,1,0,8.384233470703123,14.193833093750015,0,0.0,0.0,341.83154296875,S016
N0009772,N0031020,1,0,10.901712263890374,16.43358928537475,0,0.0,0.0,347.8564758300781,S005
N0031146,N0031147,1,0,11.843149689297263,12.271487016484741,1,28.855942,0.2840576171875,319.5650939941406,S009
N0031225,N0031226,1,0,7.6876268971093396,14.9241896845312,1,52.44982300000001,12.068389892578125,482.8484191894531,S102
N0031269,N0031270,1,0,11.66324513862503,17.61254851557817,0,0.0,0.0,368.28436279296875,S014
N0031274,N0031275,1,0,7.2924461349843455,12.899376625218736,0,0.0,0.0,376.92376708984375,S014
N0031483,N0031484,1,0,10.185671187984497,14.017983826656348,0,0.0,0.0,319.1988525390625,S004
N0031502,N0031503,1,0,10.548634481327838,12.561468572577837,1,134.28519,5.453033447265625,319.0393371582031,S004
N0031523,N0031524,1,0,11.514332623437667,12.356231244531443,1,104.427101,4.849822998046875,322.1917419433594,S004
N0031532,N0031533,1,0,11.945497717734725,12.539550880000377,1,27.42269300000001,0.456939697265625,323.1163635253906,S004
N0032355,N0032356,1,0,11.762357823812987,12.020478719922334,1,186.90905200000003,1.182647705078125,335.0624084472656,S007
N0032473,N0032474,1,0,10.883725711547413,17.106805883422396,0,0.0,0.0,338.17034912109375,S007
N0032636,N0032637,1,0,11.813994451484064,12.043892965780913,1,112.74898200000003,0.3272705078125,343.3704833984375,S005
N0032749,N0032750,1,0,10.05676983881284,16.88426492670345,0,0.0,0.0,334.986083984375,S016
N0000774,N0033071,1,0,11.876407396281365,12.079059159250107,1,23.110919,0.08709716796875,335.2952575683594,S016
N0033100,N0033101,1,0,11.825946725797053,12.17527551290641,1,150.767135,0.823516845703125,347.610107421875,S005
N0033162,N0033163,1,0,10.768450164421893,17.907482316765652,0,0.0,0.0,344.4335632324219,S021
N0033175,N0033176,1,0,11.91460208587489,12.192649246031124,1,232.27780300000003,1.2344970703125,365.11285400390625,S014
N0033237,N0033238,1,0,9.826291735359405,17.19415855567189,1,162.354508,0.87774658203125,340.40765380859375,S021
N0001304,N0033320,1,0,8.085772761593716,15.232044888546852,1,112.821628,0.73724365234375,339.8819274902344,S021
N0033404,N0033405,1,0,8.376828628437522,15.045483567890642,1,55.143528999999994,0.165679931640625,350.7949523925781,S005
N0033508,N0033509,1,0,11.71983172695326,12.045721203828236,1,131.86547,0.594879150390625,373.29595947265625,S014
N0033522,N0033523,1,0,11.527263934375014,18.31132139921874,0,0.0,0.0,350.9079284667969,S005
N0033587,N0033588,1,0,11.950466507108956,12.212979479687078,1,182.114159,1.336456298828125,337.1292724609375,S021
N0033629,N0033630,1,0,8.711504799499892,15.822683473328027,0,0.0,0.0,350.536376953125,S005
N0033681,N0033682,1,0,7.734281296874997,13.881483486328136,0,0.0,0.0,339.8502197265625,S003
N0033871,N0033872,1,0,11.923669324453726,12.20189714453187,1,84.30119300000001,0.55242919921875,334.6496887207031,S009
N0033918,N0033919,1,0,8.307272429687487,15.351471128906212,1,55.277906,0.25799560546875,380.6169128417969,S014
N0034458,N0034459,1,0,7.141456325328136,14.796183635875025,1,369.90146699999997,7.5306396484375,375.6795349121094,S002
N0034551,N0034552,1,0,10.304819839531262,16.30873428093753,0,0.0,0.0,383.1628723144531,S002
N0034705,N0034706,1,0,9.105297427734342,16.781474732421884,1,616.0982240000001,7.748260498046875,337.2635803222656,S009
N0034762,N0034763,1,0,11.740401470078382,12.040936857812767,1,53.771285000000006,0.361236572265625,374.2041015625,S001
N0035134,N0035135,1,0,8.528318787703142,15.057939680281265,1,72.431273,0.66558837890625,384.669677734375,S001
N0035170,N0035171,1,0,5.852735575265683,12.764676407296918,0,0.0,0.0,387.66485595703125,S022
N0005554,N0035219,1,0,10.75217568970429,12.399636490251156,1,45.922743,2.620849609375,385.3945617675781,S001
N0035540,N0035541,1,0,11.817262281812418,12.087890692593646,1,57.348044,0.282379150390625,421.4351501464844,S012
N0035613,N0035614,1,0,8.44092097828127,15.197949917734377,0,0.0,0.0,425.2643737792969,S012
N0035615,N0035616,1,0,8.594002919921877,15.390324925781272,0,0.0,0.0,424.8392639160156,S012
