CROSS_ID,N_REACH,LEN_M,ANGLE_DEG,SQUARE_ENOUGH,CHAMBERS_ON_WADI,MIN_COVER_M,MEETS_1P50,H1A_OK,WHY
X000001,2,56.0,19.7,0,3,6.65,1,0,runs ALONG the wadi - H1a condition 1 fails
X000002,45,1145.63,42.2,0,46,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000003,11,288.15,32.0,0,12,4.98,1,0,runs ALONG the wadi - H1a condition 1 fails
X000004,2,52.22,62.7,0,3,3.34,1,0,runs ALONG the wadi - H1a condition 1 fails
X000005,2,48.63,87.5,1,3,1.54,1,0,crossing
X000006,1,29.86,77.8,1,2,1.3,0,0,crossing
X000007,20,514.73,78.1,1,21,1.79,1,0,crossing
X000008,43,1138.72,22.1,0,44,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000009,2,53.09,83.1,1,3,1.84,1,0,crossing
X000010,3,82.82,74.3,1,4,1.31,0,0,crossing
X000011,8,209.29,72.1,1,9,2.8,1,0,crossing
X000012,9,232.2,84.6,1,10,8.63,1,0,crossing
X000013,2,56.77,81.6,1,3,5.48,1,0,crossing
X000014,4,117.72,35.2,0,5,8.21,1,0,runs ALONG the wadi - H1a condition 1 fails
X000015,23,593.5,61.0,0,24,5.07,1,0,runs ALONG the wadi - H1a condition 1 fails
X000016,79,2198.12,85.5,1,80,8.54,1,0,crossing
X000017,1,26.39,18.6,0,2,4.78,1,0,runs ALONG the wadi - H1a condition 1 fails
X000018,5,138.83,65.7,1,6,3.05,1,0,crossing
X000019,13,280.42,14.0,0,14,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000020,3,77.03,68.6,1,4,1.3,0,0,crossing
X000021,3,78.77,59.3,0,4,9.14,1,0,runs ALONG the wadi - H1a condition 1 fails
X000022,1,27.44,77.0,1,2,9.81,1,0,crossing
X000023,5,138.8,7.1,0,6,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000024,11,290.18,2.2,0,12,3.65,1,0,runs ALONG the wadi - H1a condition 1 fails
X000025,29,801.33,60.8,0,30,3.61,1,0,runs ALONG the wadi - H1a condition 1 fails
X000026,14,380.29,60.7,0,15,3.7,1,0,runs ALONG the wadi - H1a condition 1 fails
X000027,1,26.11,89.7,1,2,1.79,1,0,crossing
X000028,21,556.46,46.6,0,22,2.41,1,0,runs ALONG the wadi - H1a condition 1 fails
X000029,6,140.93,29.2,0,7,6.93,1,0,runs ALONG the wadi - H1a condition 1 fails
X000030,3,67.11,83.7,1,4,1.68,1,0,crossing
X000031,1,24.9,0.1,0,2,3.74,1,0,runs ALONG the wadi - H1a condition 1 fails
X000032,2,54.85,74.5,1,3,2.74,1,0,crossing
X000033,2,46.36,49.4,0,3,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000034,1,26.6,86.5,1,2,5.57,1,0,crossing
X000035,13,354.86,52.7,0,14,10.63,1,0,runs ALONG the wadi - H1a condition 1 fails
X000036,1,22.64,79.1,1,2,1.3,0,0,crossing
X000037,1,27.18,82.8,1,2,2.24,1,0,crossing
