NODE,SUBNET,WAS_M,DIVERT_AT,DIVERT_DOWN_M,TO_NODE,TO_SUBNET,EXTRA_M,DEF_M,RESCUED
N000691,S007,36.12,N000691,0.0,N000769,S004,254.9,9.13,1
N006289,S001,35.98,N006289,0.0,N006292,S010,153.1,7.78,1
N006278,S001,35.25,N006324,83.8,N006330,S010,374.7,8.08,1
N006136,S001,35.04,N006365,635.8,N006337,S010,1065.6,9.98,1
N006155,S001,35.0,N006365,546.3,N006337,S010,1065.6,9.93,1
N000678,S007,34.63,N000692,114.4,N000749,S004,185.6,7.3,1
N006324,S001,34.51,N006324,0.0,N006330,S010,374.7,7.34,1
N000693,S007,34.28,N000692,83.4,N000749,S004,185.6,6.95,1
N006191,S001,34.09,N006365,458.7,N006337,S010,1065.6,9.02,1
N006309,S001,33.77,N006365,282.5,N006337,S010,1065.6,8.71,1
N006256,S001,33.73,N006365,625.5,N006337,S010,1065.6,8.66,1
N000692,S007,33.66,N000692,0.0,N000749,S004,185.6,6.33,1
N006216,S001,33.4,N006365,552.6,N006337,S010,1065.6,8.33,1
N006250,S001,33.4,N006365,278.2,N006337,S010,1065.6,8.33,1
N000659,S007,33.37,N000659,0.0,N000792,S004,405.4,7.56,1
N006237,S001,33.34,N006365,369.0,N006337,S010,1065.6,8.27,1
N006297,S001,33.06,N006365,194.2,N006337,S010,1065.6,7.99,1
N000658,S007,32.57,N000659,78.3,N000792,S004,405.4,6.76,1
N006365,S001,32.29,N006365,0.0,N006337,S010,1065.6,7.22,1
N006343,S001,32.22,N006365,94.0,N006337,S010,1065.6,7.15,1
N006327,S001,32.0,N006365,208.0,N006337,S010,1065.6,6.94,1
N006415,S001,31.46,N006415,0.0,N006401,S010,1063.8,7.9,1
N009262,S008,28.57,N009270,491.6,N009224,S020,1201.8,10.57,1
N009270,S008,25.62,N009270,0.0,N009224,S020,1201.8,7.62,1
N003942,S001,25.05,N003942,0.0,N003590,S002,384.6,6.15,1
N003868,S001,24.74,N003868,0.0,N003558,S002,383.8,5.84,1
N003801,S001,24.02,N003801,0.0,N003526,S002,382.9,5.1,1
N004212,S001,23.07,N004363,171.4,N003556,S002,864.3,7.57,1
N004363,S001,22.95,N004363,0.0,N003556,S002,864.3,7.46,1
X000100,S001,22.8,X000100,0.0,N003510,S002,372.3,3.78,1
N003940,S001,22.66,N004363,476.0,N003556,S002,864.3,7.17,1
