CID,LEN_M,CREST_M,PROM_M,NEW_NODE
59D7,988.941,239.7432475830679,1.898,X000000
5A90,656.952,467.8293487682104,2.742,X000001
5ABD,806.732,443.20468120942166,7.416,X000002
5B08,339.535,244.66514853737337,2.024,X000003
5C23,917.004,323.941574610001,7.258,X000004
5C41,485.226,103.97695667298862,1.433,X000005
5C44,451.202,158.66441712823396,2.443,X000006
5D70,140.697,82.47751727445826,1.452,X000007
5D7F,2212.376,1253.5132396483739,2.821,X000008
5D9E,166.307,83.15336838816748,1.466,X000009
5EDD,122.356,53.83655725370153,1.432,X000010
5EDE,111.317,29.0393145848736,2.339,X000011
5F23,181.157,117.50740782480878,2.08,X000012
5F58,190.686,107.56666352346582,1.652,X000013
5F9F,187.338,93.66896144568243,1.681,X000014
6031,350.184,123.30429561598652,2.219,X000015
6277,278.623,124.38529770594901,2.328,X000016
63A4,180.901,97.78447516167395,2.038,X000017
63CF,167.112,68.81089612723865,1.779,X000018
65F6,807.27,657.7755630396274,2.713,X000019
6FD3,291.887,217.67806829979207,1.711,X000020
71DC,108.645,44.44553297528903,2.01,X000021
7D13,165.746,107.24723344576337,2.007,X000022
7F49,745.333,228.56889587414196,2.326,X000023
81F4,119.873,54.94176083323687,1.985,X000024
8213,223.349,173.71617024052946,2.419,X000025
8217,264.232,154.5509049592654,2.067,X000026
821E,536.509,362.6401035669957,2.934,X000027
821F,349.868,194.92669665476035,2.353,X000028
8220,349.991,224.99394331351087,2.647,X000029
8223,341.189,197.79046796378086,4.564,X000030
8232,271.967,39.55879923383655,1.926,X000031
8256,330.676,88.83829452293895,1.555,X000032
8257,345.386,83.87947218298358,2.835,X000033
8258,324.082,44.872947173968186,2.034,X000034
8295,217.465,88.96297279814124,1.521,X000035
82D7,119.92,39.97339470672099,2.604,X000036
82DA,261.769,172.86635268605207,6.004,X000037
82E4,187.074,49.230010583765434,3.764,X000038
82EF,156.094,53.657480451098564,1.884,X000039
832E,433.299,104.58947596696761,2.308,X000040
8370,100.129,42.912531103386186,2.395,X000041
837E,401.68,128.93440745222702,1.584,X000042
83D2,118.828,64.3649874932051,1.698,X000043
841B,164.325,59.75447912301658,1.875,X000044
848E,540.686,431.5567447780948,2.826,X000045
84F2,194.578,59.870253133552126,1.454,X000046
85A7,223.725,74.57501360641258,3.088,X000047
85F1,234.586,129.77091545413234,2.354,X000048
8619,298.645,164.25453422208267,1.642,X000049
86F3,304.237,109.7249619086483,2.297,X000050
870B,178.189,103.94332477950852,3.485,X000051
87B1,801.115,194.0589515883421,1.606,X000052
87C2,407.089,139.0058518867602,2.329,X000053
882D,452.25,159.0329681272966,1.568,X000054
884C,993.865,474.4582751205078,4.01,X000055
8851,738.215,448.9145902112885,3.43,X000056
885A,141.268,63.32716324454847,1.867,X000057
8873,261.33,197.2301277944007,1.699,X000058
88BD,256.742,39.4988430871307,1.633,X000059
88EB,296.192,118.47666865089602,1.645,X000060
891E,200.502,48.90291100089944,1.584,X000061
892F,610.054,416.6219939697498,6.926,X000062
89B0,95.204,47.601913141133906,3.407,X000063
89B1,136.465,92.60123955344721,2.757,X000064
8B48,94.413,49.69121645874847,4.061,X000065
8B49,280.081,39.30955393309014,2.944,X000066
8BA6,390.015,113.54863136567295,1.525,X000067
8BB0,248.443,149.06573192867762,5.898,X000068
8BB3,302.458,104.12493428997323,4.387,X000069
8BB4,157.791,98.61939027700673,4.077,X000070
8BB5,526.197,407.05792348887866,2.571,X000071
8BEF,102.848,34.28278296920434,2.165,X000072
8C5C,375.855,153.3093576523982,1.984,X000073
8C66-0,443.059,74.67282083832986,18.722,X000074
8C88,197.574,138.30153086986354,9.694,X000075
8CA5,278.262,74.5344878805609,4.875,X000076
8D5A,115.209,81.60650436277108,6.764,X000077
8D64,234.816,189.85085101790298,2.133,X000078
8D9D,210.336,78.26442252157747,3.046,X000079
8DA3,362.187,183.5743818625958,18.139,X000080
8DF6,216.995,143.01926162106628,3.432,X000081
8E19,117.776,58.88817897137539,2.364,X000082
8E24,496.987,372.7400616068481,10.766,X000083
8E38,148.392,103.87424853706511,2.977,X000084
8E42,269.882,119.94735482540493,1.893,X000085
8EB8,293.683,228.97353721531277,1.566,X000086
8EF9,159.052,54.67406655301091,2.105,X000087
8F53,695.253,347.6263456193835,7.883,X000088
9077,315.543,147.9107288848813,2.137,X000089
909C,217.427,59.298176530229895,1.993,X000090
90C8,89.773,59.84854067407511,2.395,X000091
9153,320.114,241.31684018697393,1.891,X000092
9177,256.04,118.17235539176136,9.4,X000093
9186,336.672,59.41265290548919,2.745,X000094
919D,85.63,66.60119058708929,2.034,X000095
91B8,274.061,179.38517820574612,2.144,X000096
91EE,318.574,134.3986060146178,4.409,X000097
9293,367.516,188.7244704660664,2.205,X000098
92B5,357.11,89.2775791157749,2.835,X000099
92C7,466.652,372.3289535872606,1.49,X000100
9311,529.758,244.88804608114643,2.347,X000101
945B,128.047,78.79804273292191,1.71,X000102
9558-1,144.136,54.6724233981292,2.082,X000103
9585,277.667,74.37521535119514,5.048,X000104
95A9,186.772,39.32040207923732,4.584,X000105
95AB,308.774,219.13012359536384,3.914,X000106
95B7,109.595,29.88946282793672,1.505,X000107
95D5,323.608,99.57183589718827,2.676,X000108
95F7,173.584,114.06930472491301,1.533,X000109
9600,124.842,54.930543915051565,2.653,X000110
960C,180.326,34.115754331704174,1.637,X000111
9656,257.419,94.05693803209701,3.659,X000112
96E3-1,81.059,47.68168883450556,1.555,X000113
96ED,82.055,48.26769263448338,1.941,X000114
971A,295.479,246.23264319993274,5.272,X000115
9848,89.827,24.951857262484083,1.855,X000116
984B,466.754,218.48064625556756,2.866,X000117
98E0,173.921,44.7225945406669,1.999,X000118
98E2,87.501,29.167031304473603,2.988,X000119
9912,337.923,109.32791250774478,2.585,X000120
9919,90.11,37.941019618596805,2.197,X000121
9927,590.541,441.6651928924594,3.222,X000122
99A0,1312.598,324.40643161956206,25.874,X000123
99AC,1138.656,649.2335253138847,13.66,X000124
99AE,108.687,29.641875291033195,2.805,X000125
99AF,681.57,144.27383602005324,14.54,X000126
99E9,945.15,472.57502461127336,13.579,X000127
99ED,84.41,19.861252308340948,1.678,X000128
9B91,90.385,42.81404107861751,2.284,X000129
9BE2,94.94,69.95605510147793,2.54,X000130
9C8A,203.718,144.09342592496057,5.924,X000131
9C94,111.446,43.60919337114516,2.414,X000132
9C9B,95.109,33.28801598105536,1.586,X000133
9CAA,275.003,122.76904890152151,1.819,X000134
9CAC,84.497,29.82240153493265,2.602,X000135
9CAD,149.298,74.64922596535617,3.897,X000136
9CB1,259.342,39.89871865959544,2.181,X000137
9CB2,195.899,102.84698194947774,1.784,X000138
9CB7,153.115,74.08788014422913,2.137,X000139
9D3B,686.872,457.9144580110948,1.92,X000140
9D46,722.474,343.7977561651795,1.498,X000141
9DE7-1,354.454,259.59993213003486,1.502,X000142
9DE9,369.132,99.76531114086609,2.58,X000143
9F27,200.831,58.7798976209118,1.845,X000144
A17B,488.288,209.2660774490657,2.435,X000145
A384,1213.302,219.6925651015475,5.838,X000146
A3A6,327.467,168.69530595422225,1.578,X000147
A3C6,203.554,119.15360305543196,2.393,X000148
A40F,682.978,124.6309633284647,2.403,X000149
A435,885.862,726.6058648002968,15.092,X000150
